Name,Team,P,G,A
Amar Sejdic,Columbus Crew,15,0,1
Andrés Herrera,Columbus Crew,23,5,4
Aziel Jackson,Columbus Crew,18,2,1
Cesar Ruvalcaba,Columbus Crew,14,1,0
Darlington Nagbe,Columbus Crew,33,0,2
Diego Rossi,Columbus Crew,32,16,6
Dylan Chambost,Columbus Crew,37,2,8
Dániel Gazdag,Columbus Crew,3,0,0
Evan Bush,Columbus Crew,6,0,0
Hugo Picard,Columbus Crew,11,0,0
Ibrahim Aliyu,Columbus Crew,2,0,0
Jacen Russell-Rowe,Columbus Crew,34,9,3
Lassi Lappalainen,Columbus Crew,20,1,4
Malte Amundsen,Columbus Crew,27,1,3
Max Arfsten,Columbus Crew,32,5,10
Mohamed Farsi,Columbus Crew,18,1,3
Nicholas Hagen,Columbus Crew,3,0,0
Patrick Schulte,Columbus Crew,29,0,1
Sean Zawadzki,Columbus Crew,30,2,0
Steven Moreira,Columbus Crew,33,1,2
Taha Habroune,Columbus Crew,21,1,2
Tristan Brown,Columbus Crew,6,0,0
Wessam Abou Ali,Columbus Crew,5,3,1
Yevhen Cheberko,Columbus Crew,32,0,0
