Name,Team,P,G,A
Anthony Markanich,Minnesota United FC,35,10,1
Bongokuhle Hlongwane,Minnesota United FC,38,3,3
Carlos Harvey,Minnesota United FC,28,2,1
D.J. Taylor,Minnesota United FC,7,0,0
Dayne St. Clair,Minnesota United FC,34,0,0
Dieng Mamadou,Minnesota United FC,4,0,0
Dominik Fitz,Minnesota United FC,6,0,0
Hassani Dotson,Minnesota United FC,12,1,0
Jefferson Díaz,Minnesota United FC,30,1,3
Jeong Ho-Yeon,Minnesota United FC,4,0,0
Joaquín Pereyra,Minnesota United FC,37,7,13
Joseph Rosales,Minnesota United FC,28,1,2
Julian Gressel,Minnesota United FC,23,1,3
Kelvin Yeboah,Minnesota United FC,34,9,3
Michael Boxall,Minnesota United FC,35,1,5
Morris Duggan,Minnesota United FC,24,0,2
Nectarios Triantis,Minnesota United FC,9,3,2
Nicolás Romero,Minnesota United FC,29,0,5
Owen Gene,Minnesota United FC,24,0,2
Robin Lod,Minnesota United FC,37,6,6
Samuel Shashoua,Minnesota United FC,5,0,0
Tani Oluwaseyi,Minnesota United FC,24,10,8
Wil Trapp,Minnesota United FC,38,2,4
