Name,Team,P,G,A
Amahl Pellegrino,San Jose Earthquakes,20,4,5
Beau Leroux,San Jose Earthquakes,33,5,5
Benjamin Kikanovic,San Jose Earthquakes,10,0,0
Bruno Wilson,San Jose Earthquakes,16,1,0
Cristian Arango,San Jose Earthquakes,30,13,8
Cristian Espinoza,San Jose Earthquakes,31,4,11
Daniel,San Jose Earthquakes,29,0,0
Daniel Munie,San Jose Earthquakes,24,2,2
Dave Romney,San Jose Earthquakes,33,0,1
DeJuan Jones,San Jose Earthquakes,20,1,8
Earl Edwards,San Jose Earthquakes,7,0,0
Ian Harkes,San Jose Earthquakes,30,3,2
Jack Skahan,San Jose Earthquakes,0,0,2
Jamar Ricketts,San Jose Earthquakes,19,1,3
Josef Martínez,San Jose Earthquakes,30,14,2
Mark-Anthony Kaye,San Jose Earthquakes,27,1,2
Max Floriani,San Jose Earthquakes,14,0,0
Nick Lima,San Jose Earthquakes,11,0,0
Niko Tsakiris,San Jose Earthquakes,11,1,2
Noel Buck,San Jose Earthquakes,11,0,1
Ousseni Bouda,San Jose Earthquakes,34,3,1
Preston Judd,San Jose Earthquakes,29,6,2
Reid Roberts,San Jose Earthquakes,14,0,0
Rodrigues,San Jose Earthquakes,20,1,2
Ronaldo Vieira,San Jose Earthquakes,7,0,0
Vítor Costa,San Jose Earthquakes,26,1,2
