Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
A.J. Lawson,G,15,7.2,3.7,1.5,2.9,50.0,0.7,1.7,40.0,0.1,0.5,25.0,1.4,0.1,0.1,0.0,0.2,0,0
Aaron Gordon,F,68,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,6.6,3.0,0.8,0.8,1.4,11,0
Aaron Holiday,G,63,13.4,3.9,1.5,3.5,41.8,0.6,1.4,40.9,0.4,0.5,84.4,1.2,1.4,0.6,0.2,0.6,0,0
Aaron Nesmith,G,73,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,3.8,1.3,0.8,0.5,1.0,1,0
Aaron Wiggins,G,70,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1.0,83.1,3.0,1.1,0.6,0.2,0.8,1,0
Admiral Schofield,SF,37,12.2,4.2,1.5,3.3,45.1,0.6,2.0,32.4,0.6,0.6,91.3,1.7,0.8,0.2,0.1,0.4,0,0
AJ Green,G,35,9.9,4.4,1.5,3.6,42.4,1.3,3.0,41.9,0.1,0.1,100.0,1.3,0.6,0.2,0.0,0.3,0,0
AJ Griffin,F,72,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39.0,0.6,0.7,89.4,2.1,1.0,0.6,0.2,0.6,0,0
Al Horford,C,63,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,6.2,3.0,0.5,1.0,0.6,7,0
Alec Burks,SG,51,22.0,12.8,3.9,9.0,43.6,1.9,4.7,41.4,3.0,3.7,81.4,3.1,2.2,0.7,0.2,1.1,0,0
Aleksej Pokusevski,F,34,20.6,8.1,3.2,7.3,43.4,1.1,3.1,36.5,0.6,1.0,62.9,4.7,1.9,0.6,1.3,1.3,3,0
Alex Caruso,G,67,23.5,5.6,1.9,4.3,45.5,0.8,2.3,36.4,0.9,1.1,80.8,2.9,2.9,1.5,0.7,1.1,1,0
