Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Toronto Raptors,59,23,0.72,-,34-7,25-16,12-4,40-12,111.7,103.9,7.8,L1,6-4
2,Eastern,2,Boston Celtics,55,27,0.671,4,27-14,28-13,12-4,33-19,104.0,100.4,3.6,W1,6-4
3,Eastern,3,Philadelphia 76ers,52,30,0.634,7,30-11,22-19,9-7,34-18,109.8,105.3,4.5,W16,10-0
4,Eastern,4,Cleveland Cavaliers,50,32,0.61,9,29-12,21-20,11-5,35-17,110.9,109.9,1.0,L1,7-3
5,Eastern,5,Indiana Pacers,48,34,0.585,11,27-14,21-20,10-6,32-20,105.6,104.2,1.4,L1,7-3
6,Eastern,6,Miami Heat,44,38,0.537,15,26-15,18-23,11-5,31-21,103.4,102.9,0.5,W1,5-5
7,Eastern,7,Milwaukee Bucks,44,38,0.537,15,25-16,19-22,6-10,27-25,106.5,106.8,-0.3,L1,6-4
8,Eastern,8,Washington Wizards,43,39,0.524,16,23-18,20-21,8-8,28-24,106.6,106.0,0.6,L1,3-7
9,Eastern,9,Detroit Pistons,39,43,0.476,20,25-16,14-27,9-7,24-28,103.8,103.9,-0.1,W1,7-3
10,Eastern,10,Charlotte Hornets,36,46,0.439,23,21-20,15-26,11-5,22-30,108.2,108.0,0.2,W1,5-5
11,Eastern,11,New York Knicks,29,53,0.354,30,19-22,10-31,6-10,17-35,104.5,108.0,-3.5,W1,3-7
12,Eastern,12,Brooklyn Nets,28,54,0.341,31,15-26,13-28,1-15,19-33,106.6,110.3,-3.7,L1,5-5
13,Eastern,13,Chicago Bulls,27,55,0.329,32,17-24,10-31,4-12,21-31,102.9,110.0,-7.1,L4,3-7
14,Eastern,14,Orlando Magic,25,57,0.305,34,17-24,8-33,5-11,15-37,103.4,108.2,-4.8,W1,4-6
15,Eastern,15,Atlanta Hawks,24,58,0.293,35,16-25,8-33,5-11,12-40,103.4,108.8,-5.4,L1,3-7
16,Western,1,Houston Rockets,65,17,0.793,-,34-7,31-10,12-4,41-11,112.4,103.9,8.5,L1,7-3
17,Western,2,Golden State Warriors,58,24,0.707,7,29-12,29-12,13-3,34-18,113.5,107.5,6.0,L1,4-6
18,Western,3,Portland Trail Blazers,49,33,0.598,16,28-13,21-20,9-7,31-21,105.6,103.0,2.6,W1,5-5
19,Western,4,Oklahoma City Thunder,48,34,0.585,17,27-14,21-20,5-11,28-24,107.9,104.4,3.5,W3,5-5
20,Western,5,Utah Jazz,48,34,0.585,17,28-13,20-21,7-9,34-18,104.1,99.8,4.3,L1,7-3
21,Western,6,New Orleans Pelicans,48,34,0.585,17,24-17,24-17,9-7,27-25,111.7,110.4,1.3,W5,6-4
22,Western,7,San Antonio Spurs,47,35,0.573,18,33-8,14-27,9-7,29-23,102.7,99.8,2.9,L1,5-5
23,Western,8,Minnesota Timberwolves,47,35,0.573,18,30-11,17-24,10-6,34-18,109.5,107.3,2.2,W3,6-4
24,Western,9,Denver Nuggets,46,36,0.561,19,31-10,15-26,9-7,28-24,110.0,108.5,1.5,L1,7-3
25,Western,10,LA Clippers,42,40,0.512,23,22-19,20-21,12-4,24-28,109.0,109.0,0.0,L4,4-6
26,Western,11,Los Angeles Lakers,35,47,0.427,30,20-21,15-26,6-10,19-33,108.1,109.6,-1.5,W1,3-7
27,Western,12,Sacramento Kings,27,55,0.329,38,14-27,13-28,5-11,14-38,98.8,105.8,-7.0,W1,4-6
28,Western,13,Dallas Mavericks,24,58,0.293,41,15-26,9-32,5-11,14-38,102.3,105.4,-3.1,L4,2-8
29,Western,14,Memphis Grizzlies,22,60,0.268,43,16-25,6-35,5-11,18-34,99.3,105.5,-6.2,L2,3-7
30,Western,15,Phoenix Suns,21,61,0.256,44,10-31,11-30,4-12,15-37,103.9,113.3,-9.4,W1,2-8
