Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Michael Porter Jr.,20,20.0,32.9,26.3,1.2,6.2,7.4,3.2,0.9,0.3,2.3,2.3,1.4,9.4,18.8,50.1,3.7,9.1,40.3,3.8,4.7,81.7,5.8,9.7,59.3,1.4,0.6,False,F
Cam Thomas,8,8.0,28.3,21.4,0.4,1.0,1.4,2.6,0.5,0.1,2.0,1.9,1.3,6.6,16.5,40.2,2.0,5.6,35.6,6.1,7.0,87.5,4.6,10.9,42.5,1.295,0.46,False,G
Nic Claxton,24,24.0,30.4,13.6,2.8,5.0,7.8,4.5,0.7,1.4,1.5,2.3,3.1,5.1,9.3,54.9,0.0,0.5,9.1,3.3,4.7,70.5,5.1,8.9,57.3,1.455,0.55,False,C
Noah Clowney,24,18.0,28.3,13.3,0.8,3.0,3.8,1.8,0.7,0.8,1.8,2.7,1.0,4.0,9.6,41.6,2.3,6.4,35.3,3.0,3.7,81.8,1.8,3.3,53.8,1.377,0.53,False,F
Ziaire Williams,21,2.0,23.0,9.3,0.7,2.0,2.7,0.7,0.8,0.4,1.0,2.2,0.7,3.0,7.7,39.1,1.7,5.6,29.9,1.6,2.0,82.9,1.3,2.1,63.6,1.211,0.5,False,F
Danny Wolf,10,0.0,16.8,8.8,1.0,3.2,4.2,1.7,0.2,0.3,1.5,1.2,1.1,2.9,6.2,46.8,1.5,3.0,50.0,1.5,1.8,83.3,1.4,3.2,43.8,1.419,0.59,False,F
Terance Mann,22,22.0,26.4,8.6,1.5,2.0,3.5,3.7,0.7,0.1,1.0,2.6,3.5,3.1,7.0,44.5,1.0,2.9,34.4,1.4,1.6,83.3,2.1,4.1,51.6,1.226,0.52,False,G
Tyrese Martin,23,6.0,21.0,8.2,1.0,2.3,3.3,2.4,0.7,0.1,1.1,1.0,2.2,3.0,7.8,39.1,1.4,4.5,30.8,0.7,1.0,72.7,1.7,3.3,50.7,1.05,0.48,False,G
Egor Demin,22,15.0,22.7,8.1,0.5,2.6,3.2,3.5,0.9,0.3,1.7,2.0,2.1,2.9,7.7,37.1,1.8,5.2,34.8,0.5,0.6,85.7,1.0,2.5,41.8,1.047,0.49,False,G
Day'Ron Sharpe,23,0.0,16.0,7.0,2.0,3.3,5.4,1.8,0.8,0.6,1.8,2.1,1.0,2.5,4.3,59.2,0.2,0.8,27.8,1.7,2.7,61.9,2.3,3.5,66.3,1.633,0.62,False,C
Drake Powell,17,0.0,18.2,5.9,0.2,1.4,1.6,2.0,0.8,0.2,1.1,1.8,1.8,2.1,4.4,48.0,0.7,1.9,36.4,1.0,1.1,94.4,1.4,2.5,57.1,1.347,0.56,False,G
Ben Saraf,12,5.0,16.9,5.4,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,1.5,1.8,5.2,35.5,0.8,2.8,27.3,1.0,1.3,80.0,1.1,2.4,44.8,1.048,0.43,False,G
Jalen Wilson,18,0.0,14.4,5.0,0.1,0.9,1.0,0.6,0.2,0.0,0.6,1.3,1.1,1.6,4.4,35.4,1.0,3.0,33.3,0.9,1.2,76.2,0.6,1.4,40.0,1.139,0.47,False,F
E.J. Liddell,7,0.0,4.6,2.0,0.4,0.9,1.3,0.0,0.0,0.0,0.0,0.6,0.0,0.7,1.7,41.7,0.3,1.1,25.0,0.3,0.4,66.7,0.4,0.6,75.0,1.167,0.5,False,F
Tyson Etienne,8,0.0,4.3,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,1.0,0.5,1.9,26.7,0.5,1.6,30.8,0.0,0.0,0.0,0.0,0.3,0.0,0.8,0.4,False,G
Nolan Traore,5,0.0,8.8,1.4,0.2,0.2,0.4,1.0,0.4,0.0,0.4,1.4,2.5,0.4,2.2,18.2,0.4,1.4,28.6,0.2,0.4,50.0,0.0,0.8,0.0,0.636,0.27,False,G
Total,24,,,109.5,11.1,28.8,39.9,25.4,7.0,4.2,14.9,20.6,1.7,37.9,85.0,44.5,14.2,41.1,34.5,19.6,25.1,78.1,23.7,44.0,53.9,1.288,0.53,False,Total
