Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jalen Brunson,23,23.0,35.1,28.8,0.5,2.7,3.1,6.4,0.7,0.1,2.3,2.4,2.8,10.2,21.0,48.7,2.8,7.4,37.6,5.6,6.7,83.8,7.4,13.6,54.6,1.373,0.55,False,G
Karl-Anthony Towns,24,24.0,33.2,22.4,3.1,8.8,11.9,3.2,0.8,0.8,2.4,3.4,1.3,7.3,15.4,47.4,1.9,5.2,36.0,5.9,6.7,88.2,5.4,10.2,53.3,1.455,0.54,False,C
Mikal Bridges,25,25.0,34.8,16.4,1.2,3.4,4.6,4.2,1.9,1.1,1.0,2.3,4.4,6.5,12.3,52.6,2.2,5.4,40.7,1.2,1.5,81.6,4.3,6.9,61.8,1.331,0.62,False,G
OG Anunoby,16,16.0,31.3,16.2,1.4,4.0,5.4,2.0,1.9,0.7,1.9,2.4,1.0,5.9,12.1,48.7,2.5,6.1,40.8,1.9,2.4,79.5,3.4,5.9,56.8,1.342,0.59,False,F
Josh Hart,24,10.0,29.7,12.4,1.7,6.0,7.7,5.0,1.4,0.3,2.1,2.6,2.4,4.7,9.1,51.1,1.5,4.0,38.1,1.5,1.9,82.2,3.1,5.1,61.5,1.361,0.6,False,G
Miles McBride,20,9.0,27.0,11.6,0.7,1.9,2.6,2.5,0.7,0.3,0.8,1.8,3.3,4.0,9.1,43.6,2.8,6.2,44.4,1.0,1.2,79.2,1.2,2.9,42.1,1.282,0.59,False,G
Jordan Clarkson,25,0.0,19.8,9.6,0.9,1.0,2.0,1.6,0.4,0.2,1.2,2.0,1.4,3.6,8.4,42.9,1.1,3.9,28.6,1.3,1.7,76.2,2.5,4.5,55.4,1.143,0.5,False,G
Landry Shamet,15,6.0,20.9,9.3,0.5,1.5,2.0,1.2,0.4,0.2,0.5,1.3,2.6,2.8,6.2,45.2,1.9,4.4,42.4,1.8,2.3,79.4,0.9,1.8,51.9,1.495,0.6,False,G
Mitchell Robinson,17,10.0,17.5,3.6,4.5,3.7,8.2,1.0,0.8,1.1,0.8,2.2,1.3,1.6,2.4,68.3,0.0,0.0,0.0,0.4,1.6,22.2,1.6,2.4,68.3,1.512,0.68,False,C
Tyler Kolek,21,0.0,10.2,3.6,0.2,0.8,1.0,2.0,0.5,0.0,0.6,1.0,3.2,1.5,3.2,46.3,0.4,1.5,29.0,0.2,0.4,62.5,1.0,1.7,61.1,1.134,0.53,False,G
Kevin McCullar Jr.,1,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,False,G
Guerschon Yabusele,24,0.0,9.8,3.0,0.7,1.5,2.2,0.4,0.1,0.2,0.3,1.1,1.3,1.1,2.7,40.0,0.5,1.8,29.5,0.3,0.4,60.0,0.5,0.9,61.9,1.092,0.5,False,F
Ariel Hukporti,16,2.0,7.9,1.2,0.9,1.5,2.4,0.5,0.1,0.5,0.6,1.3,0.9,0.4,0.8,53.8,0.0,0.0,0.0,0.3,0.5,62.5,0.4,0.8,53.8,1.462,0.54,False,C
Mohamed Diawara,17,0.0,3.2,0.7,0.2,0.5,0.6,0.5,0.2,0.1,0.3,0.5,1.6,0.3,0.8,35.7,0.1,0.4,33.3,0.0,0.1,0.0,0.2,0.5,37.5,0.857,0.43,False,F
Pacome Dadiet,9,0.0,2.4,0.4,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.1,inf,0.1,0.7,16.7,0.0,0.3,0.0,0.2,0.2,100.0,0.1,0.3,33.3,0.667,0.17,False,F
Trey Jemison III,3,0.0,3.3,0.0,0.3,0.7,1.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,F
Tosan Evbuomwan,4,0.0,1.8,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,False,F
Total,25,,,121.0,13.6,32.3,45.9,27.0,8.3,4.5,12.6,20.8,2.1,43.5,90.6,48.1,15.1,39.9,37.8,18.9,23.8,79.5,28.4,50.6,56.2,1.336,0.56,False,Total
