Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Shai Gilgeous-Alexander G,25,25.0,33.2,32.4,0.4,4.2,4.6,6.4,1.4,0.7,1.9,2.0,3.4,10.8,19.4,56.0,2.2,5.0,43.7,8.6,9.7,88.4,8.6,14.3,60.3,1.676,0.62
Chet Holmgren C,22,22.0,28.8,18.7,1.5,6.5,8.0,1.6,0.6,1.5,2.0,3.0,0.8,7.0,12.2,57.5,1.5,3.8,39.3,3.2,4.1,78.9,5.5,8.4,65.8,1.537,0.64
Jalen Williams G,7,7.0,28.7,17.3,0.4,5.0,5.4,5.9,1.6,0.7,1.6,1.9,3.7,6.4,14.3,45.0,0.9,2.7,31.6,3.6,3.7,96.2,5.6,11.6,48.1,1.21,0.48
Ajay Mitchell G,26,7.0,26.2,14.0,0.5,2.8,3.3,3.7,1.5,0.3,1.6,2.0,2.3,5.0,10.6,46.7,1.1,3.2,35.4,3.0,3.3,88.5,3.8,7.5,51.5,1.319,0.52
Isaiah Joe G,17,0.0,23.4,12.9,0.5,2.3,2.8,1.5,0.6,0.2,0.9,1.8,1.6,3.9,8.6,45.6,2.9,6.9,41.9,2.1,2.3,92.3,1.1,1.8,60.0,1.49,0.62
Aaron Wiggins G,15,5.0,24.2,12.3,0.7,2.3,3.1,1.9,0.6,0.5,1.2,2.2,1.6,4.7,10.1,46.4,2.3,5.6,41.7,0.7,0.9,76.9,2.3,4.5,52.2,1.225,0.58
Isaiah Hartenstein C,20,20.0,27.4,12.1,3.5,7.1,10.6,3.3,1.3,0.8,2.1,2.8,1.5,5.3,7.9,66.5,0.0,0.2,0.0,1.6,2.5,64.0,5.3,7.7,68.2,1.532,0.66
Cason Wallace G,25,24.0,27.7,8.4,0.7,2.4,3.1,2.4,2.3,0.2,1.0,2.2,2.3,3.2,7.3,44.5,1.5,4.1,37.3,0.4,0.5,76.9,1.7,3.2,53.8,1.154,0.55
Luguentz Dort G,17,17.0,28.2,7.9,1.1,2.7,3.8,1.2,0.9,0.4,0.6,3.1,2.0,2.8,7.4,37.6,1.6,5.2,31.5,0.8,0.8,92.9,1.1,2.1,52.8,1.08,0.49
Kenrich Williams G,7,0.0,16.0,6.0,0.4,2.4,2.9,2.0,0.0,0.0,0.9,1.3,2.3,2.3,4.6,50.0,1.0,2.1,46.7,0.4,0.9,50.0,1.3,2.4,52.9,1.313,0.61
Alex Caruso G,17,0.0,18.8,5.8,0.6,2.1,2.6,2.5,1.8,0.3,1.0,1.3,2.5,2.1,5.1,41.4,1.1,3.1,35.8,0.5,0.6,80.0,1.0,2.0,50.0,1.138,0.52
Jaylin Williams F,25,3.0,18.3,5.5,0.5,4.2,4.7,2.4,0.7,0.5,1.0,1.8,2.4,1.8,5.0,35.5,1.2,4.1,29.4,0.8,1.2,65.5,0.6,0.9,63.6,1.105,0.48
Branden Carlson C,17,0.0,10.0,5.0,0.5,1.7,2.2,0.6,0.1,0.6,0.2,0.9,2.8,2.1,3.6,56.5,0.7,1.8,40.0,0.2,0.4,42.9,1.4,1.9,71.9,1.371,0.66
Ousmane Dieng F,17,0.0,12.5,4.4,0.4,1.4,1.8,0.9,0.1,0.3,0.4,1.1,2.5,1.6,3.6,44.3,0.8,1.9,43.8,0.4,0.4,100.0,0.8,1.7,44.8,1.213,0.56
Chris Youngblood G,19,0.0,5.6,1.8,0.2,0.8,1.0,0.3,0.1,0.0,0.1,0.9,6.0,0.5,1.6,33.3,0.4,1.3,32.0,0.4,0.4,100.0,0.1,0.3,40.0,1.167,0.47
Brooks Barnhizer F,17,0.0,7.8,1.7,0.4,1.6,1.9,0.4,0.2,0.1,0.2,0.6,2.3,0.7,1.4,52.2,0.1,0.2,25.0,0.2,0.4,66.7,0.6,1.1,57.9,1.261,0.54
Total,26,,,123.1,9.0,35.8,44.8,26.5,10.3,5.3,12.2,21.0,2.2,44.2,88.8,49.7,14.0,37.2,37.6,20.7,24.8,83.4,30.2,51.6,58.5,1.385,0.58
