Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Franz Wagner,24,24.0,33.4,22.7,1.5,4.6,6.1,3.7,1.2,0.4,1.8,2.2,2.0,7.8,15.9,49.0,1.5,4.2,36.0,5.6,6.8,82.3,6.3,11.8,53.5,1.427,0.54,False,F
Paolo Banchero,16,16.0,31.6,20.5,0.9,7.0,7.9,3.8,0.6,0.8,2.6,2.3,1.4,6.5,14.5,44.8,1.1,4.0,26.6,6.4,8.3,78.0,5.4,10.5,51.8,1.414,0.48,False,F
Desmond Bane,26,26.0,33.4,19.0,1.3,3.2,4.5,4.6,0.8,0.3,2.1,3.2,2.2,6.8,15.3,44.6,1.8,5.1,35.3,3.5,3.7,93.8,5.0,10.2,49.2,1.236,0.51,False,G
Jalen Suggs,21,21.0,25.6,15.4,0.8,3.0,3.7,4.8,1.9,0.6,2.7,3.0,1.8,5.4,11.4,47.1,2.0,6.1,32.8,2.7,3.1,86.2,3.4,5.3,63.4,1.35,0.56,False,G
Anthony Black,26,6.0,28.5,13.0,0.7,3.4,4.0,3.3,1.3,0.7,2.2,2.5,1.5,4.7,10.7,44.1,1.1,3.6,29.8,2.5,3.6,68.1,3.7,7.1,51.4,1.211,0.49,False,G
Wendell Carter Jr.,25,25.0,29.9,11.8,2.7,4.9,7.6,2.0,0.8,0.7,1.5,3.7,1.3,4.0,7.5,52.7,1.2,2.8,42.9,2.6,3.4,77.6,2.8,4.7,58.5,1.564,0.61,False,C
Tristan da Silva,26,10.0,23.2,9.7,0.8,3.1,3.9,1.2,0.8,0.2,1.0,1.2,1.2,3.6,8.2,43.9,1.6,4.4,36.5,0.8,1.0,81.5,2.0,3.8,52.5,1.178,0.54,False,F
Goga Bitadze,25,0.0,16.7,6.1,1.7,3.4,5.1,1.4,0.6,1.3,0.6,2.1,2.2,2.4,3.3,73.2,0.1,0.3,28.6,1.2,1.5,78.9,2.3,3.0,77.3,1.854,0.74,False,C
Jett Howard,17,0.0,10.4,5.4,0.3,0.9,1.2,0.7,0.2,0.2,0.1,0.9,6.0,2.0,4.5,44.7,1.1,2.9,38.0,0.3,0.3,100.0,0.9,1.5,57.7,1.211,0.57,False,G
Jase Richardson,15,0.0,6.7,3.7,0.3,0.6,0.9,1.0,0.2,0.0,0.3,0.5,3.8,1.3,2.5,52.6,0.5,1.1,47.1,0.5,0.7,72.7,0.8,1.4,57.1,1.474,0.63,False,G
Noah Penda,13,0.0,8.8,3.6,1.6,1.6,3.2,1.1,0.1,0.2,0.5,0.9,2.0,1.3,2.7,48.6,0.5,0.8,60.0,0.5,0.8,63.6,0.8,1.9,44.0,1.343,0.57,False,F
Jonathan Isaac,23,0.0,10.3,2.9,0.9,2.3,3.2,0.1,0.3,0.5,0.3,0.7,0.3,1.1,2.4,45.5,0.3,1.1,23.1,0.5,1.0,50.0,0.8,1.3,65.5,1.218,0.51,False,F
Tyus Jones,26,1.0,13.9,2.4,0.2,0.6,0.8,2.0,0.6,0.1,0.3,0.5,5.9,0.9,2.7,34.3,0.5,1.7,27.9,0.1,0.1,100.0,0.5,1.0,44.4,0.886,0.43,False,G
Orlando Robinson,3,1.0,7.3,2.3,0.7,0.3,1.0,0.7,0.3,0.0,0.0,1.0,inf,1.0,1.7,60.0,0.3,0.7,50.0,0.0,0.0,0.0,0.7,1.0,66.7,1.4,0.7,False,C
Jamal Cain,5,0.0,6.2,1.6,0.4,0.4,0.8,0.4,0.2,0.2,0.4,0.8,1.0,0.6,1.6,37.5,0.2,1.0,20.0,0.2,0.4,50.0,0.4,0.6,66.7,1.0,0.44,False,F
Total,26,,,117.9,11.8,33.1,44.9,25.7,8.4,5.2,14.0,21.1,1.8,41.7,88.6,47.1,11.4,33.2,34.4,23.1,29.0,79.6,30.3,55.3,54.7,1.331,0.54,False,Total
