Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Zach LaVine G,22,22.0,33.5,20.6,0.3,2.8,3.1,2.3,0.8,0.2,2.2,2.2,1.0,7.3,15.0,48.6,2.8,7.1,38.9,3.2,3.7,86.6,4.5,7.9,57.5,1.372,0.58
DeMar DeRozan G,25,25.0,32.6,17.7,0.6,2.6,3.1,3.4,1.3,0.2,1.0,2.1,3.3,6.4,12.9,50.0,0.8,2.0,38.0,4.0,4.5,89.4,5.7,10.9,52.2,1.373,0.53
Domantas Sabonis F,11,11.0,33.2,17.2,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4.0,1.5,6.7,13.2,51.0,0.4,1.8,20.0,3.4,4.6,72.5,6.4,11.4,56.0,1.303,0.52
Keegan Murray F,10,9.0,36.8,15.4,1.8,5.6,7.4,1.6,1.8,1.4,0.8,2.2,2.0,6.1,13.8,44.2,1.5,5.8,25.9,1.7,2.4,70.8,4.6,8.0,57.5,1.116,0.5
Russell Westbrook G,25,19.0,28.7,14.0,1.5,5.3,6.8,7.2,1.3,0.2,3.3,2.4,2.2,5.2,11.9,43.8,1.9,5.1,36.7,1.7,2.6,65.2,3.3,6.8,49.1,1.178,0.52
Malik Monk G,22,0.0,23.8,12.9,0.4,1.7,2.1,2.5,0.9,0.5,1.2,1.7,2.0,4.7,10.8,43.9,1.9,4.6,40.2,1.5,1.8,85.0,2.9,6.1,46.7,1.194,0.53
Dennis Schroder G,18,12.0,29.2,12.4,0.4,3.2,3.7,6.0,0.8,0.2,1.9,1.8,3.1,4.6,11.5,39.6,1.5,4.5,33.3,1.8,2.3,78.0,3.1,7.0,43.7,1.077,0.46
Maxime Raynaud C,17,3.0,18.0,8.5,1.2,3.4,4.6,1.0,0.4,0.5,0.8,2.1,1.3,3.5,6.6,52.7,0.3,0.8,35.7,1.3,1.7,75.9,3.2,5.8,55.1,1.295,0.55
Precious Achiuwa PF,18,6.0,19.9,7.4,1.9,3.6,5.4,0.9,0.7,0.4,0.4,1.7,2.1,3.2,5.9,54.2,0.2,0.8,20.0,0.8,1.8,45.5,3.1,5.1,59.8,1.252,0.56
Keon Ellis G,24,2.0,17.0,5.3,0.3,1.0,1.3,0.7,1.2,0.4,0.4,1.7,1.6,1.8,4.6,40.0,1.3,3.4,37.0,0.4,0.8,52.6,0.6,1.2,48.3,1.164,0.54
Drew Eubanks F,25,11.0,14.4,5.3,0.8,2.0,2.8,0.3,0.5,0.7,0.9,1.4,0.4,2.2,3.6,61.5,0.0,0.1,50.0,0.8,1.5,52.6,2.2,3.6,61.8,1.462,0.62
Nique Clifford G,21,3.0,16.8,4.3,0.6,2.0,2.7,1.4,0.4,0.3,0.9,2.1,1.6,1.6,4.2,38.2,0.5,1.9,28.2,0.6,0.9,66.7,1.1,2.4,46.0,1.022,0.44
Devin Carter G,9,0.0,9.6,3.6,0.4,1.0,1.4,1.4,0.7,0.1,0.9,1.0,1.6,1.1,3.4,32.3,0.6,1.9,29.4,0.8,0.8,100.0,0.6,1.6,35.7,1.032,0.4
Doug McDermott F,2,0.0,5.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75
Daeqwon Plowden G,1,0.0,14.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.4,0.2
Dario Saric F,3,0.0,9.3,1.7,0.3,1.3,1.7,0.7,0.0,0.0,0.3,0.0,2.0,0.3,1.7,20.0,0.3,0.7,50.0,0.7,0.7,100.0,0.0,1.0,0.0,1.0,0.3
Dylan Cardwell C,3,1.0,11.0,1.7,0.7,1.0,1.7,0.0,0.7,1.0,0.7,3.3,0.0,0.7,2.0,33.3,0.0,0.3,0.0,0.3,0.7,50.0,0.7,1.7,40.0,0.833,0.33
Isaac Jones C *,3,1.0,5.7,1.0,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,inf,0.3,0.7,50.0,0.0,0.3,0.0,0.3,0.7,50.0,0.3,0.3,100.0,1.5,0.5
Total,25,,,111.2,9.4,30.5,40.0,25.6,8.9,3.8,13.6,20.3,1.9,41.6,89.6,46.5,10.9,31.0,35.1,17.0,22.7,75.0,30.8,58.6,52.5,1.241,0.53
