Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Victor Wembanyama F,13,12.0,33.6,25.8,2.0,10.6,12.6,3.8,1.1,3.5,3.7,3.5,1.0,9.0,17.8,50.4,1.6,4.5,35.6,6.2,7.4,84.4,7.4,13.3,55.5,1.448,0.55
De'Aaron Fox G,17,17.0,32.9,23.9,0.8,2.8,3.6,6.2,1.4,0.3,3.2,2.4,1.9,8.4,17.1,48.8,2.5,6.5,39.1,4.6,5.5,84.0,5.8,10.6,54.7,1.395,0.56
Stephon Castle G,16,16.0,31.2,18.4,1.6,4.5,6.1,6.9,1.4,0.3,4.1,3.7,1.7,6.3,12.5,50.5,1.1,3.9,28.6,4.7,6.5,72.1,5.2,8.6,60.6,1.475,0.55
Devin Vassell G,25,25.0,32.4,15.7,0.4,3.4,3.8,2.6,1.0,0.5,1.0,2.3,2.5,5.5,12.7,43.1,2.8,7.0,39.7,2.0,2.3,87.7,2.7,5.8,47.2,1.236,0.54
Harrison Barnes F,25,25.0,31.0,13.2,0.9,2.5,3.4,2.3,1.1,0.2,1.3,1.7,1.8,4.6,9.6,47.7,2.4,5.8,41.0,1.6,1.9,85.4,2.2,3.9,57.7,1.369,0.6
Dylan Harper G,15,0.0,21.9,13.1,1.0,2.1,3.1,3.7,0.9,0.1,1.7,2.5,2.2,5.1,11.0,46.1,0.7,2.5,26.3,2.3,3.2,70.8,4.4,8.5,52.0,1.188,0.49
Keldon Johnson F,25,0.0,23.6,12.7,2.0,4.5,6.5,1.6,0.8,0.1,1.0,2.0,1.7,4.8,8.5,56.8,0.9,2.6,34.8,2.1,2.8,74.6,3.9,5.9,66.7,1.493,0.62
Julian Champagnie F,25,17.0,28.7,11.0,0.9,4.6,5.5,1.5,1.0,0.5,1.0,1.5,1.4,3.5,8.2,42.7,2.3,6.1,37.5,1.7,2.0,84.3,1.2,2.2,57.4,1.34,0.57
Luke Kornet C,17,12.0,25.4,7.4,2.8,3.5,6.4,2.2,0.3,1.4,0.6,2.0,3.4,2.7,4.4,62.2,0.0,0.0,0.0,1.9,2.4,80.5,2.7,4.4,62.2,1.689,0.62
Jeremy Sochan F,17,0.0,16.3,6.1,1.3,2.3,3.6,1.4,0.5,0.2,0.9,2.4,1.6,2.5,5.0,50.6,0.4,1.5,28.0,0.6,0.9,68.8,2.1,3.5,60.0,1.224,0.55
Kelly Olynyk F,14,0.0,11.1,4.5,0.8,1.7,2.5,1.7,0.4,0.0,0.8,1.6,2.2,1.4,2.9,50.0,0.5,1.5,33.3,1.1,1.5,76.2,0.9,1.4,68.4,1.575,0.59
David Jones Garcia F,10,0.0,6.7,3.2,0.4,0.8,1.2,1.8,0.6,0.1,0.5,0.6,3.6,1.3,2.5,52.0,0.3,0.5,60.0,0.3,0.6,50.0,1.0,2.0,50.0,1.28,0.58
Jordan McLaughlin G,9,0.0,8.3,3.1,0.3,0.3,0.7,1.1,0.8,0.0,0.2,0.8,5.0,1.1,2.7,41.7,0.6,1.7,33.3,0.3,0.3,100.0,0.6,1.0,55.6,1.167,0.52
Riley Minix F,3,0.0,2.7,3.0,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,inf,1.3,2.0,66.7,0.3,1.0,33.3,0.0,0.0,0.0,1.0,1.0,100.0,1.5,0.75
Carter Bryant F,18,0.0,7.9,2.5,0.3,1.3,1.7,0.1,0.2,0.1,0.3,0.8,0.2,0.9,2.8,33.3,0.4,1.6,28.6,0.2,0.2,75.0,0.5,1.3,39.1,0.882,0.41
Lindy Waters III F,12,0.0,6.9,2.1,0.2,1.0,1.2,0.4,0.2,0.0,0.1,0.8,5.0,0.8,1.9,39.1,0.6,1.8,33.3,0.0,0.0,0.0,0.2,0.2,100.0,1.087,0.54
Harrison Ingram F,3,0.0,3.7,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,1.0,66.7,0.3,0.3,100.0,0.0,0.0,0.0,0.3,0.7,50.0,1.667,0.83
Bismack Biyombo C,8,1.0,7.3,0.9,0.3,0.5,0.8,0.4,0.4,0.1,0.4,1.3,1.0,0.4,0.5,75.0,0.0,0.0,0.0,0.1,0.3,50.0,0.4,0.5,75.0,1.75,0.75
Total,25,,,119.7,11.5,33.6,45.1,25.7,8.5,4.7,14.2,20.7,1.8,42.6,88.0,48.3,13.6,37.0,36.6,21.0,26.5,79.5,29.0,51.0,56.8,1.36,0.56
