Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Lauri Markkanen F,23,23.0,35.1,27.6,2.1,4.5,6.7,2.0,0.8,0.4,1.3,1.7,1.5,9.2,19.7,46.9,3.0,8.4,35.8,6.1,6.8,89.8,6.2,11.3,55.2,1.403,0.55
Keyonte George G,24,24.0,33.4,22.9,0.5,3.5,4.0,6.8,0.9,0.3,3.5,2.5,1.9,7.2,16.1,44.4,2.2,6.5,34.2,6.4,7.0,91.1,5.0,9.7,51.3,1.421,0.51
Walker Kessler C,5,5.0,30.8,14.4,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,0.9,5.2,7.4,70.3,1.2,1.6,75.0,2.8,4.0,70.0,4.0,5.8,69.0,1.946,0.78
Ace Bailey G,24,15.0,23.6,10.2,1.4,1.9,3.3,1.7,0.8,0.4,1.4,2.5,1.2,4.0,9.1,44.0,1.5,4.1,35.4,0.7,0.9,77.3,2.5,5.0,51.3,1.119,0.52
Kyle Filipowski F,23,7.0,22.5,9.3,1.7,4.6,6.3,2.4,0.6,0.5,1.2,2.8,2.0,3.3,7.2,46.4,0.9,2.8,32.8,1.7,2.3,72.2,2.4,4.4,54.9,1.289,0.53
Svi Mykhailiuk G,24,24.0,26.0,8.9,0.7,2.0,2.6,2.1,0.5,0.1,0.9,1.4,2.3,3.4,7.1,47.4,1.8,4.9,37.3,0.3,0.3,87.5,1.5,2.2,69.8,1.246,0.6
Brice Sensabaugh F,23,0.0,15.7,8.7,0.7,1.8,2.5,1.2,0.7,0.2,0.8,1.9,1.4,3.0,7.2,41.2,1.6,4.5,35.0,1.2,1.4,84.8,1.4,2.7,51.6,1.212,0.52
Jusuf Nurkic C,23,18.0,24.2,8.4,2.4,7.1,9.6,3.9,1.5,0.4,2.5,3.0,1.6,3.4,7.4,46.2,0.3,1.5,20.6,1.2,2.4,50.9,3.1,6.0,52.6,1.129,0.48
Kyle Anderson F,8,0.0,18.3,7.5,0.9,1.9,2.8,3.3,1.5,0.4,0.9,2.4,3.7,3.0,5.6,53.3,0.1,0.1,100.0,1.4,1.9,73.3,2.9,5.5,52.3,1.333,0.54
Isaiah Collier G,16,1.0,20.6,7.3,0.2,1.8,1.9,5.3,0.4,0.3,2.1,1.7,2.6,2.4,4.8,50.0,0.3,0.9,35.7,2.2,3.3,67.3,2.1,3.9,53.2,1.526,0.53
Walter Clayton Jr. G,20,0.0,16.7,6.5,0.5,1.7,2.2,3.6,0.5,0.2,1.4,2.0,2.6,2.3,5.3,42.5,0.9,2.8,30.9,1.2,1.2,95.8,1.4,2.6,54.9,1.226,0.5
Kevin Love F,15,0.0,15.0,6.5,1.4,3.1,4.5,1.7,0.3,0.3,0.7,1.7,2.4,2.1,4.9,43.8,1.3,3.5,35.8,0.9,1.2,77.8,0.9,1.3,65.0,1.329,0.57
Taylor Hendricks F,13,3.0,14.5,5.1,1.4,2.2,3.6,0.5,0.4,0.3,0.5,0.5,1.2,1.8,4.4,40.4,0.7,2.1,33.3,0.8,1.2,73.3,1.1,2.3,46.7,1.158,0.48
Elijah Harkless G,7,0.0,9.4,2.4,0.3,0.6,0.9,0.7,0.6,0.0,0.4,1.4,1.7,0.6,1.6,36.4,0.3,1.0,28.6,1.0,1.3,77.8,0.3,0.6,50.0,1.545,0.45
Cody Williams F,13,0.0,12.2,2.2,0.2,0.7,0.9,0.5,0.2,0.2,0.4,1.5,1.2,1.0,3.1,32.5,0.2,1.5,10.5,0.1,0.2,33.3,0.8,1.6,52.4,0.725,0.35
Total,24,,,118.1,12.8,32.9,45.6,29.7,7.7,3.5,15.9,22.5,1.9,41.3,90.6,45.5,13.6,39.6,34.3,22.0,27.2,81.0,27.7,51.0,54.2,1.303,0.53
