Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Alex Sarr C,16,16.0,29.7,19.1,2.4,6.2,8.6,3.3,0.8,2.0,2.1,2.1,1.5,7.8,15.1,51.5,1.1,3.3,34.6,2.4,3.8,63.9,6.6,11.8,56.1,1.266,0.55
CJ McCollum G,23,23.0,30.3,19.0,0.5,2.6,3.1,3.5,0.7,0.3,1.6,2.3,2.2,6.7,15.2,44.3,3.0,7.5,39.9,2.5,3.2,78.1,3.7,7.7,48.6,1.246,0.54
Kyshawn George F,21,21.0,31.2,15.1,0.8,4.9,5.7,4.7,1.1,0.9,3.3,4.2,1.4,5.4,11.4,47.1,2.5,5.6,44.4,1.9,2.5,75.5,2.9,5.9,49.6,1.325,0.58
Tre Johnson G,16,4.0,23.8,11.0,0.5,2.4,2.9,1.3,0.4,0.4,1.6,1.9,0.8,4.1,9.5,43.4,1.9,4.9,38.0,0.9,1.1,77.8,2.3,4.6,49.3,1.158,0.53
Khris Middleton F,16,16.0,25.8,10.4,1.2,3.0,4.2,3.5,0.7,0.4,1.8,3.0,1.9,4.2,8.5,49.3,0.9,2.5,35.0,1.2,1.6,73.1,3.3,6.0,55.2,1.228,0.54
Cam Whitmore F,21,0.0,16.9,9.2,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,0.8,3.7,8.0,45.6,0.8,2.7,28.6,1.1,1.5,74.2,2.9,5.4,54.0,1.142,0.5
Corey Kispert F,17,2.0,19.9,8.9,0.4,2.1,2.5,1.7,0.5,0.2,0.6,1.1,2.6,3.1,6.1,50.5,1.6,3.9,40.3,1.2,1.7,72.4,1.5,2.1,69.4,1.476,0.64
Marvin Bagley III F,19,6.0,18.6,8.8,2.3,2.9,5.3,1.4,0.5,0.7,1.0,2.1,1.4,3.6,6.0,60.5,0.3,0.5,50.0,1.3,1.8,71.4,3.4,5.5,61.5,1.474,0.63
Bilal Coulibaly G,12,12.0,27.2,8.8,0.5,3.5,4.0,3.0,1.3,1.0,1.8,2.7,1.6,2.8,7.6,37.4,0.9,3.4,26.8,2.3,2.9,77.1,1.9,4.2,46.0,1.165,0.43
Bub Carrington G,23,7.0,26.4,7.8,0.3,3.2,3.5,4.4,0.5,0.1,2.2,2.3,2.0,2.7,7.3,36.7,1.7,3.9,42.2,0.8,1.1,72.0,1.0,3.4,30.4,1.065,0.48
Tristan Vukcevic F,20,1.0,11.9,6.9,0.6,1.8,2.4,1.1,0.4,0.5,1.2,1.5,1.0,2.3,4.9,47.4,0.5,1.9,23.7,1.9,2.3,80.4,1.9,3.0,62.7,1.423,0.52
Justin Champagnie F,21,6.0,13.3,4.6,1.6,2.4,4.0,0.9,0.7,0.4,0.3,1.2,2.7,1.5,3.5,43.2,0.3,1.3,25.0,1.2,1.4,86.2,1.2,2.2,54.3,1.297,0.48
Will Riley G,17,0.0,10.8,4.1,0.7,1.1,1.8,1.0,0.3,0.1,0.7,0.7,1.4,1.5,3.2,47.3,0.3,1.1,27.8,0.8,1.0,76.5,1.2,2.2,56.8,1.273,0.52
Jamir Watkins G,8,1.0,12.1,3.8,0.5,1.9,2.4,0.5,0.0,0.4,0.4,1.6,1.3,1.4,2.3,61.1,0.5,1.1,44.4,0.5,0.5,100.0,0.9,1.1,77.8,1.667,0.72
Malaki Branham G,11,0.0,8.0,3.6,0.5,1.2,1.6,0.9,0.2,0.1,0.5,0.5,1.7,1.0,2.5,39.3,0.2,1.0,18.2,1.5,1.8,80.0,0.8,1.5,52.9,1.429,0.43
Anthony Gill F,9,0.0,3.6,1.9,0.2,0.6,0.8,0.0,0.0,0.1,0.4,0.3,0.0,0.7,0.8,85.7,0.1,0.1,100.0,0.4,0.4,100.0,0.6,0.7,83.3,2.429,0.93
AJ Johnson G,10,0.0,4.5,0.7,0.2,0.4,0.6,0.4,0.0,0.0,0.2,0.3,2.0,0.2,1.3,15.4,0.0,0.3,0.0,0.3,0.4,75.0,0.2,1.0,20.0,0.538,0.15
Sharife Cooper G,4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,23,,,113.0,10.7,32.0,42.7,25.7,6.9,5.8,16.2,22.3,1.6,41.4,89.5,46.3,13.4,36.3,36.9,16.7,22.2,75.5,28.0,53.2,52.7,1.263,0.54
