Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,82,94.3,36.6,83.0,44.1,3.1,9.9,31.7,18.0,24.2,74.3,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0
Boston Celtics,82,99.3,37.2,83.9,44.4,5.1,15.4,33.1,19.8,26.5,74.5,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1
Charlotte Hornets,82,98.4,35.8,79.7,44.9,4.1,12.2,33.9,22.7,30.0,75.8,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4
Chicago Bulls,82,84.8,31.3,75.4,41.5,4.1,12.6,32.9,18.1,25.5,70.9,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3
Cleveland Cavaliers,82,97.0,36.3,82.1,44.2,4.2,11.2,37.3,20.2,26.9,75.0,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1
Dallas Mavericks,82,101.4,39.0,85.9,45.3,6.3,16.2,39.1,17.2,21.4,80.4,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6
Denver Nuggets,82,99.0,37.3,84.3,44.2,5.7,17.0,33.6,18.7,25.8,72.4,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9
Detroit Pistons,82,103.5,37.1,80.9,45.9,5.4,14.9,35.9,23.9,30.6,78.1,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5
Golden State Warriors,82,95.5,36.5,87.1,42.0,4.2,13.0,32.3,18.3,26.2,69.7,15.9,29.7,45.6,22.6,8.9,4.3,15.9,24.9
Houston Rockets,82,99.5,36.6,81.3,45.0,7.1,19.8,35.8,19.2,26.2,73.3,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3
Indiana Pacers,82,101.3,37.2,81.0,45.9,7.1,18.1,39.2,19.9,24.5,81.1,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8
Los Angeles Clippers,82,92.0,35.1,82.4,42.6,5.2,15.5,33.9,16.6,22.3,74.6,11.6,29.0,40.6,18.0,7.0,6.0,16.2,22.2
Los Angeles Lakers,82,100.8,38.3,83.4,45.9,4.2,12.8,32.9,20.1,28.9,69.6,13.6,33.4,47.0,23.4,7.5,6.5,13.9,22.5
Miami Heat,82,94.4,36.3,78.8,46.0,5.4,14.7,37.1,16.4,22.3,73.6,11.2,31.9,43.2,23.5,7.1,6.4,15.0,23.7
Milwaukee Bucks,82,101.2,38.7,83.3,46.5,4.8,13.0,36.9,19.0,24.2,78.6,12.4,28.9,41.3,22.6,8.2,4.6,15.0,24.6
Minnesota Timberwolves,82,98.5,39.3,84.3,46.7,3.0,8.7,34.6,16.8,21.6,78.0,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3
New Jersey Nets,82,98.0,36.3,83.9,43.3,5.8,16.8,34.7,19.5,24.9,78.4,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3
New York Knicks,82,92.1,35.3,77.7,45.5,4.3,11.4,37.5,17.2,22.0,78.1,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2
Orlando Magic,82,100.1,38.6,85.5,45.2,3.6,10.6,33.8,19.2,26.1,73.5,14.0,31.0,44.9,20.8,9.1,5.7,17.6,24.0
Philadelphia 76ers,82,94.8,36.5,82.6,44.2,2.5,7.8,32.3,19.2,27.1,70.8,14.0,30.1,44.1,22.2,9.6,4.7,15.7,23.6
Phoenix Suns,82,98.9,37.7,82.6,45.7,5.6,15.2,36.8,17.9,23.6,75.9,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1
Portland Trail Blazers,82,97.5,36.8,78.4,47.0,5.0,13.8,36.1,18.8,24.7,76.0,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7
Sacramento Kings,82,105.0,40.0,88.9,45.0,6.5,20.2,32.2,18.5,24.6,75.4,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1
San Antonio Spurs,82,96.2,36.0,78.0,46.2,4.0,10.8,37.4,20.1,27.0,74.6,11.3,32.5,43.8,22.2,7.5,6.7,15.0,20.9
Seattle SuperSonics,82,99.1,37.9,84.7,44.7,6.7,19.6,33.9,16.6,23.9,69.5,12.7,30.3,43.0,22.9,8.0,4.2,14.0,21.7
Toronto Raptors,82,97.2,36.3,83.9,43.3,5.2,14.3,36.3,19.3,25.2,76.5,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3
Utah Jazz,82,96.5,36.1,77.8,46.4,4.0,10.4,38.5,20.3,26.2,77.3,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5
Vancouver Grizzlies,82,93.9,35.3,78.5,44.9,4.0,11.0,36.1,19.4,25.1,77.4,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9
Washington Wizards,82,96.6,36.7,81.5,45.1,4.1,10.9,37.6,19.1,25.7,74.3,13.0,29.7,42.7,21.6,7.2,4.7,16.1,26.2
