Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Eric Murdock,82,76.0,30.9,15.3,1.1,2.1,3.2,6.7,2.4,0.1,2.5,2.3,2.7,5.8,12.4,46.8,0.8,2.0,41.1,2.9,3.5,81.3,5.0,10.4,47.9,1.234,0.5,G,False
Frank Brickowski,43,40.0,33.5,15.2,1.2,5.3,6.5,3.8,1.2,0.4,2.9,3.8,1.3,5.8,12.1,48.2,0.1,0.4,16.7,3.4,4.4,77.5,5.8,11.7,49.3,1.253,0.48,C,True
Vin Baker,82,63.0,31.2,13.5,3.4,4.2,7.6,2.0,0.7,1.4,2.0,2.8,1.0,5.3,10.6,50.1,0.0,0.1,20.0,2.9,5.0,56.9,5.3,10.5,50.2,1.272,0.5,PF,False
Todd Day,76,39.0,28.0,12.7,1.5,2.6,4.1,1.8,1.4,0.7,1.7,2.9,1.1,4.6,11.1,41.5,0.4,1.9,22.3,3.0,4.4,69.8,4.2,9.2,45.6,1.143,0.43,G,False
Ken Norman,82,75.0,31.0,11.9,2.1,4.0,6.1,2.7,0.7,0.6,1.8,2.5,1.5,5.0,11.2,44.8,0.8,2.3,33.3,1.1,2.2,50.3,4.3,8.9,47.8,1.065,0.48,F,False
Blue Edwards,82,64.0,28.3,11.6,1.3,2.7,4.0,2.1,1.0,0.3,1.8,2.9,1.2,4.7,9.8,47.8,0.5,1.3,35.8,1.8,2.3,79.9,4.2,8.5,49.6,1.191,0.5,G,False
Anthony Avent,33,20.0,21.1,7.4,1.8,2.8,4.7,1.0,0.5,0.6,1.3,1.8,0.8,2.8,6.9,40.4,0.0,0.0,0.0,1.8,2.4,77.2,2.8,6.9,40.4,1.075,0.4,C,True
Derek Strong,67,11.0,16.9,6.6,1.6,2.6,4.2,0.7,0.6,0.2,0.9,1.0,0.8,2.1,5.1,41.3,0.0,0.2,23.1,2.4,3.1,77.2,2.1,4.9,42.1,1.302,0.42,F,False
Jon Barry,72,7.0,17.3,6.2,0.5,1.5,2.0,2.3,1.4,0.2,1.2,1.5,2.0,2.2,5.3,41.4,0.4,1.6,27.8,1.3,1.7,79.5,1.8,3.7,47.2,1.165,0.46,SG,False
Lee Mayberry,82,6.0,18.0,5.3,0.3,0.9,1.2,2.6,0.6,0.0,1.2,1.4,2.2,2.0,4.9,41.5,0.5,1.5,34.5,0.7,1.0,69.0,1.5,3.5,44.5,1.077,0.47,G,False
Brad Lohaus,67,2.0,14.4,4.0,0.5,1.7,2.2,0.9,0.4,0.8,0.9,2.1,1.1,1.5,4.2,36.3,0.7,2.0,34.3,0.3,0.4,69.0,0.8,2.2,38.1,0.961,0.44,F,False
Joe Courtney,19,0.0,9.3,3.4,0.7,0.8,1.5,0.3,0.4,0.3,0.6,1.1,0.5,1.4,3.7,38.6,0.1,0.2,66.7,0.5,0.8,60.0,1.3,3.5,37.3,0.929,0.4,F,True
Greg Foster,3,0.0,6.3,3.3,0.0,1.0,1.0,0.0,0.0,0.3,0.3,1.0,0.0,1.3,2.3,57.1,0.0,0.0,0.0,0.7,0.7,100.0,1.3,2.3,57.1,1.429,0.57,C,False
Anthony Cook,23,0.0,8.7,2.7,0.9,1.6,2.4,0.2,0.1,0.5,0.5,1.0,0.4,1.1,2.3,49.1,0.0,0.0,0.0,0.4,1.1,40.0,1.1,2.3,50.0,1.17,0.49,F,True
Danny Schayes,23,6.0,10.0,2.1,0.7,1.3,2.0,0.2,0.2,0.3,0.6,1.2,0.4,0.6,2.0,30.4,0.0,0.0,0.0,0.9,1.0,95.5,0.6,2.0,30.4,1.065,0.3,C,True
Mike Gminski,8,1.0,6.8,1.6,0.4,1.5,1.9,0.0,0.0,0.4,0.3,0.4,0.0,0.6,3.0,20.8,0.0,0.0,0.0,0.4,0.5,75.0,0.6,3.0,20.8,0.542,0.21,C,True
Total,82,,,96.9,13.7,26.3,40.0,23.7,9.8,5.0,16.4,22.2,1.4,37.1,83.0,44.7,4.0,12.4,32.5,18.7,26.6,70.2,33.1,70.6,46.9,1.168,0.47,Total,False
