Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Isaiah Rider,75,67.0,35.3,20.4,1.2,2.1,3.3,3.3,0.9,0.3,3.1,2.6,1.1,7.4,16.7,44.7,1.9,5.3,35.1,3.7,4.5,81.7,5.6,11.4,49.1,1.227,0.5,G,False
Christian Laettner,81,80.0,34.2,16.3,2.0,5.5,7.6,2.9,1.2,1.1,2.8,3.7,1.0,5.6,11.4,48.9,0.2,0.5,32.5,5.0,6.2,81.8,5.4,10.9,49.7,1.437,0.5,PF,False
Tom Gugliotta,31,17.0,32.8,14.4,1.6,5.6,7.2,4.5,2.0,0.9,2.6,2.8,1.7,5.2,11.5,45.4,0.9,2.8,31.8,3.0,3.9,76.2,4.3,8.7,49.8,1.246,0.49,PF,True
Doug West,71,65.0,32.8,12.9,0.8,2.4,3.2,2.6,0.9,0.3,1.8,3.5,1.5,4.9,10.7,46.1,0.2,0.9,18.0,2.9,3.5,83.7,4.8,9.9,48.5,1.206,0.47,F,False
Sean Rooks,80,70.0,30.1,10.9,2.1,4.0,6.1,1.2,0.4,0.9,1.8,2.6,0.7,3.6,7.7,47.0,0.0,0.1,0.0,3.6,4.8,76.1,3.6,7.6,47.4,1.411,0.47,C,False
Donyell Marshall,40,8.0,25.9,10.8,1.6,3.3,4.9,1.4,0.6,1.3,1.5,1.6,1.0,4.0,10.6,37.4,0.8,2.7,30.2,2.1,3.1,68.0,3.2,7.9,39.7,1.019,0.41,PF,True
Darrick Martin,34,9.0,23.6,7.5,0.4,1.5,1.9,3.9,1.0,0.0,1.8,2.6,2.1,2.8,6.9,40.8,0.2,1.1,18.4,1.7,1.9,87.7,2.6,5.7,45.1,1.09,0.42,PG,False
Winston Garland,73,58.0,26.5,6.1,0.7,1.6,2.3,4.4,1.0,0.2,1.4,2.5,3.0,2.3,5.6,41.5,0.3,1.0,25.3,1.2,1.5,79.5,2.1,4.6,45.1,1.093,0.44,G,False
Micheal Williams,1,1.0,28.0,6.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,1.0,1.0,4.0,25.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,4.0,25.0,1.5,0.25,G,False
Stacey King,50,10.0,15.8,5.3,1.1,2.2,3.3,0.5,0.5,0.4,1.3,2.5,0.4,2.0,4.2,46.7,0.0,0.0,0.0,1.4,2.0,66.7,2.0,4.2,46.9,1.255,0.47,F,False
Pat Durham,59,2.0,14.4,5.1,0.6,1.0,1.6,0.9,0.6,0.5,0.8,1.9,1.2,2.0,4.0,49.4,0.1,0.4,19.2,1.1,1.6,65.6,1.9,3.6,53.1,1.274,0.5,F,False
Chris Smith,64,17.0,16.8,5.0,0.2,0.9,1.1,2.3,0.5,0.3,0.8,1.9,2.9,1.8,4.1,43.9,0.7,1.7,43.5,0.6,1.0,65.1,1.1,2.4,44.2,1.212,0.53,G,False
Greg Foster,61,0.0,13.9,4.6,1.1,2.3,3.4,0.4,0.2,0.3,0.9,2.1,0.4,1.8,3.8,47.0,0.1,0.4,30.4,0.9,1.3,70.0,1.7,3.4,48.8,1.211,0.48,C,True
Charles Shackleford,21,2.0,11.4,4.5,0.8,2.4,3.2,0.4,0.4,0.3,0.4,2.2,1.0,1.9,3.1,60.0,0.0,0.0,0.0,0.8,1.0,80.0,1.9,3.1,60.0,1.446,0.6,C,False
Askia Jones,11,0.0,12.6,4.1,0.5,0.5,1.0,1.5,0.5,0.0,0.8,1.7,1.8,1.4,4.0,34.1,0.2,1.1,16.7,1.2,1.5,81.3,1.2,2.9,40.6,1.023,0.36,G,False
Howard Eisley,34,4.0,14.6,3.3,0.3,0.9,1.2,2.3,0.5,0.1,1.2,2.3,1.8,1.1,3.1,35.2,0.2,0.9,25.0,0.9,1.2,77.5,0.9,2.1,39.7,1.076,0.39,PG,True
Andres Guibert,17,0.0,9.8,2.6,0.9,1.7,2.6,0.6,0.5,0.1,0.7,1.7,0.8,0.9,2.8,34.0,0.0,0.2,0.0,0.8,1.1,68.4,0.9,2.5,37.2,0.957,0.34,F,False
Mike Brown,27,0.0,7.9,1.3,0.3,1.3,1.7,0.4,0.3,0.0,0.6,1.3,0.6,0.4,1.5,25.0,0.0,0.0,0.0,0.6,1.0,55.6,0.4,1.4,25.6,0.875,0.25,C,False
Total,82,,,94.2,10.8,25.5,36.3,21.7,7.4,4.9,17.1,25.3,1.3,34.0,75.8,44.9,3.9,12.4,31.3,22.2,28.7,77.5,30.2,63.5,47.5,1.242,0.47,Total,False
