Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Shawn Kemp,79,76.0,33.3,19.6,3.5,7.9,11.4,2.2,1.2,1.6,4.0,3.8,0.5,6.7,11.9,56.1,0.1,0.2,41.7,6.2,8.4,74.2,6.6,11.7,56.3,1.654,0.56,C,False
Gary Payton,81,81.0,39.0,19.3,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,2.3,7.6,15.8,48.4,1.2,3.7,32.8,2.8,3.8,74.8,6.4,12.1,53.2,1.225,0.52,PG,False
Detlef Schrempf,63,60.0,34.9,17.1,1.2,4.0,5.2,4.4,0.9,0.1,2.3,2.8,1.9,5.7,11.7,48.6,1.2,2.8,40.8,4.6,5.9,77.6,4.6,8.9,51.2,1.459,0.54,F,False
Hersey Hawkins,82,82.0,34.4,15.6,1.0,2.6,3.6,2.7,1.8,0.2,2.0,2.1,1.3,5.4,11.4,47.3,1.8,4.6,38.4,3.0,3.5,87.4,3.6,6.8,53.4,1.369,0.55,G,False
Sam Perkins,82,20.0,26.5,11.8,1.2,3.2,4.5,1.5,1.0,0.6,1.0,2.1,1.5,4.0,9.7,40.8,1.6,4.4,35.5,2.3,2.9,79.3,2.4,5.3,45.2,1.217,0.49,C,False
Vincent Askew,69,2.0,25.0,8.4,0.9,2.2,3.2,2.4,0.7,0.2,1.4,2.6,1.7,3.1,6.3,49.3,0.4,1.2,33.7,1.8,2.3,76.4,2.7,5.1,53.1,1.335,0.53,F,False
Ervin Johnson,81,60.0,18.8,5.5,1.6,3.8,5.3,0.6,0.5,1.6,1.2,3.0,0.5,2.2,4.3,51.1,0.0,0.0,33.3,1.0,1.6,66.9,2.2,4.3,51.3,1.267,0.51,C,False
Frank Brickowski,63,8.0,15.7,5.4,0.4,2.0,2.4,0.9,0.4,0.1,1.2,2.9,0.7,2.0,4.0,48.8,0.5,1.3,40.5,1.0,1.4,70.9,1.4,2.7,52.6,1.345,0.55,C,False
Nate McMillan,55,14.0,22.9,5.0,0.7,3.1,3.8,3.6,1.7,0.3,1.4,2.6,2.6,1.8,4.3,42.0,0.8,2.2,38.0,0.5,0.7,70.7,1.0,2.1,46.2,1.155,0.52,G,False
David Wingate,60,3.0,11.6,3.7,0.3,0.7,0.9,1.0,0.3,0.1,0.7,1.1,1.4,1.5,3.5,41.5,0.3,0.6,44.1,0.5,0.7,78.0,1.2,3.0,41.0,1.052,0.45,G,False
Sherrell Ford,28,1.0,5.0,3.2,0.4,0.4,0.9,0.2,0.3,0.0,0.2,1.0,0.8,1.1,2.9,37.5,0.1,0.9,16.0,0.9,1.2,76.5,0.9,2.0,47.3,1.125,0.4,F,False
Eric Snow,43,1.0,9.0,2.7,0.2,0.8,1.0,1.7,0.7,0.0,0.9,1.2,1.9,1.0,2.3,42.0,0.0,0.2,20.0,0.7,1.1,59.2,0.9,2.1,44.4,1.15,0.43,PG,False
Steve Scheffler,35,2.0,5.2,1.7,0.4,0.5,0.9,0.1,0.2,0.1,0.2,0.7,0.3,0.7,1.3,53.3,0.0,0.1,20.0,0.3,0.5,47.4,0.7,1.1,57.5,1.289,0.54,C,False
Total,82,,,104.5,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24.0,1.4,37.5,78.1,48.0,7.1,19.5,36.4,22.5,29.6,76.0,30.4,58.6,51.9,1.339,0.53,Total,False
