Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Alonzo Mourning,58,56.0,33.4,19.2,3.3,6.3,9.6,0.9,0.7,2.2,3.1,3.6,0.3,6.9,12.6,55.1,0.0,0.0,0.0,5.3,8.0,66.5,6.9,12.6,55.1,1.523,0.55,C,False
Tim Hardaway,81,81.0,37.4,18.9,0.6,3.1,3.7,8.3,1.7,0.2,2.8,2.5,3.0,6.9,16.0,43.1,1.9,5.5,35.1,3.2,4.1,78.1,5.0,10.5,47.2,1.179,0.49,G,False
Jamal Mashburn,48,48.0,36.0,15.1,1.5,3.4,4.9,2.8,0.9,0.3,2.3,2.9,1.2,5.2,12.0,43.5,0.8,2.5,30.3,3.8,4.8,79.7,4.5,9.5,47.0,1.253,0.47,SF,False
Isaac Austin,52,25.0,26.4,12.7,2.3,4.1,6.3,1.7,0.8,0.7,2.3,3.1,0.7,4.8,10.2,47.4,0.0,0.1,0.0,3.0,4.4,68.0,4.8,10.2,47.6,1.239,0.47,C,True
Voshon Lenard,81,81.0,32.4,12.6,0.9,2.7,3.6,2.2,0.7,0.2,1.2,2.7,1.8,4.5,10.5,42.5,1.9,4.7,40.5,1.7,2.2,78.8,2.6,5.9,44.1,1.194,0.51,SG,False
P.J. Brown,74,74.0,31.9,9.6,3.2,5.4,8.6,1.4,0.9,1.3,1.3,3.6,1.1,3.8,8.0,47.1,0.0,0.0,0.0,2.0,2.7,76.7,3.8,8.0,47.1,1.198,0.47,PF,False
Dan Majerle,72,22.0,26.8,7.2,0.7,3.1,3.7,2.2,0.9,0.2,0.9,1.9,2.4,2.6,6.1,41.9,1.5,4.1,37.6,0.6,0.7,78.4,1.0,2.0,50.7,1.182,0.55,G,False
Mark Strickland,51,8.0,16.6,6.8,1.6,2.6,4.2,0.5,0.4,0.7,0.9,1.7,0.6,2.8,5.3,53.9,0.0,0.0,0.0,1.2,1.6,72.0,2.8,5.3,54.1,1.297,0.54,F,False
Eric Murdock,82,1.0,17.0,6.2,0.5,1.4,1.9,2.7,1.3,0.2,1.3,2.1,2.1,2.2,5.1,42.2,0.3,1.1,30.8,1.5,1.9,80.1,1.8,4.0,45.4,1.21,0.46,G,False
Todd Day,5,0.0,13.8,6.0,0.8,0.4,1.2,1.4,1.4,0.0,0.6,2.0,2.3,2.2,6.2,35.5,0.4,2.4,16.7,1.2,1.8,66.7,1.8,3.8,47.4,0.968,0.39,G,False
Marty Conlon,18,0.0,11.6,4.9,0.9,1.7,2.6,0.7,0.5,0.3,0.6,1.5,1.1,1.6,3.4,45.2,0.0,0.0,0.0,1.8,2.4,72.7,1.6,3.4,45.2,1.419,0.45,F,False
Terry Mills,50,0.0,15.6,4.2,0.7,2.4,3.0,0.8,0.4,0.2,0.9,2.6,0.9,1.6,4.1,39.3,0.5,1.6,30.9,0.5,0.7,75.8,1.1,2.5,44.8,1.029,0.45,F,False
Brent Barry,17,0.0,15.2,4.1,0.1,1.5,1.6,1.2,0.8,0.2,0.5,1.8,2.3,1.4,3.6,37.1,0.7,2.0,35.3,0.7,0.7,100.0,0.6,1.6,39.3,1.129,0.47,SG,True
Keith Askins,46,12.0,14.8,2.4,0.6,1.6,2.2,0.6,0.6,0.3,0.6,2.3,1.1,0.8,2.7,32.0,0.5,1.6,28.4,0.3,0.4,63.2,0.4,1.0,37.5,0.91,0.41,F,False
Duane Causwell,37,2.0,9.8,2.4,0.8,1.9,2.7,0.1,0.2,0.7,0.5,2.0,0.3,1.0,2.4,41.6,0.0,0.0,0.0,0.4,0.7,57.7,1.0,2.4,41.6,1.0,0.42,C,False
Antonio Lang,6,0.0,4.8,2.0,0.3,0.5,0.8,0.2,0.3,0.0,0.7,0.5,0.3,0.5,0.8,60.0,0.0,0.0,0.0,1.0,1.3,75.0,0.5,0.8,60.0,2.4,0.6,F,False
Rex Walters,19,0.0,5.7,2.0,0.1,0.7,0.8,0.7,0.2,0.1,0.5,0.6,1.4,0.7,1.3,54.2,0.2,0.4,37.5,0.5,0.6,81.8,0.5,0.8,62.5,1.583,0.6,G,True
Charles A Smith,11,0.0,2.9,0.9,0.5,0.3,0.7,0.2,0.2,0.1,0.5,0.3,0.3,0.4,1.6,22.2,0.1,0.3,33.3,0.1,0.2,50.0,0.3,1.4,20.0,0.556,0.25,SG,True
Total,82,,,95.0,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,1.4,34.8,77.2,45.0,6.7,18.8,35.5,18.8,25.4,73.9,28.1,58.3,48.1,1.231,0.49,Total,False
