Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Damon Stoudamire,49,49.0,41.5,19.4,1.3,3.1,4.4,8.1,1.6,0.1,3.2,2.3,2.5,7.2,17.0,42.5,1.3,4.2,31.7,3.7,4.3,84.4,5.9,12.8,46.0,1.143,0.46,PG,True
Doug Christie,78,78.0,37.7,16.5,1.2,4.0,5.2,3.6,2.4,0.7,2.9,2.5,1.2,5.9,13.7,42.8,1.3,3.9,32.6,3.5,4.2,82.9,4.6,9.8,46.9,1.202,0.47,SG,False
John Wallace,82,36.0,28.8,14.0,1.4,3.1,4.5,1.3,0.8,1.2,2.1,2.9,0.6,5.7,11.9,47.8,0.0,0.0,50.0,2.6,3.6,71.7,5.7,11.9,47.8,1.172,0.48,SF,False
Walt Williams,28,16.0,31.3,12.4,1.0,3.3,4.2,2.5,1.4,0.8,1.9,3.6,1.3,4.5,11.4,39.2,1.8,4.6,38.0,1.8,2.1,81.7,2.7,6.8,40.0,1.091,0.47,F,True
Gary Trent,13,7.0,27.3,12.2,3.3,4.7,8.0,1.1,0.6,0.6,1.7,3.5,0.6,4.9,11.2,43.8,0.0,0.2,0.0,2.4,3.8,63.3,4.9,11.0,44.8,1.089,0.44,PF,True
Dee Brown,31,2.0,29.3,12.2,0.5,2.5,2.9,3.3,1.2,0.5,1.3,1.5,2.5,4.4,9.9,44.6,2.1,5.1,41.1,1.3,1.4,90.7,2.3,4.8,48.3,1.231,0.55,G,True
Marcus Camby,63,58.0,31.8,12.1,3.2,4.2,7.4,1.8,1.1,3.7,2.1,3.2,0.8,4.9,11.9,41.2,0.0,0.0,0.0,2.4,3.9,61.1,4.9,11.8,41.3,1.024,0.41,C,False
Chauncey Billups,29,26.0,31.7,11.3,0.8,1.9,2.7,3.3,1.0,0.1,1.9,1.9,1.7,3.6,10.2,34.9,1.5,4.7,31.6,2.7,3.0,91.9,2.1,5.5,37.7,1.112,0.42,PG,True
Popeye Jones,14,4.0,25.1,8.6,3.6,3.7,7.3,1.3,0.7,0.2,1.1,2.8,1.1,3.7,9.1,40.9,0.1,0.2,66.7,1.0,1.4,73.7,3.6,8.9,40.3,0.945,0.42,PF,False
Reggie Slater,78,28.0,21.3,8.0,1.7,2.2,3.9,0.9,0.6,0.4,1.3,2.6,0.7,2.7,5.9,46.0,0.0,0.0,0.0,2.6,4.1,63.0,2.7,5.9,46.0,1.362,0.46,F,False
Tracy McGrady,64,17.0,18.4,7.0,1.6,2.6,4.2,1.5,0.8,1.0,1.0,1.3,1.5,2.8,6.2,45.0,0.2,0.6,34.1,1.2,1.7,71.2,2.6,5.6,46.2,1.133,0.47,SG,False
Zan Tabak,39,29.0,19.3,6.4,1.5,2.4,3.9,0.9,0.4,0.7,1.1,3.0,0.8,3.0,6.4,46.6,0.0,0.0,0.0,0.4,1.2,33.3,3.0,6.4,46.8,0.996,0.47,C,True
Oliver Miller,64,53.0,25.4,6.3,2.3,4.0,6.3,3.1,0.9,1.1,2.0,2.9,1.5,2.7,5.8,46.1,0.0,0.1,0.0,1.0,1.6,60.4,2.7,5.7,46.6,1.087,0.46,C,False
Carlos Rogers,18,0.0,19.5,6.0,1.9,1.7,3.6,0.9,0.5,0.4,0.7,1.9,1.2,2.5,4.8,51.7,0.0,0.1,0.0,1.0,1.8,56.3,2.5,4.8,52.3,1.241,0.52,F,True
Lloyd Daniels,6,0.0,13.7,5.7,0.7,0.5,1.2,0.7,0.5,0.3,0.7,0.7,1.0,2.0,4.8,41.4,0.3,1.5,22.2,1.3,1.7,80.0,1.7,3.3,50.0,1.172,0.45,G,False
Shawn Respert,47,4.0,14.8,5.5,0.6,0.9,1.6,0.9,0.6,0.0,0.7,1.2,1.3,2.0,4.4,45.0,0.5,1.4,37.3,0.9,1.1,81.5,1.5,3.0,48.6,1.23,0.51,G,True
Alvin Williams,13,3.0,15.9,3.2,0.4,1.2,1.6,1.5,0.6,0.1,0.6,1.5,2.5,1.2,3.4,36.4,0.2,0.3,50.0,0.5,0.8,63.6,1.1,3.1,35.0,0.932,0.39,PG,True
Sharone Wright,7,0.0,6.3,2.3,0.1,1.1,1.3,0.6,0.0,0.0,0.3,1.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.3,0.6,50.0,1.0,2.0,50.0,1.143,0.5,C,False
Roy Rogers,6,0.0,11.5,2.2,1.3,0.7,2.0,0.2,0.2,0.7,0.7,2.0,0.3,1.0,2.8,35.3,0.0,0.0,0.0,0.2,0.7,25.0,1.0,2.8,35.3,0.765,0.35,F,True
John Thomas,21,0.0,8.0,2.0,0.8,1.0,1.7,0.2,0.1,0.1,0.6,1.5,0.3,0.7,1.6,42.4,0.0,0.0,0.0,0.7,1.0,71.4,0.7,1.6,42.4,1.303,0.42,C,True
Chris Garner,38,0.0,7.7,1.4,0.2,0.4,0.6,1.2,0.6,0.1,0.7,1.3,1.8,0.6,1.8,32.9,0.1,0.4,28.6,0.1,0.2,42.9,0.5,1.5,33.9,0.757,0.36,G,False
Tim Kempton,5,0.0,6.4,0.8,0.8,0.2,1.0,0.4,0.2,0.4,0.8,1.4,0.5,0.4,1.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,28.6,0.571,0.29,F,True
Ed Stokes,4,0.0,4.3,0.8,0.3,0.8,1.0,0.3,0.3,0.5,0.5,1.0,0.5,0.3,0.8,33.3,0.0,0.0,0.0,0.3,0.5,50.0,0.3,0.8,33.3,1.0,0.33,C,False
Bob McCann,1,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G,False
Total,82,,,94.9,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,1.3,36.2,83.1,43.5,4.5,13.2,34.3,18.0,25.1,71.8,31.6,69.8,45.3,1.142,0.46,Total,False
