Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Stephon Marbury,31,31.0,39.8,23.4,0.6,1.9,2.6,8.7,1.0,0.1,3.5,2.6,2.5,8.2,18.7,43.9,1.9,5.1,36.7,5.1,6.2,83.2,6.3,13.6,46.6,1.252,0.49,PG,True
Keith Van Horn,42,42.0,37.5,21.8,2.7,5.8,8.5,1.5,1.0,1.3,3.2,3.2,0.5,7.7,17.9,42.8,0.4,1.3,30.2,6.1,7.1,85.9,7.3,16.6,43.8,1.218,0.44,PF,False
Sam Cassell,4,3.0,25.0,18.0,0.3,1.3,1.5,4.8,0.8,0.0,3.0,3.3,1.6,5.3,12.3,42.9,0.3,1.8,14.3,7.3,7.8,93.5,5.0,10.5,47.6,1.469,0.44,PG,True
Kerry Kittles,46,40.0,34.1,12.9,1.1,3.0,4.2,2.5,1.7,0.6,1.4,1.8,1.8,4.9,13.3,37.0,1.1,3.4,31.6,1.9,2.5,77.2,3.8,9.9,38.9,0.966,0.41,SG,False
Kendall Gill,50,47.0,32.1,11.8,1.2,3.7,4.9,2.5,2.7,0.5,1.4,3.2,1.7,4.7,11.9,39.8,0.0,0.3,11.8,2.3,3.3,68.3,4.7,11.5,40.6,0.992,0.4,SF,False
Jayson Williams,30,30.0,34.0,8.1,4.9,7.1,12.0,1.1,0.8,2.0,1.5,4.2,0.7,3.2,7.3,44.5,0.0,0.1,0.0,1.6,2.8,56.5,3.2,7.2,44.9,1.11,0.44,C,False
Doug Overton,8,1.0,21.8,8.0,0.8,1.4,2.1,2.0,0.4,0.1,1.9,1.8,1.1,3.1,7.1,43.9,0.3,0.5,50.0,1.5,1.8,85.7,2.9,6.6,43.4,1.123,0.46,PG,True
Eric Murdock,15,8.0,26.7,7.9,0.2,2.1,2.3,4.4,1.5,0.1,1.9,2.3,2.3,3.0,7.6,39.5,0.5,1.5,36.4,1.4,1.7,80.8,2.5,6.1,40.2,1.044,0.43,G,False
Jamie Feick,26,16.0,32.7,6.8,4.3,6.7,11.0,0.9,1.0,0.7,1.3,2.8,0.7,2.6,5.1,50.4,0.0,0.0,0.0,1.7,2.3,71.7,2.6,5.1,50.4,1.331,0.5,F,True
Scott Burrell,32,10.0,22.1,6.6,1.0,2.7,3.7,1.4,1.3,0.3,0.7,2.6,2.0,2.3,6.5,36.1,0.9,2.3,38.9,1.1,1.3,81.0,1.5,4.3,34.6,1.019,0.43,G,False
Chris Carr,28,2.0,13.0,6.6,0.8,1.3,2.1,0.6,0.3,0.0,0.9,1.3,0.7,2.4,6.4,37.4,0.9,2.4,37.9,0.9,1.3,69.4,1.5,4.0,37.2,1.028,0.44,G,True
Mark Hendrickson,22,6.0,18.1,5.5,1.2,1.9,3.1,0.6,0.5,0.0,0.7,1.8,0.9,1.8,4.0,44.3,0.0,0.0,0.0,1.9,2.3,84.0,1.8,4.0,44.8,1.364,0.44,F,False
Lucious Harris,36,5.0,16.7,5.4,0.6,1.3,1.9,0.9,0.5,0.2,0.5,1.4,1.7,2.0,5.0,40.3,0.3,1.4,22.0,1.0,1.3,75.0,1.7,3.6,47.3,1.066,0.43,SG,False
