Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Shawn Kemp,42,42.0,35.1,20.5,3.1,6.1,9.2,2.4,1.1,1.1,3.0,3.8,0.8,6.6,13.7,48.2,0.0,0.0,50.0,7.3,9.3,78.9,6.6,13.6,48.2,1.499,0.48,C,False
Zydrunas Ilgauskas,5,5.0,34.2,15.2,3.4,5.4,8.8,0.8,0.8,1.4,1.8,4.8,0.4,5.8,11.4,50.9,0.0,0.0,0.0,3.6,6.0,60.0,5.8,11.4,50.9,1.333,0.51,C,False
Wesley Person,45,42.0,29.8,11.2,0.4,2.7,3.2,1.8,0.8,0.4,0.9,1.2,2.0,4.4,9.7,45.3,1.7,4.4,37.5,0.7,1.2,60.4,2.7,5.3,51.9,1.151,0.54,SF,False
Derek Anderson,38,13.0,25.7,10.8,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,1.8,3.3,8.3,39.8,0.6,1.8,30.4,3.6,4.3,83.6,2.7,6.4,42.4,1.303,0.43,SG,False
Brevin Knight,39,38.0,30.4,9.6,0.4,2.9,3.4,7.7,1.8,0.2,2.7,2.9,2.9,3.4,8.1,42.5,0.0,0.1,0.0,2.7,3.6,74.5,3.4,7.9,43.2,1.184,0.43,PG,False
Cedric Henderson,50,48.0,30.3,9.1,0.9,3.0,3.9,2.3,1.2,0.5,1.9,2.7,1.2,3.8,9.1,41.7,0.0,0.2,16.7,1.5,1.8,81.3,3.7,8.8,42.4,1.002,0.42,F,False
Andrew DeClercq,33,31.0,25.6,9.0,2.2,3.7,5.8,0.6,1.1,0.6,1.0,3.3,0.7,3.3,6.6,50.2,0.0,0.0,0.0,2.3,3.4,67.9,3.3,6.6,50.2,1.352,0.5,C,True
Vitaly Potapenko,17,12.0,27.5,8.4,1.4,4.2,5.5,0.9,0.6,0.9,1.6,3.1,0.6,3.2,7.4,43.7,0.0,0.1,0.0,1.9,2.9,67.3,3.2,7.4,44.0,1.135,0.44,C,True
Danny Ferry,50,10.0,21.2,7.0,0.3,1.7,2.0,1.1,0.5,0.2,0.8,2.3,1.4,2.8,5.9,47.6,0.8,1.9,39.2,0.6,0.7,87.9,2.1,4.0,51.8,1.179,0.54,F,False
Johnny Newman,50,2.0,19.0,6.1,0.3,1.2,1.5,0.8,0.6,0.2,0.8,2.5,1.0,2.1,5.0,42.2,0.5,1.2,37.7,1.4,1.7,81.0,1.7,3.8,43.7,1.207,0.47,F,False
Mitchell Butler,31,1.0,13.5,5.4,0.4,1.0,1.4,0.7,0.5,0.1,0.9,1.3,0.8,2.2,4.5,48.2,0.4,0.9,37.9,0.7,1.0,71.9,1.8,3.5,50.9,1.209,0.52,SG,False
Bob Sura,50,6.0,16.8,4.3,0.4,1.6,2.0,3.0,0.9,0.3,1.3,2.0,2.3,1.4,4.2,33.3,0.2,0.9,20.0,1.3,2.1,63.1,1.2,3.3,37.0,1.019,0.35,PG,False
Corie Blount,20,0.0,18.4,3.4,1.7,3.6,5.3,0.5,0.9,0.6,0.8,2.4,0.7,1.2,3.4,34.3,0.0,0.0,0.0,1.1,2.1,52.4,1.2,3.4,34.3,1.015,0.34,PF,True
Ryan Stack,18,0.0,11.1,2.6,1.1,0.8,1.9,0.3,0.1,0.6,0.5,1.7,0.6,0.8,2.1,37.8,0.0,0.0,0.0,1.1,1.1,95.0,0.8,2.1,37.8,1.27,0.38,F,False
Earl Boykins,17,0.0,10.0,2.6,0.4,0.4,0.8,1.6,0.3,0.0,0.8,1.0,2.1,1.2,3.4,34.5,0.1,0.8,15.4,0.1,0.2,66.7,1.1,2.6,40.0,0.759,0.36,PG,True
Antonio Lang,10,0.0,6.5,1.3,0.6,1.0,1.6,0.1,0.2,0.1,0.4,1.3,0.3,0.4,0.6,66.7,0.0,0.0,0.0,0.5,0.9,55.6,0.4,0.6,66.7,2.167,0.67,F,False
Litterial Green,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G,False
Total,50,,,86.4,9.4,26.3,35.8,21.9,9.0,4.1,15.7,24.2,1.4,31.2,71.2,43.9,3.6,10.7,34.1,20.3,27.1,74.9,27.6,60.5,45.6,1.214,0.46,Total,False
