Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Lamar Odom,76,74.0,37.3,17.2,1.4,6.3,7.8,5.2,1.0,1.6,3.5,3.1,1.5,6.3,13.8,46.0,1.1,3.3,31.6,3.4,5.1,67.9,5.3,10.4,50.6,1.247,0.5,PF,False
Jeff McInnis,81,81.0,35.0,12.9,0.5,2.2,2.7,5.5,0.9,0.1,1.4,2.5,4.0,5.3,11.5,46.3,0.6,1.8,36.1,1.6,2.0,80.7,4.7,9.7,48.2,1.121,0.49,PG,False
Eric Piatkowski,81,40.0,26.5,10.6,0.7,2.3,3.0,1.2,0.6,0.2,0.9,1.5,1.3,3.6,8.3,43.3,1.5,3.7,40.4,2.0,2.2,87.3,2.1,4.6,45.6,1.28,0.52,SG,False
Corey Maggette,69,9.0,19.7,10.0,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2.0,0.8,3.3,7.1,46.2,0.2,0.8,30.4,3.2,4.2,77.4,3.0,6.2,48.3,1.417,0.48,SF,False
Darius Miles,81,21.0,26.3,9.4,1.6,4.3,5.9,1.2,0.6,1.5,1.8,2.4,0.7,3.9,7.8,50.5,0.0,0.2,5.3,1.5,2.9,52.1,3.9,7.5,51.9,1.208,0.51,SF,False
Michael Olowokandi,82,82.0,25.9,8.5,2.0,4.4,6.4,0.6,0.4,1.3,2.1,3.0,0.3,3.8,8.6,43.5,0.0,0.0,0.0,1.0,1.9,54.5,3.8,8.6,43.5,0.99,0.44,C,False
Quentin Richardson,76,28.0,17.9,8.1,1.4,2.0,3.4,0.8,0.6,0.1,0.8,1.3,1.0,3.1,6.9,44.2,0.7,2.0,33.1,1.3,2.1,62.7,2.4,4.9,48.7,1.168,0.49,SF,False
Tyrone Nesby,14,12.0,23.8,7.7,1.1,1.9,3.0,0.8,0.7,0.3,0.7,2.0,1.1,2.9,8.8,32.5,0.7,3.3,21.7,1.3,1.6,78.3,2.1,5.5,39.0,0.878,0.37,F,True
Earl Boykins,10,0.0,14.9,6.5,0.4,0.7,1.1,3.2,0.5,0.0,0.9,0.9,3.6,2.5,6.3,39.7,0.1,0.8,12.5,1.4,1.7,82.4,2.4,5.5,43.6,1.032,0.4,PG,False
Keyon Dooling,76,1.0,16.3,5.9,0.1,1.1,1.2,2.3,0.5,0.1,1.2,1.4,1.9,1.9,4.8,40.9,0.4,1.1,35.0,1.6,2.4,69.8,1.6,3.7,42.6,1.24,0.45,PG,False
Sean Rooks,82,0.0,18.9,5.4,1.1,2.6,3.7,0.9,0.4,0.8,0.9,2.4,1.1,2.1,4.8,42.8,0.0,0.0,50.0,1.3,1.7,74.8,2.0,4.8,42.7,1.129,0.43,C,False
Cherokee Parks,52,31.0,16.8,4.8,1.1,2.5,3.6,0.8,0.4,0.5,0.6,2.0,1.3,2.2,4.5,49.2,0.0,0.1,0.0,0.4,0.5,70.4,2.2,4.4,50.4,1.064,0.49,PF,True
Derek Strong,28,8.0,17.5,4.2,1.2,2.6,3.9,0.3,0.5,0.0,0.8,1.1,0.3,1.6,4.2,38.5,0.0,0.0,0.0,1.0,1.3,75.7,1.6,4.1,38.8,1.009,0.38,F,False
Brian Skinner,39,23.0,15.0,4.1,1.4,2.9,4.3,0.5,0.4,0.3,0.8,1.6,0.6,1.6,4.1,39.8,0.0,0.0,0.0,0.8,1.5,54.2,1.6,4.1,39.8,0.994,0.4,PF,False
Zendon Hamilton,3,0.0,6.3,3.0,1.0,1.7,2.7,0.0,0.0,0.0,0.7,1.3,0.0,0.7,3.0,22.2,0.0,0.0,0.0,1.7,2.7,62.5,0.7,3.0,22.2,1.0,0.22,C,False
Total,82,,,92.5,11.7,31.2,42.9,19.3,6.0,6.3,15.8,21.6,1.2,35.3,78.9,44.8,4.4,13.0,33.9,17.4,25.1,69.3,30.9,65.9,46.9,1.172,0.48,Total,False
