Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Shareef Abdur-Rahim,77,77.0,38.7,21.2,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8,1.0,7.8,16.8,46.1,0.3,0.9,30.0,5.4,6.8,80.1,7.5,15.9,47.0,1.261,0.47,PF,False
Jason Terry,78,78.0,38.0,19.3,0.5,2.9,3.5,5.7,1.8,0.2,2.3,2.0,2.5,6.7,15.6,43.0,2.2,5.7,38.7,3.6,4.4,83.5,4.5,9.9,45.4,1.234,0.5,G,False
Toni Kukoc,59,9.0,25.3,9.9,0.7,3.0,3.7,3.6,0.8,0.3,1.9,1.5,1.9,3.6,8.5,41.9,0.9,2.9,31.0,1.8,2.6,71.2,2.7,5.6,47.4,1.159,0.47,SF,False
Nazr Mohammed,82,73.0,26.4,9.7,3.0,5.0,7.9,0.4,0.8,0.7,1.4,3.1,0.3,4.0,8.7,46.1,0.0,0.0,0.0,1.7,2.7,61.7,4.0,8.7,46.2,1.115,0.46,C,False
Dion Glover,55,25.0,21.0,8.9,0.7,2.4,3.1,1.5,0.8,0.3,1.4,1.6,1.1,3.5,8.3,42.1,0.5,1.7,33.0,1.4,1.9,75.7,2.9,6.6,44.4,1.079,0.45,SG,False
Theo Ratliff,3,2.0,27.3,8.7,1.7,3.7,5.3,0.3,0.3,2.7,2.3,2.7,0.1,3.3,6.7,50.0,0.0,0.0,0.0,2.0,3.7,54.5,3.3,6.7,50.0,1.3,0.5,C,False
DerMarr Johnson,72,46.0,24.0,8.4,0.8,2.6,3.4,1.1,0.9,0.8,1.4,2.3,0.8,3.0,7.5,39.6,1.2,3.4,36.0,1.2,1.5,81.0,1.7,4.1,42.7,1.115,0.48,SF,False
Ira Newble,42,35.0,30.3,8.0,1.9,3.4,5.3,1.1,0.9,0.5,1.2,2.8,0.9,3.1,6.3,49.8,0.0,0.2,14.3,1.8,2.1,85.2,3.1,6.1,50.8,1.285,0.5,SF,False
Chris Crawford,7,4.0,18.7,7.6,1.3,2.3,3.6,0.7,0.3,0.7,1.4,3.0,0.5,3.0,6.4,46.7,0.0,0.1,0.0,1.6,2.1,73.3,3.0,6.3,47.7,1.178,0.47,SF,False
Emanual Davis,28,20.0,27.6,6.6,0.7,2.0,2.6,2.4,1.0,0.2,1.9,2.4,1.3,2.5,7.1,35.4,1.0,3.0,34.1,0.6,0.6,88.9,1.5,4.0,36.3,0.934,0.43,G,False
Jacque Vaughn,82,16.0,22.6,6.6,0.2,1.8,2.0,4.3,0.8,0.0,1.4,2.2,3.1,2.5,5.3,47.0,0.3,0.7,44.4,1.3,1.5,82.5,2.2,4.7,47.4,1.233,0.5,PG,False
Alan Henderson,26,1.0,16.2,5.5,1.2,2.5,3.7,0.4,0.4,0.6,0.8,1.5,0.5,2.3,4.5,50.9,0.0,0.0,100.0,0.9,1.7,53.3,2.2,4.4,50.4,1.233,0.51,PF,False
Hanno Mottola,82,14.0,16.7,4.8,1.0,2.3,3.3,0.6,0.2,0.2,0.9,2.1,0.7,2.1,4.7,44.0,0.0,0.2,7.7,0.7,0.9,75.0,2.0,4.5,45.3,1.031,0.44,C,False
Mark Strickland,46,10.0,14.2,4.5,0.9,2.0,2.8,0.4,0.4,0.4,0.6,1.0,0.7,2.0,4.4,44.6,0.0,0.1,25.0,0.5,1.0,56.8,2.0,4.3,45.0,1.02,0.45,F,False
Reggie Slater,4,0.0,9.3,4.0,1.3,0.5,1.8,0.3,0.3,0.3,0.0,0.5,inf,1.3,3.3,38.5,0.0,0.0,0.0,1.5,2.3,66.7,1.3,3.3,38.5,1.231,0.38,F,True
Cal Bowdler,52,0.0,11.3,3.1,0.7,1.4,2.1,0.2,0.3,0.3,0.2,1.2,1.0,1.2,3.3,35.1,0.0,0.1,20.0,0.8,0.9,83.0,1.2,3.3,35.5,0.931,0.35,F,False
Leon Smith,14,0.0,7.1,2.2,0.7,1.5,2.2,0.2,0.4,0.1,0.2,0.9,1.0,0.7,1.9,38.5,0.0,0.0,0.0,0.8,1.2,64.7,0.7,1.9,38.5,1.192,0.38,PF,False
Dickey Simpkins,1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,False
Total,82,,,94.0,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.8,1.3,35.4,80.6,43.9,5.2,14.6,35.4,18.1,23.7,76.5,30.2,66.0,45.8,1.167,0.47,Total,False
