Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Tracy McGrady,76,76.0,38.3,25.6,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,2.1,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,8.1,17.1,47.0,1.228,0.48,SG,False
Grant Hill,14,14.0,36.6,16.8,2.1,6.9,8.9,4.6,0.6,0.3,2.6,2.9,1.7,5.9,13.9,42.6,0.0,0.1,0.0,4.9,5.7,86.3,5.9,13.8,43.0,1.205,0.43,SF,False
Mike Miller,63,53.0,33.7,15.2,0.8,3.6,4.3,3.1,0.7,0.4,1.7,2.3,1.8,5.6,12.7,43.8,1.8,4.8,38.3,2.2,2.9,76.2,3.7,7.9,47.1,1.192,0.51,SG,False
Darrell Armstrong,82,79.0,33.3,12.4,1.0,2.9,3.9,5.5,1.9,0.1,2.1,2.0,2.6,4.2,10.1,41.9,1.7,4.9,34.9,2.2,2.5,88.8,2.5,5.2,48.4,1.226,0.5,PG,False
Troy Hudson,81,4.0,22.9,11.7,0.4,1.4,1.8,3.1,0.7,0.1,2.0,1.5,1.6,4.4,10.1,43.4,0.8,2.3,35.3,2.2,2.5,87.6,3.6,7.8,45.9,1.166,0.47,PG,False
Pat Garrity,80,43.0,30.1,11.1,1.0,3.3,4.2,1.2,0.8,0.4,0.9,2.9,1.5,4.1,9.6,42.6,2.1,5.0,42.7,0.8,0.9,83.6,2.0,4.6,42.6,1.153,0.54,PF,False
Horace Grant,76,76.0,29.1,8.0,2.1,4.2,6.3,1.4,0.8,0.6,0.7,1.6,2.0,3.5,6.8,51.3,0.0,0.0,0.0,1.1,1.5,72.1,3.5,6.8,51.3,1.181,0.51,C,False
Monty Williams,68,19.0,18.9,7.1,1.2,2.3,3.5,1.4,0.7,0.3,1.3,2.0,1.1,2.9,5.3,54.7,0.0,0.1,0.0,1.3,2.0,65.7,2.9,5.3,55.3,1.337,0.55,SF,False
Patrick Ewing,65,4.0,13.9,6.0,0.9,3.1,4.0,0.5,0.3,0.7,1.0,2.0,0.5,2.3,5.1,44.4,0.0,0.0,0.0,1.4,2.1,70.1,2.3,5.1,44.6,1.171,0.44,C,False
Jaren Jackson,9,0.0,16.0,4.3,0.1,1.8,1.9,0.9,0.6,0.0,0.9,1.4,1.0,1.7,4.1,40.5,0.8,2.2,35.0,0.2,0.4,50.0,0.9,1.9,47.1,1.054,0.5,G,False
Steven Hunter,53,21.0,9.7,3.6,0.8,1.1,1.8,0.1,0.1,0.8,0.3,1.5,0.3,1.3,2.8,45.6,0.0,0.0,0.0,1.0,1.8,58.5,1.3,2.8,45.6,1.286,0.46,C,False
Bo Outlaw,10,0.0,16.0,3.4,1.5,1.4,2.9,0.5,0.9,0.9,1.1,2.3,0.5,1.3,2.1,61.9,0.0,0.0,0.0,0.8,1.8,44.4,1.3,2.1,61.9,1.619,0.62,PF,True
Don Reid,68,5.0,10.5,3.3,1.0,1.6,2.6,0.4,0.3,0.6,0.8,2.6,0.5,1.3,2.8,47.4,0.0,0.0,0.0,0.6,1.0,64.7,1.3,2.8,47.4,1.179,0.47,F,False
Andrew DeClercq,61,14.0,10.4,2.7,1.2,1.5,2.7,0.4,0.4,0.4,0.6,2.1,0.6,1.1,2.4,45.0,0.0,0.0,0.0,0.5,0.8,56.0,1.1,2.4,45.0,1.087,0.45,C,False
Jud Buechler,60,2.0,10.5,1.8,0.5,1.4,1.8,0.5,0.3,0.1,0.2,0.8,2.1,0.7,1.9,37.5,0.3,0.9,35.2,0.0,0.1,50.0,0.4,1.0,39.7,0.938,0.46,G,True
Jeryl Sasser,7,0.0,5.1,1.4,0.4,0.6,1.0,0.3,0.4,0.0,0.3,0.4,1.0,0.4,2.0,21.4,0.0,0.0,0.0,0.6,0.7,80.0,0.4,2.0,21.4,0.714,0.21,G,False
Dee Brown,7,0.0,9.3,1.0,0.0,1.3,1.3,0.3,0.4,0.1,0.6,0.6,0.5,0.4,2.9,15.0,0.1,1.7,8.3,0.0,0.0,0.0,0.3,1.1,25.0,0.35,0.18,G,False
Total,82,,,100.5,11.5,29.8,41.2,22.0,8.1,4.7,13.6,20.7,1.6,37.6,84.1,44.8,7.6,20.2,37.3,17.6,23.4,75.4,30.1,63.8,47.1,1.195,0.49,Total,False
