Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Pau Gasol,56,53.0,32.0,17.8,2.3,5.0,7.3,2.4,0.7,1.7,2.4,2.6,1.0,6.4,12.4,51.4,0.0,0.1,16.7,5.0,6.6,76.8,6.4,12.3,51.7,1.435,0.51,PF,False
Mike Miller,76,51.0,30.0,13.4,0.5,3.5,3.9,2.9,0.7,0.3,1.7,2.6,1.7,5.1,10.1,50.5,1.8,4.3,43.3,1.4,2.0,72.0,3.3,5.8,55.8,1.334,0.6,SG,False
Bonzi Wells,69,19.0,21.6,10.4,0.7,2.6,3.3,1.2,1.2,0.4,1.3,2.4,0.9,3.9,8.9,44.1,0.5,1.5,34.6,2.0,2.7,75.0,3.4,7.4,46.0,1.169,0.47,SG,False
Jason Williams,71,68.0,27.5,10.1,0.3,1.5,1.7,5.6,1.1,0.1,1.8,1.3,3.1,3.7,9.1,41.3,1.5,4.6,32.4,1.1,1.4,79.2,2.2,4.4,50.6,1.116,0.5,PG,False
Stromile Swift,60,14.0,21.3,10.1,1.5,3.0,4.6,0.7,0.7,1.5,1.5,3.0,0.5,3.7,8.1,44.9,0.0,0.1,0.0,2.8,3.7,75.8,3.7,8.1,45.2,1.238,0.45,PF,False
Shane Battier,80,72.0,31.5,9.9,2.0,3.2,5.2,1.6,1.1,1.0,0.9,2.5,1.7,3.4,7.7,44.2,0.9,2.2,39.5,2.3,2.9,78.9,2.5,5.5,46.1,1.292,0.5,SF,False
Lorenzen Wright,80,77.0,28.6,9.6,2.2,5.5,7.7,1.1,0.7,0.9,1.3,3.1,0.9,4.0,8.5,46.9,0.0,0.0,0.0,1.6,2.5,66.2,4.0,8.5,47.1,1.129,0.47,PF,False
Brian Cardinal,58,16.0,24.7,9.0,1.1,2.8,3.9,2.0,1.5,0.3,1.4,3.0,1.4,2.8,7.4,37.0,0.8,2.2,35.2,2.7,3.1,87.3,2.0,5.3,37.8,1.208,0.42,PF,False
James Posey,50,18.0,27.6,8.1,0.9,3.5,4.4,1.8,1.0,0.5,1.4,2.7,1.3,2.5,7.1,35.7,1.1,3.6,30.9,1.9,2.2,86.5,1.4,3.6,40.4,1.138,0.43,SF,False
Earl Watson,80,14.0,22.6,7.7,0.4,1.6,2.1,4.5,1.0,0.2,2.1,2.3,2.1,3.0,6.9,42.6,0.7,2.0,31.9,1.1,1.7,65.9,2.3,4.9,47.1,1.11,0.47,PG,False
Dahntay Jones,52,7.0,12.5,4.5,0.2,1.1,1.3,0.4,0.3,0.2,0.6,1.6,0.7,1.6,3.7,43.7,0.4,1.2,38.3,0.8,1.2,68.8,1.2,2.5,46.2,1.226,0.5,SG,False
Antonio Burks,24,0.0,9.1,3.0,0.0,0.5,0.5,1.2,0.5,0.0,0.5,1.0,2.3,1.2,2.5,46.7,0.1,0.5,27.3,0.6,0.8,73.7,1.0,2.0,51.0,1.217,0.49,PG,False
Ryan Humphrey,35,0.0,9.1,2.9,1.4,1.1,2.5,0.2,0.3,0.0,0.7,1.0,0.3,1.2,2.9,40.8,0.0,0.1,0.0,0.5,1.1,48.6,1.2,2.9,41.6,0.99,0.41,SF,False
Jake Tsakalidis,31,1.0,9.0,2.5,0.7,1.1,1.8,0.3,0.1,0.5,0.4,1.4,0.8,1.0,2.1,50.0,0.0,0.0,0.0,0.5,0.6,77.8,1.0,2.1,50.0,1.219,0.5,C,False
Andre Emmett,8,0.0,3.5,0.9,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.5,0.0,0.3,0.8,33.3,0.0,0.0,0.0,0.4,0.6,60.0,0.3,0.8,33.3,1.167,0.33,SG,False
Total,82,,,93.4,10.8,28.1,39.0,20.9,8.5,5.8,14.6,23.3,1.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,27.7,58.4,47.5,1.222,0.49,Total,False
