Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Carmelo Anthony,65,65.0,38.2,28.9,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,1.1,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,10.0,20.1,49.9,1.295,0.49,PF,False
Allen Iverson,50,49.0,42.4,24.8,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,1.8,8.6,18.9,45.4,1.0,2.9,34.7,6.6,8.7,75.9,7.6,16.1,47.3,1.31,0.48,SG,True
Earl Boykins,31,4.0,28.3,15.2,0.7,1.3,2.0,4.3,0.8,0.1,1.7,1.0,2.5,5.0,12.2,41.3,1.3,3.5,37.3,3.8,4.2,90.8,3.7,8.6,42.9,1.249,0.47,PG,True
Andre Miller,23,23.0,35.7,13.0,1.1,3.4,4.5,9.1,1.6,0.2,3.0,2.5,3.0,5.1,10.8,47.2,0.2,0.7,25.0,2.7,3.7,72.9,4.9,10.1,48.7,1.21,0.48,PG,True
JR Smith,63,24.0,23.3,13.0,0.5,1.8,2.3,1.4,0.8,0.1,1.3,2.3,1.1,4.5,10.2,44.1,2.4,6.1,39.0,1.6,2.0,81.0,2.1,4.2,51.5,1.272,0.56,G,False
Nene,64,42.0,26.8,12.2,2.3,4.7,7.0,1.2,1.0,0.9,2.0,3.3,0.6,4.6,8.1,57.0,0.0,0.0,0.0,3.0,4.4,68.9,4.6,8.0,57.1,1.517,0.57,C,False
Marcus Camby,70,70.0,33.8,11.2,2.3,9.3,11.7,3.2,1.2,3.3,1.7,2.6,1.8,4.5,9.4,47.3,0.0,0.0,0.0,2.3,3.2,72.9,4.5,9.4,47.5,1.191,0.47,C,False
Kenyon Martin,2,2.0,31.5,9.5,3.0,7.0,10.0,0.5,0.0,0.0,2.5,5.0,0.2,4.0,8.0,50.0,0.0,0.5,0.0,1.5,6.0,25.0,4.0,7.5,53.3,1.188,0.5,F,False
Steve Blake,49,40.0,33.5,8.3,0.3,2.2,2.5,6.6,1.0,0.1,2.1,1.5,3.2,3.3,7.8,43.2,1.0,2.9,34.3,0.7,0.9,72.7,2.4,4.9,48.3,1.074,0.49,PG,True
Linas Kleiza,79,14.0,18.8,7.6,1.0,2.4,3.4,0.6,0.4,0.2,1.0,2.5,0.6,2.5,6.0,42.2,1.1,2.8,37.6,1.5,1.7,85.2,1.5,3.2,46.2,1.262,0.51,SF,False
Eduardo Najera,75,36.0,22.1,6.6,1.7,2.4,4.1,0.9,1.0,0.3,0.7,2.8,1.1,2.7,4.7,57.6,0.0,0.2,8.3,1.2,1.6,71.5,2.7,4.6,59.4,1.404,0.58,PF,False
Joe Smith,11,0.0,13.5,5.1,1.2,2.5,3.6,0.3,0.5,0.6,1.2,2.1,0.2,2.1,4.4,47.9,0.0,0.1,0.0,0.9,1.1,83.3,2.1,4.3,48.9,1.167,0.48,PF,True
Reggie Evans,66,11.0,17.1,4.9,2.4,4.6,7.0,0.7,0.6,0.2,1.4,2.2,0.5,1.8,3.3,54.4,0.0,0.0,0.0,1.4,2.8,49.7,1.8,3.3,54.4,1.512,0.54,C,False
Yakhouba Diawara,64,19.0,18.4,4.4,0.4,1.3,1.7,0.9,0.5,0.1,0.6,2.1,1.5,1.6,4.6,34.2,0.8,2.7,28.8,0.5,0.8,66.0,0.8,1.9,41.8,0.973,0.43,SG,False
DerMarr Johnson,39,7.0,10.7,3.5,0.3,1.2,1.5,0.4,0.4,0.3,0.7,1.0,0.6,1.3,3.9,32.5,0.5,2.3,21.6,0.4,0.5,76.2,0.8,1.7,47.0,0.877,0.39,SF,False
Anthony Carter,2,0.0,18.5,3.0,0.0,1.5,1.5,5.5,0.0,0.5,3.0,2.0,1.8,1.5,4.0,37.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,3.0,50.0,0.75,0.38,PG,False
Julius Hodge,4,1.0,9.3,1.5,0.3,0.5,0.8,2.5,0.8,0.0,0.3,0.8,10.0,0.5,1.3,40.0,0.0,0.0,0.0,0.5,0.5,100.0,0.5,1.3,40.0,1.2,0.4,SG,True
Jamal Sampson,22,3.0,5.7,1.1,0.7,1.5,2.2,0.2,0.1,0.3,0.5,0.8,0.5,0.4,0.6,64.3,0.0,0.0,0.0,0.3,0.6,42.9,0.4,0.6,69.2,1.714,0.64,C,False
Total,82,,,105.4,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,1.4,38.6,83.0,46.5,5.9,17.6,33.6,22.3,29.9,74.6,32.7,65.4,50.0,1.27,0.5,Total,False
