Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Eddy Curry,81,81.0,35.2,19.5,2.4,4.6,7.0,0.8,0.4,0.5,3.6,3.3,0.2,7.2,12.5,57.6,0.0,0.0,100.0,5.0,8.1,61.5,7.2,12.5,57.5,1.551,0.58,NA,False
Jamal Crawford,59,36.0,37.3,17.6,0.7,2.5,3.2,4.4,1.0,0.1,2.7,1.9,1.6,6.0,15.0,40.0,1.7,5.5,32.0,3.9,4.6,83.8,4.3,9.6,44.5,1.173,0.46,G,False
Stephon Marbury,74,74.0,37.1,16.4,0.5,2.4,2.9,5.4,1.0,0.1,2.4,2.5,2.3,5.3,12.9,41.5,1.7,4.7,35.7,4.0,5.2,76.9,3.7,8.2,44.8,1.271,0.48,PG,False
Quentin Richardson,49,47.0,33.1,13.0,1.3,5.9,7.2,2.2,0.7,0.1,1.4,2.7,1.5,4.7,11.1,41.8,2.0,5.3,37.6,1.7,2.4,69.2,2.7,5.9,45.6,1.167,0.51,SF,False
Steve Francis,44,30.0,28.1,11.3,0.8,2.8,3.6,3.9,0.9,0.3,2.3,2.9,1.7,3.2,7.8,40.8,1.0,2.5,37.8,4.0,4.8,82.9,2.2,5.3,42.2,1.449,0.47,PG,False
David Lee,58,12.0,29.8,10.7,3.4,7.0,10.4,1.8,0.8,0.4,1.6,2.7,1.1,4.1,6.9,60.0,0.0,0.0,0.0,2.4,3.0,81.5,4.1,6.9,60.0,1.553,0.6,PF,False
Nate Robinson,64,5.0,21.2,10.1,0.9,1.5,2.4,1.4,0.8,0.1,1.1,2.5,1.3,3.5,8.2,43.4,1.3,3.3,39.0,1.7,2.2,77.7,2.3,4.8,46.5,1.233,0.51,PG,False
Channing Frye,72,59.0,26.3,9.5,1.3,4.2,5.5,0.9,0.5,0.6,1.4,3.0,0.7,4.1,9.6,43.3,0.0,0.3,16.7,1.2,1.5,78.7,4.1,9.3,44.0,0.993,0.43,F,False
Renaldo Balkman,68,1.0,15.6,4.9,1.4,2.9,4.3,0.6,0.8,0.6,0.7,2.1,0.9,2.0,4.0,50.5,0.1,0.4,18.5,0.8,1.3,56.7,2.0,3.6,54.0,1.215,0.51,SF,False
Mardy Collins,52,9.0,14.9,4.5,0.5,1.5,2.0,1.6,0.6,0.1,1.1,1.4,1.5,1.7,4.4,38.2,0.3,0.9,27.7,0.9,1.6,58.5,1.4,3.5,40.9,1.031,0.41,PG,False
Jared Jeffries,55,43.0,23.8,4.1,2.0,2.3,4.3,1.2,0.8,0.5,1.1,2.7,1.1,1.7,3.7,46.1,0.0,0.4,10.0,0.6,1.2,45.6,1.7,3.4,50.0,1.083,0.47,PF,False
Malik Rose,65,2.0,12.5,3.0,0.7,2.0,2.7,1.0,0.4,0.1,1.0,1.8,1.0,1.1,2.9,39.8,0.0,0.1,25.0,0.6,0.8,80.8,1.1,2.7,40.4,1.032,0.4,PF,False
Jerome James,41,11.0,6.7,1.9,0.5,1.1,1.6,0.1,0.1,0.4,0.6,1.8,0.1,0.8,1.9,41.8,0.0,0.0,0.0,0.2,0.4,55.6,0.8,1.9,41.8,0.962,0.42,C,False
Kelvin Cato,18,0.0,5.3,1.2,0.7,1.1,1.7,0.0,0.2,0.6,0.3,0.6,0.0,0.4,1.2,31.8,0.0,0.0,0.0,0.4,0.7,66.7,0.4,1.2,31.8,1.0,0.32,C,False
Randolph Morris,5,0.0,8.8,0.8,0.2,1.6,1.8,0.2,0.4,0.2,0.4,0.8,0.5,0.2,1.2,16.7,0.0,0.0,0.0,0.4,1.2,33.3,0.2,1.2,16.7,0.667,0.17,C,False
Total,82,,,97.5,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,1.1,35.4,77.5,45.7,5.8,16.7,34.6,20.9,29.2,71.5,29.6,60.8,48.7,1.258,0.49,Total,False
