Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Ben Gordon,72,27.0,31.8,18.6,0.6,2.5,3.1,3.0,0.8,0.1,2.1,2.4,1.4,6.4,14.8,43.4,2.0,4.8,41.0,3.7,4.1,90.8,4.5,10.0,44.5,1.25,0.5,SG,False
Luol Deng,63,59.0,33.8,17.0,2.2,4.1,6.3,2.5,0.9,0.5,1.9,1.9,1.3,6.8,14.2,47.9,0.1,0.3,36.4,3.2,4.2,77.0,6.7,13.9,48.2,1.194,0.48,F,False
Drew Gooden,18,14.0,31.0,14.0,3.2,6.1,9.3,1.7,0.7,1.3,1.7,3.3,1.0,5.6,12.1,46.1,0.0,0.2,0.0,2.9,3.6,81.3,5.6,11.9,46.7,1.161,0.46,PF,True
Andres Nocioni,82,27.0,24.6,13.2,0.6,3.6,4.2,1.2,0.3,0.5,1.6,3.0,0.7,4.6,10.7,43.2,1.5,4.2,36.4,2.4,3.0,80.7,3.1,6.5,47.6,1.231,0.5,SF,False
Larry Hughes,28,25.0,28.9,12.0,0.4,2.7,3.1,3.1,1.4,0.2,1.6,1.7,2.0,4.5,11.5,38.7,0.9,2.4,35.3,2.2,2.9,77.5,3.6,9.1,39.6,1.04,0.42,SG,True
Kirk Hinrich,75,72.0,31.7,11.5,0.4,2.9,3.3,6.0,1.2,0.3,2.1,3.0,2.9,4.4,10.6,41.4,1.1,3.2,35.0,1.6,1.9,83.1,3.3,7.4,44.2,1.082,0.47,SG,False
Joe Smith,50,35.0,22.9,11.2,2.2,3.1,5.3,0.9,0.5,0.6,1.0,2.3,1.0,4.5,9.7,46.6,0.0,0.0,0.0,2.2,2.7,80.7,4.5,9.6,46.7,1.157,0.47,PF,True
Tyrus Thomas,74,27.0,18.0,6.8,1.4,3.2,4.6,1.2,0.6,1.0,1.0,2.3,1.2,2.5,5.9,42.3,0.0,0.1,16.7,1.7,2.4,74.1,2.5,5.9,42.6,1.141,0.42,PF,False
Thabo Sefolosha,69,22.0,20.8,6.7,0.7,3.0,3.7,1.9,0.9,0.4,1.3,1.9,1.4,2.6,6.1,42.8,0.4,1.3,33.0,1.1,1.5,72.1,2.2,4.8,45.3,1.102,0.46,F,False
Joakim Noah,74,31.0,20.7,6.6,2.4,3.3,5.6,1.1,0.9,0.9,1.2,2.3,0.9,2.4,5.0,48.2,0.0,0.0,0.0,1.8,2.6,69.1,2.4,4.9,48.4,1.33,0.48,C,False
Chris Duhon,66,18.0,22.6,5.8,0.3,1.5,1.8,4.0,0.7,0.0,1.1,1.4,3.7,2.0,5.2,38.7,0.8,2.3,34.8,1.0,1.2,81.3,1.2,2.9,41.8,1.119,0.47,PG,False
Thomas Gardner,4,0.0,11.3,5.3,0.8,0.3,1.0,0.3,0.0,0.0,1.0,1.0,0.3,2.3,5.8,39.1,0.8,3.0,25.0,0.0,0.5,0.0,1.5,2.8,54.5,0.913,0.46,SG,False
Ben Wallace,50,50.0,32.5,5.1,3.5,5.3,8.8,1.8,1.4,1.6,1.0,1.7,1.9,2.0,5.4,37.3,0.0,0.1,0.0,1.1,2.5,42.4,2.0,5.3,37.8,0.941,0.37,PF,True
Aaron Gray,61,1.0,10.0,4.3,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,0.7,1.7,3.3,50.5,0.0,0.0,0.0,0.9,1.6,56.6,1.7,3.3,50.7,1.284,0.5,C,False
Victor Khryapa,9,0.0,11.7,3.6,0.7,1.6,2.2,0.9,0.7,0.0,0.7,1.2,1.3,1.3,3.4,38.7,0.0,0.1,0.0,0.9,1.6,57.1,1.3,3.3,40.0,1.032,0.39,PF,False
Adrian Griffin,22,2.0,10.1,2.3,0.9,0.8,1.7,1.0,0.5,0.0,0.7,0.9,1.4,1.1,2.7,40.0,0.0,0.0,0.0,0.1,0.3,42.9,1.1,2.7,40.0,0.85,0.4,G,True
Shannon Brown,6,0.0,3.7,1.5,0.2,0.2,0.3,0.0,0.2,0.3,0.8,0.3,0.0,0.5,2.5,20.0,0.0,0.2,0.0,0.5,1.0,50.0,0.5,2.3,21.4,0.6,0.2,PG,True
Demetris Nichols,11,0.0,2.7,1.2,0.0,0.4,0.4,0.1,0.0,0.3,0.2,0.4,0.5,0.5,1.4,33.3,0.3,0.9,30.0,0.0,0.0,0.0,0.2,0.5,40.0,0.867,0.43,SF,True
Cedric Simmons,7,0.0,2.7,0.6,0.1,0.3,0.4,0.0,0.0,0.0,0.3,0.1,0.0,0.3,1.1,25.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.1,25.0,0.5,0.25,SF,True
Total,82,,,97.3,12.8,30.2,43.0,22.1,7.7,5.2,14.6,21.8,1.5,36.4,83.7,43.5,5.8,15.9,36.3,18.7,24.7,75.6,30.6,67.8,45.2,1.163,0.47,Total,False
