Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Dirk Nowitzki,77,77.0,36.0,23.6,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,1.7,8.2,17.1,47.9,1.0,2.9,35.9,6.2,7.1,87.9,7.2,14.2,50.4,1.383,0.51,F,False
Josh Howard,76,76.0,36.3,19.9,1.6,5.4,7.0,2.2,0.8,0.4,1.5,2.7,1.4,7.5,16.4,45.5,0.9,2.8,31.9,4.1,5.1,81.3,6.6,13.6,48.2,1.213,0.48,SF,False
Jason Terry,82,34.0,31.5,15.5,0.4,2.2,2.5,3.2,1.1,0.2,1.1,2.1,2.9,5.7,12.3,46.7,1.7,4.4,37.5,2.3,2.7,85.7,4.1,7.9,51.9,1.259,0.53,G,False
Devin Harris,39,39.0,30.4,14.4,0.4,1.9,2.3,5.3,1.4,0.1,2.4,3.3,2.2,4.8,9.9,48.3,0.6,1.8,35.7,4.1,5.0,82.1,4.2,8.1,51.1,1.447,0.52,G,True
Jerry Stackhouse,58,13.0,24.3,10.7,0.6,1.7,2.3,2.5,0.5,0.2,1.5,1.4,1.7,3.7,9.1,40.5,1.0,3.2,32.6,2.3,2.6,89.2,2.6,5.9,44.7,1.175,0.46,SF,False
Jason Kidd,29,29.0,34.9,9.9,1.2,5.2,6.5,9.5,2.1,0.4,2.8,2.6,3.4,3.6,8.4,42.6,1.2,2.6,46.1,1.5,1.9,81.5,2.4,5.8,41.1,1.176,0.5,PG,True
Brandon Bass,79,1.0,19.7,8.3,1.5,2.9,4.4,0.7,0.3,0.6,1.0,1.9,0.7,3.1,6.2,49.9,0.0,0.1,0.0,2.1,2.5,82.2,3.1,6.2,50.3,1.327,0.5,PF,False
Erick Dampier,72,64.0,24.4,6.1,2.9,4.6,7.5,0.9,0.3,1.5,1.1,3.1,0.8,2.5,3.8,64.3,0.0,0.0,0.0,1.2,2.0,57.5,2.5,3.8,64.3,1.588,0.64,C,False
J.J. Barea,44,9.0,10.5,4.3,0.1,1.0,1.1,1.3,0.3,0.0,0.8,1.1,1.7,1.6,3.9,41.8,0.5,1.2,38.9,0.6,0.8,80.0,1.1,2.6,43.1,1.124,0.48,G,False
Tyronn Lue,17,0.0,10.1,3.8,0.0,0.8,0.8,0.9,0.0,0.1,0.3,1.6,3.0,1.6,3.4,47.4,0.5,1.0,52.9,0.1,0.2,25.0,1.1,2.4,45.0,1.123,0.55,PG,True
Eddie Jones,47,33.0,19.6,3.7,0.4,2.4,2.8,1.5,0.6,0.2,0.6,1.5,2.4,1.4,3.8,36.7,0.7,2.5,29.3,0.2,0.3,71.4,0.7,1.4,50.0,0.978,0.46,SG,False
Devean George,53,4.0,15.5,3.7,0.5,2.1,2.6,0.7,0.4,0.2,0.5,1.7,1.5,1.4,3.9,35.7,0.4,1.3,32.4,0.5,0.6,70.6,1.0,2.6,37.4,0.937,0.41,SF,False
Antoine Wright,15,0.0,11.7,3.5,0.3,1.1,1.5,0.9,0.1,0.3,0.7,1.5,1.2,1.4,2.8,50.0,0.3,0.6,55.6,0.3,0.6,55.6,1.1,2.2,48.5,1.238,0.56,SF,True
Malik Allen,25,4.0,13.3,3.1,1.0,1.8,2.7,0.6,0.2,0.4,0.5,2.4,1.2,1.3,2.6,50.0,0.0,0.0,0.0,0.4,0.5,91.7,1.3,2.6,50.0,1.167,0.5,PF,True
DeSagana Diop,52,18.0,17.2,3.0,2.1,3.1,5.2,0.5,0.4,1.2,0.8,1.9,0.6,1.3,2.2,58.3,0.0,0.0,0.0,0.5,0.8,60.0,1.3,2.2,58.3,1.374,0.58,C,True
Trenton Hassell,37,6.0,12.5,2.1,0.3,0.9,1.2,0.7,0.2,0.0,0.4,1.5,1.9,1.0,2.2,46.3,0.0,0.1,25.0,0.0,0.1,50.0,1.0,2.1,47.4,0.95,0.47,SF,True
Jamaal Magloire,7,0.0,3.9,1.7,0.1,1.0,1.1,0.0,0.1,0.0,1.0,1.1,0.0,0.4,0.9,50.0,0.0,0.0,0.0,0.9,1.9,46.2,0.4,0.9,50.0,2.0,0.5,C,True
Maurice Ager,12,3.0,6.4,1.3,0.1,0.3,0.3,0.3,0.0,0.1,0.3,0.9,1.3,0.4,2.3,18.5,0.0,0.7,0.0,0.4,0.5,83.3,0.4,1.6,26.3,0.556,0.19,SF,True
Juwan Howard,50,0.0,7.1,1.1,0.4,1.2,1.6,0.3,0.1,0.0,0.3,1.2,1.0,0.5,1.3,35.9,0.0,0.0,0.0,0.2,0.3,78.6,0.5,1.3,35.9,0.891,0.36,PF,False
Nick Fazekas,4,0.0,2.3,1.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,40.0,0.8,0.4,PF,True
Total,82,,,100.4,10.8,32.2,43.0,21.0,6.0,4.9,12.6,21.8,1.7,36.9,79.5,46.4,6.0,17.1,35.2,20.6,25.3,81.4,30.9,62.3,49.5,1.264,0.5,Total,False
