Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Stephen Jackson,72,72.0,39.3,21.1,1.0,4.1,5.1,3.6,1.6,0.5,3.2,2.5,1.1,7.6,17.8,42.3,1.6,4.9,33.4,4.3,5.5,78.6,5.9,12.9,45.7,1.181,0.47,SF,True
Gerald Wallace,76,76.0,41.0,18.2,2.0,8.1,10.0,2.1,1.5,1.1,2.3,2.6,0.9,6.0,12.4,48.4,0.7,1.8,37.1,5.6,7.2,77.6,5.3,10.6,50.3,1.47,0.51,SF,False
Raymond Felton,80,80.0,33.0,12.1,0.7,2.9,3.6,5.6,1.5,0.3,2.1,2.2,2.7,4.9,10.6,45.9,0.8,2.0,38.5,1.7,2.2,76.3,4.1,8.6,47.5,1.144,0.49,G,False
Raja Bell,5,5.0,31.4,12.0,1.0,3.2,4.2,2.0,0.8,0.4,1.0,2.6,2.0,4.8,11.0,43.6,1.8,4.8,37.5,0.6,0.6,100.0,3.0,6.2,48.4,1.091,0.52,SG,True
Boris Diaw,82,82.0,35.4,11.3,1.6,3.6,5.2,4.0,0.7,0.7,2.2,2.7,1.8,4.5,9.4,48.3,0.8,2.5,32.0,1.4,1.8,76.9,3.7,6.9,54.1,1.197,0.53,C,False
Tyrus Thomas,25,0.0,21.7,10.1,1.6,4.5,6.1,0.9,0.9,1.5,1.6,2.6,0.6,3.8,8.6,44.2,0.0,0.1,0.0,2.5,3.4,72.9,3.8,8.5,44.6,1.172,0.44,PF,True
Ronald Murray,46,1.0,21.6,9.9,0.3,1.8,2.1,1.8,0.6,0.3,1.4,1.7,1.3,3.5,8.9,38.9,0.9,2.8,31.3,2.0,2.8,71.0,2.6,6.1,42.5,1.105,0.44,SG,True
Larry Hughes,14,2.0,21.1,8.1,0.5,1.8,2.3,2.0,0.9,0.3,1.4,1.2,1.5,2.5,7.6,32.7,1.1,3.0,35.7,2.1,2.4,85.3,1.4,4.6,30.8,1.065,0.4,SG,True
Nazr Mohammed,58,29.0,17.0,7.9,2.0,3.3,5.2,0.5,0.3,0.7,0.9,1.8,0.5,3.3,5.9,55.3,0.0,0.0,0.0,1.4,2.2,64.8,3.3,5.9,55.3,1.342,0.55,C,False
Tyson Chandler,51,27.0,22.8,6.5,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,0.2,2.1,3.7,57.4,0.0,0.0,0.0,2.3,3.1,73.2,2.1,3.7,57.4,1.753,0.57,C,False
D.J. Augustin,80,2.0,18.4,6.4,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,2.6,2.1,5.4,38.6,0.9,2.2,39.3,1.3,1.6,77.9,1.2,3.2,38.1,1.168,0.47,G,False
Theo Ratliff,28,26.0,22.3,5.1,1.6,2.6,4.2,0.6,0.3,1.5,0.9,2.1,0.6,1.9,4.1,46.6,0.0,0.0,0.0,1.3,1.6,78.3,1.9,4.1,46.6,1.241,0.47,C,True
Vladimir Radmanovic,8,0.0,16.6,4.9,1.0,2.6,3.6,0.9,0.4,0.1,0.6,2.3,1.4,1.8,5.3,33.3,0.9,2.8,31.8,0.5,0.8,66.7,0.9,2.5,35.0,0.929,0.42,SF,True
Stephen Graham,70,8.0,11.5,4.2,0.3,1.6,1.9,0.3,0.3,0.1,0.5,1.3,0.6,1.7,3.4,49.6,0.2,0.7,32.0,0.6,0.9,64.6,1.5,2.7,54.2,1.233,0.53,SF,False
Derrick Brown,57,0.0,9.4,3.3,0.5,0.8,1.4,0.3,0.4,0.2,0.3,0.9,1.0,1.2,2.6,46.3,0.0,0.1,28.6,0.8,1.3,66.7,1.2,2.5,47.1,1.265,0.47,SF,False
Gerald Henderson,43,0.0,8.3,2.6,0.3,0.9,1.3,0.3,0.2,0.2,0.3,0.6,0.9,0.9,2.4,35.6,0.1,0.4,21.1,0.8,1.1,74.5,0.8,2.0,38.8,1.087,0.38,SG,False
Acie Law,9,0.0,3.7,1.8,0.0,0.1,0.1,0.3,0.1,0.1,0.3,0.3,1.0,0.6,1.8,31.3,0.0,0.1,0.0,0.7,0.8,85.7,0.6,1.7,33.3,1.0,0.31,PG,True
Alexis Ajinca,6,0.0,5.0,1.7,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,0.0,0.8,1.7,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.7,50.0,1.0,0.5,C,False
DeSagana Diop,27,0.0,9.7,1.2,0.9,1.5,2.4,0.2,0.2,0.5,0.4,1.1,0.4,0.6,1.1,51.7,0.0,0.0,0.0,0.1,0.3,22.2,0.6,1.1,51.7,1.103,0.52,C,False
Total,82,,,95.3,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,1.3,34.9,76.9,45.3,5.6,16.2,34.6,20.0,26.6,75.1,29.2,60.7,48.2,1.239,0.49,Total,False
