Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Jason Richardson,25,25.0,31.8,19.3,1.3,3.1,4.4,1.4,1.1,0.1,1.2,1.8,1.2,7.3,15.6,47.0,2.5,5.9,41.9,2.2,2.9,76.4,4.8,9.6,50.2,1.242,0.55,SG,True
Steve Nash,75,75.0,33.3,14.7,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2,3.2,5.3,10.8,49.2,1.1,2.7,39.5,3.0,3.3,91.2,4.2,8.1,52.5,1.364,0.54,PG,False
Vince Carter,51,41.0,27.2,13.5,0.8,2.8,3.6,1.6,0.9,0.3,1.1,2.4,1.5,5.2,12.3,42.2,1.7,4.8,36.6,1.4,1.9,73.5,3.4,7.5,45.8,1.102,0.49,G,True
Grant Hill,80,80.0,30.1,13.2,1.0,3.3,4.2,2.5,0.8,0.4,1.7,2.3,1.5,5.0,10.3,48.4,0.6,1.4,39.5,2.7,3.2,82.9,4.4,8.9,49.8,1.28,0.51,SF,False
Marcin Gortat,55,12.0,29.7,13.0,2.0,7.3,9.3,1.0,0.5,1.3,1.2,2.5,0.8,5.3,9.5,56.3,0.0,0.1,25.0,2.3,3.2,73.1,5.3,9.4,56.6,1.374,0.56,C,True
Channing Frye,77,64.0,33.0,12.7,0.8,5.8,6.7,1.2,0.6,1.0,0.9,3.5,1.3,4.6,10.8,43.2,2.2,5.7,39.0,1.2,1.4,83.2,2.4,5.1,47.9,1.177,0.53,F,False
Jared Dudley,82,15.0,26.1,10.6,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,1.4,3.7,7.7,47.7,1.3,3.1,41.5,2.0,2.7,74.3,2.4,4.6,51.9,1.378,0.56,SF,False
Aaron Brooks,25,5.0,18.9,9.6,0.4,0.7,1.1,4.2,0.5,0.0,1.8,1.8,2.4,3.4,8.0,43.0,0.9,2.7,32.8,1.8,2.3,80.7,2.6,5.3,48.1,1.2,0.49,G,True
Hedo Turkoglu,25,16.0,25.2,9.5,0.8,3.2,4.0,2.3,0.7,0.6,1.2,3.1,1.9,3.4,7.7,44.0,1.6,3.9,42.3,1.0,1.4,72.2,1.8,3.8,45.8,1.228,0.55,SF,True
Hakim Warrick,80,6.0,17.7,8.4,1.1,2.6,3.7,0.9,0.4,0.1,1.0,1.3,0.9,2.9,5.6,51.1,0.0,0.1,9.1,2.7,3.7,72.1,2.8,5.4,52.2,1.5,0.51,PF,False
Mickael Pietrus,38,4.0,18.1,7.4,0.2,1.8,2.0,0.6,0.5,0.5,0.7,1.7,0.9,2.6,6.6,39.2,1.3,3.9,34.2,0.9,1.3,70.6,1.2,2.7,46.5,1.132,0.49,SF,True
Goran Dragic,48,2.0,17.8,7.4,0.5,1.3,1.8,3.1,0.8,0.1,2.0,1.9,1.6,2.8,6.6,42.1,0.6,2.1,27.7,1.2,2.0,60.8,2.2,4.5,48.8,1.117,0.47,PG,True
Robin Lopez,67,56.0,14.8,6.4,1.2,2.0,3.2,0.1,0.3,0.7,0.7,2.1,0.2,2.7,5.3,50.1,0.0,0.0,0.0,1.1,1.5,74.0,2.7,5.3,50.1,1.21,0.5,C,False
Zabian Dowdell,24,0.0,12.2,5.0,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,1.8,2.1,5.2,40.8,0.1,0.4,30.0,0.7,0.7,94.1,2.0,4.8,41.7,0.968,0.42,PG,False
Josh Childress,54,3.0,16.6,5.0,1.3,1.6,2.9,0.8,0.6,0.4,0.8,1.3,1.0,2.2,4.0,56.5,0.0,0.3,6.3,0.5,1.1,49.2,2.2,3.7,60.6,1.271,0.57,F,False
Earl Clark,9,0.0,8.0,3.2,0.4,1.4,1.9,0.4,0.1,0.3,0.2,0.7,2.0,1.3,3.4,38.7,0.0,0.0,0.0,0.6,1.1,50.0,1.3,3.4,38.7,0.935,0.39,SF,True
Earl Barron,12,6.0,15.3,3.0,1.3,2.0,3.3,0.3,0.5,0.3,0.9,2.7,0.4,1.0,4.3,23.5,0.0,0.0,0.0,1.0,1.7,60.0,1.0,4.3,23.5,0.706,0.24,C,True
Garret Siler,21,0.0,4.8,2.1,0.8,0.6,1.3,0.1,0.0,0.2,0.5,1.0,0.3,0.8,1.5,54.8,0.0,0.0,0.0,0.5,1.0,50.0,0.8,1.5,54.8,1.452,0.55,C,False
Gani Lawal,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,False
Total,82,,,105.0,10.0,30.2,40.2,23.7,6.6,4.4,14.3,20.3,1.7,39.3,83.5,47.0,8.5,22.6,37.7,18.0,23.6,75.9,30.7,60.8,50.5,1.258,0.52,Total,False
