Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Kevin Martin,40,40.0,31.6,17.1,0.3,2.3,2.7,2.8,0.7,0.1,1.8,1.8,1.6,5.6,13.4,41.3,2.0,5.6,34.7,4.0,4.5,89.4,3.6,7.8,46.2,1.27,0.49,SG,False
Luis Scola,66,66.0,31.3,15.5,1.8,4.6,6.5,2.1,0.5,0.4,2.3,3.2,0.9,6.6,13.5,49.1,0.0,0.0,0.0,2.3,3.0,77.3,6.6,13.4,49.3,1.154,0.49,F,False
Kyle Lowry,47,38.0,32.1,14.3,0.8,3.7,4.6,6.6,1.6,0.3,2.8,2.8,2.4,4.5,10.9,40.9,1.7,4.5,37.4,3.6,4.2,86.4,2.8,6.4,43.4,1.306,0.49,G,False
Goran Dragic,66,28.0,26.5,11.7,0.8,1.7,2.5,5.3,1.3,0.2,2.4,2.5,2.2,4.2,9.1,46.2,1.0,3.1,33.7,2.3,2.9,80.5,3.2,6.0,52.5,1.292,0.52,PG,False
Courtney Lee,58,26.0,30.3,11.4,0.4,2.3,2.7,1.5,1.2,0.4,1.1,1.8,1.4,4.3,10.0,43.3,1.5,3.7,40.1,1.2,1.5,82.6,2.8,6.3,45.2,1.138,0.51,G,False
Chase Budinger,58,9.0,22.4,9.6,0.7,3.1,3.7,1.3,0.5,0.1,0.9,1.1,1.3,3.6,8.1,44.2,1.5,3.8,40.2,0.9,1.2,77.1,2.1,4.3,47.6,1.185,0.54,SF,False
Chandler Parsons,63,57.0,28.6,9.5,1.4,3.3,4.8,2.1,1.2,0.5,1.3,2.3,1.7,3.9,8.7,45.2,1.0,2.8,33.7,0.7,1.2,55.1,3.0,5.9,50.7,1.091,0.51,SF,False
Patrick Patterson,64,1.0,23.2,7.7,1.8,2.7,4.5,0.8,0.4,0.6,0.8,1.8,1.1,3.5,8.0,44.0,0.0,0.0,0.0,0.6,0.9,70.2,3.5,7.9,44.3,0.959,0.44,PF,False
Samuel Dalembert,65,45.0,22.2,7.5,2.4,4.6,7.0,0.5,0.6,1.7,1.3,2.5,0.4,3.1,6.1,50.6,0.0,0.0,0.0,1.4,1.7,79.6,3.1,6.1,50.8,1.241,0.51,C,False
Marcus Camby,19,13.0,24.1,7.1,2.7,6.5,9.3,1.7,0.9,1.5,0.5,2.0,3.2,3.2,6.6,48.4,0.1,0.3,40.0,0.6,1.4,42.3,3.1,6.4,48.8,1.071,0.49,C,True
Jordan Hill,32,7.0,14.7,5.0,1.5,3.4,4.8,0.4,0.3,0.7,0.8,1.9,0.6,2.1,4.2,50.4,0.0,0.1,0.0,0.8,1.2,64.1,2.1,4.1,51.5,1.193,0.5,C,True
Earl Boykins,8,0.0,13.9,4.9,0.0,1.4,1.4,2.1,0.1,0.0,0.9,0.6,2.4,1.5,4.5,33.3,0.3,1.1,22.2,1.6,1.9,86.7,1.3,3.4,37.0,1.083,0.36,PG,False
Terrence Williams,12,0.0,15.1,4.5,0.2,2.2,2.3,0.8,0.3,0.1,0.8,1.3,1.0,1.7,4.8,35.1,0.7,1.6,42.1,0.5,1.0,50.0,1.0,3.2,31.6,0.947,0.42,SG,True
Jonny Flynn,11,0.0,12.3,3.4,0.1,0.6,0.7,2.5,0.3,0.1,0.8,0.7,3.1,1.1,3.7,29.3,0.2,0.8,22.2,1.0,1.3,78.6,0.9,2.9,31.3,0.902,0.32,PG,True
Courtney Fortson,6,0.0,8.2,3.0,0.3,0.8,1.2,0.8,0.5,0.0,0.8,0.3,1.0,1.0,3.3,30.0,0.3,1.5,22.2,0.7,1.0,66.7,0.7,1.8,36.4,0.9,0.35,PG,True
Jeff Adrien,8,0.0,7.9,2.6,0.6,2.1,2.8,0.1,0.0,0.3,0.3,1.6,0.5,0.9,2.0,43.8,0.0,0.0,0.0,0.9,1.5,58.3,0.9,2.0,43.8,1.313,0.44,F,False
Marcus Morris Sr.,17,0.0,7.4,2.4,0.3,0.6,0.9,0.2,0.1,0.1,0.2,0.7,0.8,0.9,3.2,29.6,0.1,1.0,11.8,0.4,0.5,75.0,0.8,2.2,37.8,0.741,0.31,F,False
Greg Smith,8,0.0,8.6,1.8,0.6,1.9,2.5,0.1,0.3,0.6,0.1,2.1,1.0,0.9,1.4,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.4,63.6,1.273,0.64,PF,False
Hasheem Thabeet,5,0.0,4.6,1.2,0.2,1.2,1.4,0.0,0.0,0.4,0.0,1.0,0.0,0.6,0.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,100.0,2.0,1.0,C,True
Total,66,,,98.1,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,1.5,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,30.5,63.8,47.7,1.168,0.49,Total,False
