Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Stephen Curry,78,78.0,38.2,22.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,2.2,8.0,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90.0,4.5,10.1,44.9,1.287,0.55,G,False
David Lee,79,79.0,36.8,18.5,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,1.3,7.6,14.7,51.9,0.0,0.1,0.0,3.2,4.1,79.7,7.6,14.6,52.1,1.258,0.52,PF,False
Klay Thompson,82,82.0,35.8,16.6,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,1.2,6.2,14.7,42.2,2.6,6.4,40.1,1.6,1.9,84.1,3.6,8.3,43.7,1.128,0.51,G,False
Jarrett Jack,79,4.0,29.7,12.9,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,2.8,4.9,10.8,45.2,1.0,2.6,40.4,2.1,2.5,84.3,3.9,8.3,46.6,1.194,0.5,G,False
Carl Landry,81,2.0,23.2,10.8,2.2,3.7,6.0,0.8,0.4,0.4,1.4,2.3,0.6,4.0,7.4,54.0,0.0,0.0,33.3,2.8,3.4,81.7,4.0,7.4,54.1,1.452,0.54,PF,False
Harrison Barnes,81,81.0,25.4,9.2,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,1.0,3.4,7.8,43.9,0.6,1.8,35.9,1.8,2.3,75.8,2.8,6.0,46.4,1.191,0.48,F,False
Brandon Rush,2,0.0,12.5,7.0,0.0,0.5,0.5,1.0,0.0,0.0,1.5,2.5,0.7,3.0,4.5,66.7,0.0,1.0,0.0,1.0,1.5,66.7,3.0,3.5,85.7,1.556,0.67,F,False
Andrew Bogut,32,32.0,24.6,5.8,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,1.9,2.6,5.8,45.1,0.0,0.0,100.0,0.6,1.2,50.0,2.6,5.7,44.8,1.011,0.45,C,False
Richard Jefferson,56,1.0,10.1,3.1,0.1,1.4,1.5,0.6,0.3,0.1,0.4,0.8,1.3,1.1,2.4,45.6,0.3,0.8,31.1,0.7,0.9,71.7,0.9,1.6,52.7,1.294,0.51,F,False
Draymond Green,79,1.0,13.4,2.9,0.7,2.6,3.3,0.7,0.5,0.3,0.6,2.0,1.0,1.1,3.3,32.7,0.2,0.8,20.9,0.6,0.7,81.8,0.9,2.4,36.8,0.883,0.35,F,False
Festus Ezeli,78,41.0,14.4,2.4,1.8,2.2,4.0,0.3,0.3,0.9,0.8,2.0,0.3,0.9,2.2,43.8,0.0,0.0,0.0,0.6,1.0,53.1,0.9,2.2,43.8,1.13,0.44,C,False
Kent Bazemore,61,0.0,4.4,2.0,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,1.2,0.7,1.9,37.1,0.2,0.6,29.4,0.4,0.7,61.4,0.5,1.3,40.2,1.06,0.41,SF,False
Charles Jenkins,47,0.0,6.2,1.7,0.1,0.3,0.4,0.6,0.2,0.0,0.4,0.4,1.5,0.7,1.8,42.2,0.0,0.0,50.0,0.2,0.4,55.6,0.7,1.7,42.0,0.976,0.43,PG,True
Jeremy Tyler,20,0.0,3.2,1.1,0.3,0.6,0.9,0.1,0.1,0.1,0.3,0.5,0.2,0.5,1.2,37.5,0.0,0.0,0.0,0.2,0.3,66.7,0.5,1.2,37.5,0.917,0.38,C,True
Malcolm Thomas,5,0.0,4.2,0.6,0.0,1.0,1.0,0.4,0.0,0.2,0.2,0.2,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.8,75.0,0.0,0.2,0.0,3.0,0.0,PF,True
Andris Biedrins,53,9.0,9.3,0.5,0.6,2.2,2.9,0.3,0.3,0.8,0.3,1.9,1.0,0.2,0.4,47.6,0.0,0.0,0.0,0.1,0.2,30.8,0.2,0.4,47.6,1.143,0.48,C,False
Total,82,,,101.2,10.8,34.2,45.0,22.5,6.9,4.2,14.8,21.4,1.5,38.2,83.4,45.8,8.0,19.9,40.3,16.8,21.3,79.0,30.1,63.5,47.5,1.213,0.51,Total,False
