Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Thaddeus Young,79,78.0,34.4,17.9,2.1,3.9,6.0,2.3,2.1,0.5,2.1,2.7,1.1,7.4,16.2,45.4,1.1,3.7,30.8,2.1,2.9,71.2,6.2,12.5,49.6,1.104,0.49,F,False
Evan Turner,54,54.0,34.9,17.4,0.9,5.0,6.0,3.7,1.0,0.1,2.9,2.7,1.3,6.6,15.4,42.8,0.7,2.4,28.8,3.5,4.2,82.9,5.9,12.9,45.5,1.13,0.45,G,True
Michael Carter-Williams,70,70.0,34.5,16.7,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,1.8,6.1,15.1,40.5,0.8,3.0,26.4,3.7,5.2,70.3,5.3,12.1,44.0,1.107,0.43,G,False
Tony Wroten,72,16.0,24.5,13.0,1.0,2.2,3.2,3.0,1.1,0.2,2.8,2.1,1.1,4.8,11.2,42.7,0.6,2.6,21.3,2.9,4.5,64.1,4.2,8.6,49.2,1.162,0.45,SG,False
Spencer Hawes,53,53.0,31.4,13.0,1.7,6.9,8.5,3.3,0.6,1.3,2.2,2.9,1.5,5.0,11.1,45.1,1.5,3.8,39.9,1.5,1.9,78.2,3.5,7.2,47.8,1.174,0.52,PF,True
Henry Sims,26,25.0,27.2,11.8,3.2,3.8,7.0,1.8,0.9,0.5,1.3,3.2,1.4,4.3,8.8,48.9,0.0,0.0,0.0,3.2,4.1,76.6,4.3,8.8,49.1,1.336,0.49,C,True
James Anderson,80,62.0,28.9,10.1,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,1.4,3.9,9.0,43.1,1.4,4.4,32.8,1.0,1.3,72.6,2.4,4.6,53.0,1.13,0.51,SG,False
Darius Morris,12,0.0,16.1,6.9,0.3,0.8,1.1,2.6,0.7,0.0,1.6,1.8,1.6,2.4,5.6,43.3,0.8,2.0,41.7,1.3,1.8,71.4,1.6,3.6,44.2,1.239,0.51,G,True
Byron Mullens,18,0.0,13.7,6.8,0.9,2.4,3.3,0.4,0.5,0.4,0.8,1.7,0.6,2.6,5.6,46.5,1.1,2.8,40.0,0.4,0.8,57.1,1.5,2.8,52.9,1.208,0.56,C,True
Elliot Williams,67,2.0,17.3,6.0,0.4,1.5,1.9,1.1,0.5,0.0,1.0,1.9,1.1,2.1,5.0,41.5,0.6,1.9,29.6,1.3,1.8,73.1,1.5,3.2,48.6,1.199,0.47,SG,False
Hollis Thompson,77,41.0,22.6,6.0,0.9,2.3,3.2,0.9,0.7,0.2,0.8,1.9,1.2,2.2,4.8,46.0,0.9,2.2,40.1,0.7,0.9,71.2,1.4,2.7,50.7,1.239,0.55,F,False
