Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
DeMarcus Cousins,71,71.0,32.4,22.7,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,0.8,8.3,16.8,49.6,0.0,0.1,0.0,6.1,8.4,72.6,8.3,16.7,49.9,1.355,0.5,C,False
Isaiah Thomas,72,54.0,34.7,20.3,0.7,2.3,2.9,6.3,1.3,0.1,3.0,2.6,2.1,6.9,15.2,45.3,1.8,5.1,34.9,4.8,5.7,85.0,5.1,10.2,50.4,1.337,0.51,G,False
Rudy Gay,55,55.0,34.4,20.1,1.5,4.0,5.5,3.1,1.2,0.6,3.0,2.3,1.0,7.4,15.3,48.2,0.8,2.5,31.2,4.5,5.4,83.6,6.6,12.8,51.6,1.312,0.51,SF,True
Greivis Vasquez,18,18.0,25.8,9.8,0.3,1.6,1.9,5.3,0.3,0.1,1.5,2.1,3.5,3.6,8.3,43.3,0.9,2.8,32.0,1.7,1.8,93.8,2.7,5.6,49.0,1.173,0.49,PG,True
Ben McLemore,82,55.0,26.7,8.8,0.6,2.2,2.9,1.0,0.5,0.2,1.2,2.5,0.9,3.1,8.3,37.6,1.2,3.6,32.0,1.4,1.7,80.4,2.0,4.7,41.9,1.06,0.45,SG,False
Derrick Williams,67,15.0,24.7,8.5,1.0,3.4,4.4,0.8,0.7,0.2,1.0,1.6,0.8,2.8,6.4,43.7,0.4,1.3,28.6,2.6,3.6,70.8,2.4,5.1,47.4,1.332,0.46,PF,True
Marcus Thornton,46,26.0,24.4,8.3,0.8,1.8,2.7,1.0,0.7,0.2,0.8,1.6,1.2,3.1,8.1,38.1,1.2,3.9,31.8,0.9,1.1,80.8,1.8,4.2,43.8,1.027,0.46,SG,True
Jason Thompson,82,61.0,24.5,7.1,1.9,4.6,6.4,0.6,0.4,0.7,1.2,3.1,0.6,3.1,6.0,50.6,0.0,0.0,0.0,1.0,1.8,57.9,3.1,6.0,50.6,1.181,0.51,PF,False
Patrick Patterson,17,6.0,24.4,6.9,2.0,3.8,5.8,0.9,0.8,0.2,0.9,2.3,0.9,2.9,7.2,41.0,0.5,2.3,23.1,0.5,0.9,56.3,2.4,4.9,49.4,0.967,0.45,PF,True
Ray McCallum,45,10.0,19.9,6.2,0.4,1.4,1.8,2.7,0.5,0.2,0.9,1.5,3.1,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1.0,74.4,2.0,5.4,37.8,0.933,0.41,PG,False
Jimmer Fredette,41,0.0,11.3,5.9,0.2,0.9,1.1,1.5,0.3,0.1,1.1,0.7,1.4,2.3,4.8,47.5,0.9,1.8,49.3,0.4,0.5,89.5,1.4,3.0,46.4,1.217,0.57,G,True
John Salmons,18,8.0,24.7,5.8,0.4,2.1,2.6,2.4,0.7,0.4,0.8,1.8,3.1,2.3,6.5,35.0,0.9,2.3,38.1,0.4,0.4,100.0,1.4,4.2,33.3,0.897,0.42,SF,True
Reggie Evans,24,14.0,20.8,5.5,2.6,5.1,7.7,0.7,1.0,0.0,1.3,2.7,0.5,2.0,3.8,52.7,0.0,0.0,0.0,1.5,2.7,56.9,2.0,3.8,52.7,1.462,0.53,C,True
Travis Outlaw,63,4.0,16.9,5.4,0.6,2.1,2.7,0.8,0.3,0.3,0.4,1.5,1.8,2.1,5.2,39.9,0.7,1.9,35.0,0.7,0.8,80.8,1.4,3.3,42.6,1.052,0.46,SF,False
Luc Mbah a Moute,9,5.0,21.8,4.4,1.0,2.0,3.0,1.7,1.0,0.6,0.4,2.0,3.8,1.7,3.6,46.9,0.1,0.3,33.3,1.0,1.4,69.2,1.6,3.2,48.3,1.25,0.48,F,True
Carl Landry,18,1.0,12.9,4.2,0.8,2.3,3.2,0.3,0.2,0.1,0.5,1.9,0.6,1.7,3.3,51.7,0.0,0.0,0.0,0.8,0.9,82.4,1.7,3.3,51.7,1.267,0.52,PF,False
Jared Cunningham,8,0.0,7.3,3.0,0.1,0.5,0.6,0.6,0.4,0.0,0.0,1.6,inf,0.6,2.4,26.3,0.1,0.8,16.7,1.6,1.8,92.9,0.5,1.6,30.8,1.263,0.29,G,True
Quincy Acy,56,0.0,14.0,2.7,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2.0,0.9,1.1,2.3,47.2,0.0,0.2,20.0,0.5,0.8,66.7,1.0,2.1,49.6,1.197,0.48,F,True
Chuck Hayes,16,1.0,11.2,2.1,1.3,1.7,2.9,0.4,0.7,0.1,0.4,1.1,0.9,0.9,2.0,43.8,0.0,0.0,0.0,0.3,0.4,71.4,0.9,2.0,43.8,1.031,0.44,PF,True
Aaron Gray,33,6.0,10.2,1.8,1.2,1.9,3.1,0.6,0.3,0.2,0.8,1.7,0.7,0.8,1.8,43.1,0.0,0.0,0.0,0.3,0.5,55.6,0.8,1.7,43.9,1.034,0.43,C,True
Orlando Johnson,7,0.0,7.1,1.3,0.3,0.3,0.6,0.6,0.0,0.1,0.1,0.4,4.0,0.4,2.4,17.6,0.1,0.9,16.7,0.3,0.6,50.0,0.3,1.6,18.2,0.529,0.21,SG,True
Hamady Ndiaye,14,0.0,5.3,0.4,0.4,0.9,1.3,0.2,0.0,0.3,0.2,1.1,1.0,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.6,33.3,0.667,0.33,C,False
Royce White,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,PF,False
Total,82,,,100.5,12.1,32.4,44.5,18.9,7.2,3.9,14.7,22.5,1.3,36.9,82.5,44.7,6.0,18.0,33.3,20.7,27.3,75.9,30.9,64.5,47.9,1.218,0.48,Total,False
