Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Paul George,81,81.0,34.8,23.1,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,1.2,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,4.9,10.9,44.7,1.293,0.49,F,False
Monta Ellis,81,81.0,33.8,13.8,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,1.9,5.4,12.6,42.7,1.1,3.5,30.9,2.0,2.5,78.6,4.3,9.1,47.2,1.098,0.47,SG,False
George Hill,74,73.0,34.1,12.1,0.8,3.2,4.0,3.5,1.1,0.2,1.4,2.0,2.6,4.4,10.0,44.1,1.7,4.2,40.8,1.5,2.0,76.0,2.7,5.7,46.6,1.21,0.53,PG,False
CJ Miles,64,24.0,22.9,11.8,0.4,2.3,2.7,1.0,0.8,0.5,1.1,2.2,0.9,4.0,9.9,40.9,2.2,6.0,36.7,1.5,1.9,75.0,1.8,3.9,47.4,1.188,0.52,G,False
Myles Turner,60,30.0,22.8,10.3,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,0.6,4.4,8.8,49.8,0.1,0.2,21.4,1.5,2.0,72.7,4.4,8.6,50.6,1.168,0.5,C,False
Ian Mahinmi,71,71.0,25.6,9.3,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,1.0,3.7,6.3,58.9,0.0,0.0,0.0,1.9,3.2,58.7,3.7,6.3,58.9,1.473,0.59,C,False
Rodney Stuckey,58,1.0,22.0,8.9,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,1.9,3.2,7.6,41.3,0.3,1.4,24.1,2.3,2.7,82.9,2.8,6.2,45.3,1.167,0.44,PG,False
Jordan Hill,73,11.0,20.7,8.8,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,0.9,3.8,7.5,50.6,0.0,0.0,0.0,1.2,1.7,71.2,3.8,7.5,50.7,1.175,0.51,C,False
Lavoy Allen,79,28.0,20.2,5.4,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,1.1,2.4,4.7,51.6,0.0,0.0,0.0,0.6,0.9,63.0,2.4,4.7,51.6,1.157,0.52,F,False
Ty Lawson,13,1.0,18.1,4.9,0.5,1.9,2.4,4.4,0.8,0.1,1.0,1.2,4.4,2.2,5.2,41.8,0.4,1.1,35.7,0.2,0.5,50.0,1.8,4.1,43.4,0.955,0.46,G,True
Chase Budinger,49,2.0,14.9,4.4,0.6,1.8,2.5,1.0,0.6,0.2,0.6,0.9,1.6,1.7,4.0,41.8,0.4,1.4,29.0,0.7,1.0,70.8,1.2,2.6,48.8,1.113,0.47,SF,True
Solomon Hill,59,3.0,14.7,4.2,0.7,2.2,2.8,1.0,0.6,0.2,0.6,1.2,1.7,1.6,3.5,44.7,0.4,1.3,32.4,0.6,0.7,85.7,1.2,2.3,51.5,1.183,0.5,SF,False
Rakeem Christmas,1,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,1.0,PF,False
Glenn Robinson III,45,4.0,11.3,3.8,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,1.4,1.4,3.4,43.0,0.3,0.8,37.8,0.6,0.9,69.2,1.1,2.5,44.7,1.132,0.48,F,False
Joe Young,41,0.0,9.4,3.8,0.1,1.1,1.2,1.6,0.4,0.0,0.8,0.7,2.0,1.5,4.1,36.7,0.2,1.1,21.7,0.5,0.6,80.0,1.3,3.0,42.3,0.911,0.4,G,False
Shayne Whittington,7,0.0,5.9,1.6,0.7,1.0,1.7,0.4,0.1,0.1,0.7,1.0,0.6,0.7,1.6,45.5,0.0,0.3,0.0,0.1,0.3,50.0,0.7,1.3,55.6,1.0,0.45,PF,False
Total,82,,,102.2,10.3,33.9,44.2,21.2,9.0,4.8,14.3,20.0,1.5,38.3,85.2,45.0,8.1,23.0,35.1,17.4,22.8,76.4,30.2,62.1,48.6,1.199,0.5,Total,False
