Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Damian Lillard,75,75.0,35.7,25.1,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,2.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,5.2,11.5,45.0,1.275,0.5,G,False
CJ McCollum,80,80.0,34.8,20.8,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,1.7,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,5.6,12.0,46.3,1.164,0.52,G,False
Allen Crabbe,81,8.0,26.0,10.3,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,1.5,3.8,8.4,45.9,1.4,3.5,39.4,1.2,1.4,86.7,2.5,4.9,50.5,1.227,0.54,G,False
Al-Farouq Aminu,82,82.0,28.5,10.2,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,1.2,3.6,8.8,41.6,1.5,4.3,36.1,1.4,1.9,73.7,2.1,4.5,46.8,1.167,0.5,SF,False
Mason Plumlee,82,82.0,25.4,9.1,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,1.5,3.3,6.3,51.6,0.0,0.0,0.0,2.6,4.1,64.2,3.3,6.3,52.0,1.449,0.52,C,False
Gerald Henderson,72,0.0,19.9,8.7,0.4,2.5,2.9,1.0,0.5,0.3,0.9,1.2,1.1,3.2,7.3,43.9,0.7,1.9,35.3,1.6,2.0,76.7,2.6,5.5,46.8,1.18,0.48,SG,False
Meyers Leonard,61,10.0,21.9,8.4,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3.0,1.2,3.2,7.1,44.8,1.4,3.7,37.7,0.6,0.8,76.1,1.8,3.4,52.7,1.175,0.55,C,False
Ed Davis,81,0.0,20.8,6.5,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,1.4,2.5,4.2,61.1,0.0,0.0,0.0,1.4,2.5,55.9,2.5,4.2,61.1,1.561,0.61,C,False
Maurice Harkless,78,14.0,18.7,6.4,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,1.1,2.5,5.3,47.4,0.5,1.8,27.9,0.9,1.4,62.2,2.0,3.5,57.6,1.212,0.52,SF,False
Noah Vonleh,78,56.0,15.1,3.6,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,0.6,1.5,3.6,42.1,0.1,0.6,23.9,0.5,0.7,74.5,1.4,3.0,45.7,1.018,0.44,PF,False
Brian Roberts,21,0.0,6.5,2.9,0.1,0.5,0.6,0.8,0.1,0.0,0.3,0.6,2.3,1.1,2.4,46.0,0.3,0.7,40.0,0.4,0.5,80.0,0.8,1.7,48.6,1.2,0.52,PG,True
Chris Kaman,16,2.0,7.0,2.8,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,1.4,1.3,2.7,46.5,0.1,0.3,25.0,0.2,0.2,100.0,1.2,2.4,48.7,1.023,0.48,C,False
Tim Frazier,35,1.0,7.8,1.5,0.3,0.8,1.1,1.2,0.3,0.0,0.8,0.9,1.6,0.6,1.7,33.3,0.1,0.5,17.6,0.2,0.4,53.3,0.5,1.2,39.5,0.85,0.36,PG,True
Cliff Alexander,8,0.0,4.5,1.3,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,0.0,0.6,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.3,50.0,1.0,0.5,PF,False
Luis Montero,12,0.0,3.5,1.2,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.1,0.3,0.4,1.6,26.3,0.1,0.8,11.1,0.3,0.3,75.0,0.3,0.8,40.0,0.737,0.29,SG,False
Pat Connaughton,34,0.0,4.2,1.1,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.0,0.4,1.4,26.5,0.1,0.6,23.8,0.1,0.1,100.0,0.2,0.8,28.6,0.735,0.32,G,False
Total,82,,,105.1,11.6,33.9,45.5,21.3,6.9,4.6,14.1,21.7,1.5,38.6,85.9,45.0,10.5,28.5,37.0,17.4,23.0,75.4,28.1,57.4,48.9,1.225,0.51,Total,False
