Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Kyrie Irving,60,60.0,32.2,24.4,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,2.2,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,6.1,11.3,54.1,1.349,0.57,G,False
Jaylen Brown,70,70.0,30.7,14.5,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,0.9,5.3,11.5,46.5,1.7,4.4,39.5,2.1,3.3,64.4,3.6,7.1,50.7,1.267,0.54,G,False
Jayson Tatum,80,80.0,30.5,13.9,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,1.1,5.0,10.4,47.5,1.3,3.0,43.4,2.7,3.2,82.6,3.7,7.4,49.2,1.332,0.54,F,False
Marcus Morris Sr.,54,21.0,26.7,13.6,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,1.1,4.9,11.3,42.9,1.6,4.3,36.8,2.3,2.9,80.5,3.3,7.0,46.7,1.201,0.5,F,False
Al Horford,72,72.0,31.6,12.9,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,2.6,5.1,10.5,48.9,1.3,3.1,42.9,1.3,1.7,78.3,3.8,7.3,51.4,1.231,0.55,C,False
Terry Rozier,80,16.0,25.9,11.3,0.8,3.9,4.7,2.9,1.0,0.2,1.0,1.5,2.9,4.0,10.0,39.5,1.9,5.0,38.1,1.4,1.9,77.2,2.0,5.0,41.0,1.125,0.49,G,False
Greg Monroe,26,0.0,19.1,10.2,2.0,4.3,6.3,2.3,1.1,0.7,1.8,1.8,1.2,4.0,7.6,53.0,0.0,0.0,0.0,2.1,2.7,79.7,4.0,7.6,53.0,1.338,0.53,C,True
Marcus Smart,54,11.0,29.9,10.2,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,2.0,3.5,9.5,36.7,1.4,4.6,30.1,1.8,2.5,72.9,2.1,4.9,42.9,1.068,0.44,G,False
Jonathan Gibson,4,0.0,10.0,8.5,0.0,0.8,0.8,1.0,0.0,0.0,0.8,1.3,1.3,3.5,5.8,60.9,1.5,3.0,50.0,0.0,0.0,0.0,2.0,2.8,72.7,1.478,0.74,G,False
Aron Baynes,81,67.0,18.3,6.0,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,1.2,2.6,5.5,47.1,0.0,0.3,14.3,0.7,1.0,75.6,2.6,5.2,48.7,1.081,0.47,C,False
Daniel Theis,63,3.0,14.8,5.3,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,1.0,2.0,3.7,54.1,0.3,0.9,31.0,1.0,1.3,75.3,1.7,2.8,61.7,1.421,0.58,C,False
Shane Larkin,54,2.0,14.4,4.3,0.3,1.4,1.7,1.8,0.5,0.0,0.6,1.1,3.0,1.6,4.1,38.4,0.6,1.6,36.0,0.6,0.7,86.5,1.0,2.5,39.8,1.055,0.45,G,False
Abdel Nader,48,1.0,10.9,3.0,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,0.8,1.0,3.1,33.6,0.5,1.4,35.4,0.5,0.8,59.0,0.6,1.8,32.1,0.98,0.41,F,False
Jabari Bird,13,1.0,8.8,3.0,0.5,1.0,1.5,0.6,0.2,0.1,0.6,0.5,1.0,1.2,2.0,57.7,0.2,0.5,42.9,0.5,1.0,46.2,0.9,1.5,63.2,1.5,0.63,G,False
Semi Ojeleye,73,0.0,15.8,2.7,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,0.8,0.9,2.6,34.6,0.5,1.7,32.0,0.3,0.6,61.0,0.3,0.9,39.7,1.037,0.45,PF,False
Guerschon Yabusele,33,4.0,7.1,2.4,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,1.3,0.8,1.8,42.6,0.4,1.1,32.4,0.5,0.7,68.2,0.4,0.7,58.3,1.295,0.52,F,False
Gordon Hayward,1,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.5,SF,False
Kadeem Allen,18,1.0,5.9,1.1,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.3,0.3,1.2,27.3,0.0,0.6,0.0,0.4,0.5,77.8,0.3,0.6,54.5,0.864,0.27,G,False
Xavier Silas,2,0.0,3.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,G,False
Jarell Eddie,2,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,True
Total,82,,,104.0,9.4,35.1,44.5,22.5,7.4,4.5,13.3,19.7,1.7,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,26.9,54.7,49.1,1.223,0.52,Total,False
