Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Donovan Mitchell,69,69.0,34.3,24.0,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,1.6,8.7,19.4,44.9,2.5,6.9,36.6,4.0,4.7,86.3,6.2,12.6,49.4,1.233,0.51,G,False
Bojan Bogdanovic,63,63.0,33.1,20.2,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,0.8,6.6,14.8,44.7,3.0,7.3,41.4,4.0,4.4,90.3,3.6,7.6,47.9,1.364,0.55,SF,False
Jordan Clarkson,42,2.0,24.7,15.6,0.7,2.1,2.8,1.6,0.7,0.2,1.4,1.8,1.1,6.0,12.9,46.2,2.2,6.0,36.6,1.5,1.9,78.5,3.7,6.8,54.7,1.211,0.55,G,True
Rudy Gobert,68,68.0,34.3,15.1,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,0.8,5.7,8.2,69.3,0.0,0.0,0.0,3.7,5.9,63.0,5.7,8.2,69.3,1.842,0.69,C,False
Mike Conley,47,41.0,29.0,14.4,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2,2.3,4.9,12.1,40.9,2.0,5.4,37.5,2.4,3.0,82.7,2.9,6.6,43.7,1.19,0.49,G,False
Joe Ingles,72,45.0,29.7,9.8,0.4,3.5,3.9,5.2,0.9,0.2,2.0,2.1,2.6,3.4,7.7,44.5,2.0,4.9,39.9,1.0,1.3,78.7,1.5,2.8,52.5,1.278,0.57,F,False
Jeff Green,30,2.0,18.4,7.8,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,0.7,2.5,6.5,38.5,1.1,3.5,32.7,1.6,2.1,77.8,1.4,3.0,45.1,1.195,0.47,F,True
Emmanuel Mudiay,54,2.0,15.7,7.3,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,1.5,2.8,6.1,46.2,0.6,1.6,34.5,1.2,1.5,75.9,2.2,4.4,50.4,1.208,0.51,G,False
Royce O'Neale,71,62.0,28.9,6.3,0.4,5.1,5.5,2.5,0.8,0.5,0.9,2.8,3.0,2.2,5.1,43.3,1.3,3.4,37.7,0.6,0.8,76.4,0.9,1.7,54.5,1.233,0.56,F,False
Georges Niang,66,1.0,14.0,5.9,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,1.5,2.1,4.9,43.8,1.4,3.4,40.0,0.3,0.4,83.3,0.8,1.5,52.6,1.217,0.58,F,False
Tony Bradley,58,3.0,11.4,4.9,1.9,2.7,4.6,0.4,0.2,0.6,0.5,2.0,0.8,2.2,3.3,66.7,0.1,0.1,100.0,0.5,0.8,65.2,2.1,3.2,66.1,1.508,0.67,C,False
Justin Wright-Foreman,4,0.0,11.3,4.8,0.0,1.3,1.3,1.8,0.5,0.0,0.8,1.3,2.3,1.8,5.0,35.0,0.5,2.5,20.0,0.8,1.0,75.0,1.3,2.5,50.0,0.95,0.4,G,False
Miye Oni,10,1.0,10.9,3.5,0.5,1.2,1.7,0.4,0.4,0.2,0.4,0.9,1.0,1.2,3.2,37.5,0.7,1.9,36.8,0.4,0.5,80.0,0.5,1.3,38.5,1.094,0.48,SF,False
Rayjon Tucker,20,0.0,8.1,3.1,0.2,0.9,1.0,0.3,0.1,0.1,0.4,0.5,0.6,1.0,2.2,46.5,0.2,0.9,17.6,1.0,1.2,82.6,0.9,1.3,65.4,1.442,0.5,G,False
Jarrell Brantley,9,0.0,10.7,2.7,0.2,2.0,2.2,1.2,0.3,0.6,0.8,0.8,1.6,1.1,3.1,35.7,0.3,1.4,23.1,0.1,0.2,50.0,0.8,1.7,46.7,0.857,0.41,PF,False
Dante Exum,11,0.0,7.5,2.2,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,0.7,0.9,2.1,43.5,0.2,0.5,33.3,0.2,0.2,100.0,0.7,1.5,47.1,1.043,0.48,G,True
Ed Davis,28,1.0,10.8,1.8,1.3,2.5,3.8,0.4,0.4,0.3,0.5,2.2,0.9,0.8,1.6,47.8,0.0,0.0,0.0,0.3,0.5,50.0,0.8,1.6,47.8,1.109,0.48,C,False
Juwan Morgan,21,0.0,6.4,1.7,0.5,0.9,1.4,0.3,0.0,0.1,0.3,0.9,1.0,0.7,1.2,57.7,0.1,0.4,37.5,0.1,0.2,75.0,0.6,0.9,66.7,1.385,0.63,F,False
Nigel Williams-Goss,10,0.0,5.0,1.4,0.2,0.4,0.6,0.6,0.3,0.1,0.3,0.6,2.0,0.5,1.6,31.3,0.2,0.7,28.6,0.2,0.2,100.0,0.3,0.9,33.3,0.875,0.38,G,False
Stanton Kidd,4,0.0,3.8,0.0,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.5,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,SF,False
Total,72,,,111.3,9.1,35.8,44.9,22.4,6.1,4.0,14.6,20.4,1.5,40.1,85.1,47.1,13.4,35.2,38.0,17.8,22.8,77.9,26.7,49.9,53.5,1.307,0.55,Total,False
