Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Bradley Beal,57,57.0,36.0,30.5,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,1.8,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,7.4,14.4,51.5,1.336,0.52,G,False
Davis Bertans,54,4.0,29.3,15.4,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,1.6,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,1.2,2.6,47.1,1.367,0.6,SF,False
Rui Hachimura,48,48.0,30.1,13.5,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,1.6,5.3,11.4,46.6,0.5,1.8,28.7,2.4,2.9,82.9,4.8,9.5,50.0,1.191,0.49,F,False
Thomas Bryant,46,36.0,24.9,13.2,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,1.6,5.3,9.1,58.1,0.8,2.0,40.7,1.9,2.5,74.1,4.5,7.1,63.0,1.457,0.63,C,False
Jordan McRae,29,4.0,22.6,12.8,0.6,3.0,3.6,2.8,0.7,0.5,1.3,2.1,2.2,4.6,10.9,42.0,1.4,3.7,37.7,2.2,2.9,77.1,3.2,7.3,44.1,1.167,0.48,G,True
Isaiah Thomas,40,37.0,23.1,12.2,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,1.9,4.4,10.7,40.8,2.0,4.7,41.3,1.6,1.9,81.6,2.4,5.9,40.5,1.146,0.5,G,False
Shabazz Napier,20,10.0,24.4,11.6,0.5,2.0,2.4,3.8,1.5,0.2,2.6,2.0,1.4,3.7,8.7,42.8,1.5,4.1,35.8,2.7,3.3,83.1,2.3,4.6,48.9,1.335,0.51,G,True
Ish Smith,68,23.0,26.3,10.9,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6,3.5,4.5,10.1,44.7,0.9,2.5,36.7,0.9,1.3,72.1,3.6,7.6,47.3,1.074,0.49,PG,False
Troy Brown Jr.,69,22.0,25.8,10.4,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,2.3,4.0,9.0,43.9,0.9,2.6,34.1,1.6,2.0,78.4,3.1,6.4,47.9,1.151,0.49,F,False
Jerome Robinson,21,5.0,24.0,9.4,0.4,2.9,3.3,2.0,0.7,0.4,1.1,2.7,1.8,3.3,8.3,39.7,1.4,4.1,34.9,1.4,1.8,76.3,1.9,4.2,44.3,1.132,0.48,SG,True
Moritz Wagner,45,5.0,18.6,8.7,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,0.8,3.2,5.9,54.5,0.6,1.8,31.3,1.7,2.1,82.1,2.7,4.1,64.5,1.477,0.59,F,False
Ian Mahinmi,38,35.0,21.3,7.4,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,1.1,2.7,5.5,49.5,0.1,0.7,19.2,1.8,3.0,61.9,2.6,4.8,53.8,1.348,0.51,C,False
CJ Miles,10,0.0,16.1,6.4,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,3.0,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.8,2.4,33.3,1.085,0.42,G,False
Anzejs Pasecniks,27,0.0,16.2,5.8,1.6,2.4,4.0,0.7,0.3,0.4,0.9,2.8,0.8,2.3,4.3,52.6,0.0,0.1,0.0,1.3,2.1,58.6,2.3,4.2,54.0,1.345,0.53,C,False
Garrison Mathews,18,0.0,12.6,5.4,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,1.3,1.3,3.1,42.9,1.1,2.6,41.3,1.7,1.9,91.2,0.3,0.6,50.0,1.75,0.6,G,False
Jarrod Uthoff,3,0.0,13.0,5.0,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3,0.0,2.0,3.7,54.5,1.0,1.7,60.0,0.0,0.0,0.0,1.0,2.0,50.0,1.364,0.68,F,True
