Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Zion Williamson,61,61.0,33.2,27.0,2.7,4.5,7.2,3.7,0.9,0.6,2.7,2.2,1.4,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,10.2,16.4,62.2,1.588,0.62,F,False
Brandon Ingram,61,61.0,34.3,23.8,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,1.9,8.4,18.0,46.6,2.3,6.1,38.1,4.6,5.2,87.8,6.1,11.9,51.0,1.317,0.53,F,False
Lonzo Ball,55,55.0,31.8,14.6,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,2.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,2.1,4.5,48.2,1.146,0.54,G,False
Eric Bledsoe,71,70.0,29.7,12.2,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,2.4,4.3,10.3,42.1,1.7,5.0,34.1,1.9,2.7,68.7,2.6,5.3,49.6,1.19,0.5,SG,False
Nickeil Alexander-Walker,46,13.0,21.9,11.0,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,1.5,4.2,10.0,41.9,1.7,4.8,34.7,1.0,1.4,72.7,2.5,5.2,48.5,1.109,0.5,G,False
Josh Hart,47,4.0,28.7,9.2,1.1,6.9,8.0,2.3,0.8,0.3,1.0,2.4,2.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,1.9,3.2,58.3,1.262,0.53,G,False
James Johnson,22,11.0,24.5,9.2,0.8,3.3,4.1,2.2,0.8,0.9,1.3,2.8,1.7,3.6,8.3,43.4,0.7,2.7,26.7,1.3,2.1,59.6,2.9,5.5,51.6,1.11,0.48,PF,True
JJ Redick,31,0.0,18.6,8.7,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,1.6,2.8,6.9,40.7,1.6,4.5,36.4,1.5,1.5,95.7,1.2,2.4,48.6,1.262,0.53,SG,True
Willy Hernangomez,47,12.0,18.0,7.8,2.5,4.6,7.1,1.1,0.5,0.5,0.7,1.4,1.5,3.2,5.7,56.3,0.0,0.2,10.0,1.3,2.0,66.7,3.2,5.5,58.1,1.362,0.57,C,False
Naji Marshall,32,10.0,21.9,7.7,0.5,4.2,4.6,2.8,0.8,0.3,1.2,1.8,2.3,2.6,6.5,39.2,0.9,2.6,34.9,1.7,2.3,70.7,1.7,3.9,42.1,1.177,0.46,F,False
Isaiah Thomas,3,0.0,16.0,7.7,0.3,1.0,1.3,1.7,0.3,0.0,2.0,1.0,0.8,3.0,9.0,33.3,1.0,4.0,25.0,0.7,0.7,100.0,2.0,5.0,40.0,0.852,0.39,G,False
Steven Adams,58,58.0,27.7,7.6,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,1.4,3.3,5.3,61.4,0.0,0.1,0.0,1.0,2.3,44.4,3.3,5.3,62.0,1.422,0.61,C,False
Jaxson Hayes,60,3.0,16.1,7.5,1.5,2.8,4.3,0.6,0.4,0.6,0.7,1.7,0.9,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2.0,77.5,2.8,4.4,63.5,1.604,0.64,C,False
Kira Lewis Jr.,54,0.0,16.7,6.4,0.2,1.1,1.3,2.3,0.7,0.2,0.6,1.6,3.6,2.4,6.2,38.6,0.7,2.2,33.3,0.8,0.9,84.3,1.7,4.0,41.5,1.018,0.45,G,False
Wenyen Gabriel,21,0.0,11.5,3.4,1.0,1.6,2.6,0.5,0.4,0.4,0.7,1.5,0.7,1.1,2.9,40.0,0.6,1.5,40.6,0.5,0.8,64.7,0.5,1.3,39.3,1.2,0.51,F,False
Wes Iwundu,18,1.0,13.9,2.8,0.5,2.1,2.6,0.4,0.3,0.1,0.7,1.3,0.6,0.9,2.8,34.0,0.1,1.0,11.1,0.8,0.9,82.4,0.8,1.8,46.9,1.0,0.36,F,True
Didi Louzada,3,0.0,18.7,2.7,0.3,0.7,1.0,1.0,0.7,0.0,1.0,1.7,1.0,1.0,4.3,23.1,0.7,2.7,25.0,0.0,0.0,0.0,0.3,1.7,20.0,0.615,0.31,G,False
Nicolo Melli,22,0.0,11.0,2.0,0.5,2.0,2.6,1.1,0.4,0.0,0.3,1.3,3.6,0.7,2.7,25.4,0.3,1.7,18.9,0.3,0.3,85.7,0.4,1.0,36.4,0.729,0.31,PF,True
James Nunnally,9,0.0,5.3,1.7,0.2,0.8,1.0,0.3,0.0,0.0,0.2,0.1,1.5,0.6,1.4,38.5,0.4,1.3,33.3,0.1,0.2,50.0,0.1,0.1,100.0,1.154,0.54,SF,False
Sindarius Thornwell,14,1.0,5.2,1.2,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.0,0.5,1.5,33.3,0.2,0.6,33.3,0.0,0.1,0.0,0.3,0.9,33.3,0.81,0.4,SG,True
Will Magnay,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF,False
Total,72,,,114.6,11.7,35.7,47.4,26.0,7.6,4.4,13.9,18.0,1.9,42.5,89.1,47.7,10.6,30.4,34.8,19.0,26.1,72.9,31.9,58.6,54.4,1.287,0.54,Total,False
