Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Cade Cunningham,61,61.0,34.4,24.5,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,2.7,8.7,18.9,46.1,2.0,5.8,34.6,5.1,6.2,81.4,6.7,13.1,51.3,1.298,0.51,G,False
Jalen Duren,67,67.0,28.3,19.5,3.8,6.8,10.6,1.9,0.8,0.9,1.8,2.8,1.0,7.4,11.6,64.5,0.0,0.0,0.0,4.6,6.1,74.8,7.4,11.6,64.5,1.687,0.64,C,False
Tobias Harris,60,60.0,27.9,13.2,0.8,4.3,5.1,2.6,0.9,0.4,1.0,1.7,2.6,4.9,10.6,46.4,1.3,3.6,34.9,2.2,2.5,87.3,3.7,7.0,52.3,1.252,0.52,F,False
Duncan Robinson,74,74.0,27.6,12.0,0.4,2.3,2.7,2.1,0.6,0.3,0.7,2.2,3.0,4.1,9.0,44.8,2.9,7.0,40.8,1.1,1.4,76.0,1.2,2.0,58.7,1.332,0.61,F,False
Isaiah Stewart,55,13.0,23.1,10.0,1.7,3.4,5.1,1.2,0.3,1.6,1.1,2.8,1.0,3.8,7.0,54.1,0.7,2.1,33.3,1.7,2.3,76.0,3.1,4.9,63.2,1.43,0.59,F,False
Ausar Thompson,69,68.0,26.0,9.9,2.1,3.7,5.8,3.0,2.0,0.9,1.5,2.7,2.0,4.2,8.0,51.8,0.1,0.3,26.1,1.5,2.7,56.5,4.1,7.7,52.9,1.235,0.52,G,False
Daniss Jenkins,68,18.0,20.1,9.4,0.7,1.5,2.3,3.8,0.9,0.2,1.5,1.5,2.5,3.3,7.9,41.5,1.0,2.7,38.4,1.8,2.2,81.8,2.2,5.1,43.1,1.189,0.48,G,False
Jaden Ivey,33,2.0,16.8,8.2,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,1.5,3.0,6.7,45.0,1.3,3.4,37.2,0.9,1.2,78.9,1.7,3.2,53.3,1.227,0.55,G,True
Ronald Holland II,74,5.0,19.8,8.1,1.1,3.0,4.1,1.2,1.2,0.3,1.2,2.3,1.0,3.0,6.9,43.1,0.6,2.5,23.1,1.6,2.0,80.1,2.4,4.5,54.1,1.172,0.47,F,False
Kevin Huerter,22,2.0,20.2,8.0,0.5,2.4,2.9,2.3,0.9,0.3,0.9,1.3,2.7,3.2,7.4,43.6,1.0,3.9,27.1,0.5,0.6,92.3,2.2,3.5,61.5,1.086,0.51,G,True
Paul Reed,61,9.0,13.8,7.5,2.0,2.5,4.5,1.2,0.9,0.9,0.9,1.9,1.3,3.1,5.1,60.1,0.2,0.6,32.4,1.1,1.7,65.0,2.9,4.5,63.8,1.454,0.62,F,False
Caris LeVert,57,0.0,19.4,7.4,0.4,1.6,2.0,2.7,0.8,0.7,1.4,1.6,1.9,2.8,6.6,41.9,1.0,3.1,33.0,0.9,1.3,65.8,1.8,3.5,49.8,1.125,0.5,G,False
Javonte Green,78,6.0,17.6,6.8,0.7,2.0,2.7,0.7,1.2,0.3,0.6,1.3,1.2,2.2,5.0,44.3,1.1,3.0,37.3,1.2,1.5,83.6,1.1,2.1,54.4,1.354,0.55,G,False
Marcus Sasser,34,5.0,12.5,5.6,0.2,0.9,1.1,2.1,0.6,0.1,0.9,1.1,2.4,1.9,4.8,40.7,1.2,2.9,43.3,0.4,0.5,83.3,0.7,1.9,36.9,1.167,0.54,G,False
Tolu Smith,12,0.0,9.8,3.6,1.6,2.0,3.6,0.9,0.2,0.5,0.6,1.6,1.6,1.2,2.3,50.0,0.0,0.0,0.0,1.3,1.8,68.2,1.2,2.3,50.0,1.536,0.5,F,False
Chaz Lanier,30,0.0,7.7,2.4,0.2,0.4,0.7,0.5,0.2,0.0,0.1,0.4,7.5,0.8,2.6,32.1,0.6,2.0,30.0,0.2,0.2,83.3,0.2,0.6,38.9,0.936,0.44,G,False
Colby Jones,1,0.0,7.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,inf,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.667,0.33,G,False
Wendell Moore Jr.,5,0.0,10.8,2.0,0.2,1.0,1.2,0.6,0.4,0.4,0.2,0.2,3.0,0.8,1.4,57.1,0.0,0.2,0.0,0.4,0.4,100.0,0.8,1.2,66.7,1.429,0.57,F,False
Bobi Klintman,12,0.0,5.9,1.8,0.4,1.2,1.6,0.5,0.3,0.0,0.5,0.9,1.0,0.8,2.3,33.3,0.3,1.1,30.8,0.0,0.3,0.0,0.4,1.2,35.7,0.815,0.41,F,False
Isaac Jones,3,0.0,3.0,1.3,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,1.3,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,1.0,66.7,1.0,0.5,C,True
Total,78,,,117.5,13.1,32.5,45.6,27.5,10.4,6.3,14.1,22.1,1.9,43.3,89.7,48.3,10.9,30.9,35.4,20.0,26.2,76.1,32.3,58.7,55.1,1.31,0.54,Total,False
