Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Luka Doncic,56,56.0,35.7,32.9,0.6,7.3,7.9,8.5,1.5,0.6,4.0,2.4,2.1,10.6,22.4,47.4,3.9,10.6,36.4,7.8,10.1,77.4,6.8,11.8,57.4,1.47,0.56,G,False
Austin Reaves,42,36.0,34.2,23.8,0.7,4.1,4.8,5.5,1.1,0.4,3.0,2.1,1.9,7.6,15.3,49.6,2.4,6.5,36.9,6.3,7.2,87.4,5.2,8.7,59.1,1.562,0.57,G,False
LeBron James,47,47.0,33.3,21.2,0.7,4.9,5.7,6.9,1.1,0.6,3.1,1.4,2.3,8.0,15.8,50.6,1.4,4.4,31.1,3.9,5.2,74.2,6.6,11.3,58.3,1.344,0.55,F,False
Deandre Ayton,59,59.0,27.4,12.5,2.6,5.8,8.4,0.9,0.6,0.9,1.2,2.3,0.7,5.7,8.5,66.7,0.0,0.0,0.0,1.1,1.8,62.0,5.7,8.5,66.7,1.468,0.67,C,False
Rui Hachimura,56,35.0,29.1,11.4,0.6,2.7,3.3,0.9,0.6,0.3,0.7,1.6,1.4,4.5,8.9,50.3,1.8,4.1,43.2,0.7,1.0,75.9,2.7,4.8,56.3,1.288,0.6,F,False
Marcus Smart,57,50.0,28.6,9.6,0.6,2.2,2.8,2.8,1.4,0.4,1.5,2.6,1.9,3.2,7.9,40.4,1.6,4.8,34.2,1.6,2.0,80.7,1.5,3.0,50.3,1.223,0.51,G,False
Luke Kennard,18,1.0,22.1,9.0,0.3,1.9,2.2,1.9,0.6,0.2,0.8,1.6,2.4,3.4,6.2,55.9,1.4,3.2,44.8,0.7,0.7,92.3,2.0,2.9,67.9,1.459,0.68,G,True
Jake LaRavia,68,33.0,25.1,8.7,1.5,2.4,3.9,1.9,1.2,0.4,1.1,2.2,1.8,3.1,6.7,45.7,1.0,3.2,31.6,1.6,2.1,76.4,2.1,3.5,58.3,1.299,0.53,F,False
Jaxson Hayes,56,8.0,17.6,6.8,1.5,2.4,3.9,0.9,0.4,0.6,0.4,2.0,2.0,2.8,3.7,74.6,0.0,0.0,100.0,1.2,1.8,67.3,2.8,3.7,74.4,1.828,0.75,C,False
Nick Smith Jr.,25,1.0,12.7,5.8,0.1,0.7,0.8,1.1,0.4,0.1,0.8,1.0,1.5,2.2,5.3,42.1,1.1,2.8,39.1,0.3,0.4,63.6,1.2,2.6,45.3,1.098,0.52,G,False
Gabe Vincent,29,7.0,19.3,4.8,0.2,0.7,0.9,1.3,0.5,0.0,0.4,1.8,3.1,1.6,4.5,34.6,1.3,3.6,36.9,0.3,0.4,90.9,0.2,0.9,25.9,1.062,0.49,G,True
Jarred Vanderbilt,55,3.0,17.8,4.5,1.3,3.2,4.6,1.2,0.8,0.3,0.9,1.7,1.4,1.7,3.7,46.1,0.5,1.6,30.2,0.5,0.9,63.8,1.3,2.2,57.5,1.194,0.52,F,False
Dalton Knecht,48,1.0,10.6,4.2,0.3,1.1,1.4,0.3,0.2,0.2,0.4,0.8,0.8,1.6,3.6,44.8,0.6,2.1,30.7,0.3,0.4,70.0,1.0,1.5,64.4,1.155,0.54,F,False
Drew Timme,21,0.0,8.5,3.4,0.4,0.9,1.3,0.8,0.2,0.0,0.3,0.6,2.3,1.4,2.4,58.8,0.4,0.9,42.1,0.2,0.3,57.1,1.0,1.5,68.8,1.412,0.67,F,False
Kobe Bufkin,11,1.0,8.2,3.0,0.1,0.7,0.8,0.5,0.2,0.3,0.4,0.5,1.3,1.0,3.5,28.9,0.3,1.8,15.0,0.7,0.7,100.0,0.7,1.6,44.4,0.868,0.33,G,False
Maxi Kleber,35,1.0,10.9,2.2,0.8,1.1,1.9,0.6,0.4,0.3,0.4,1.4,1.7,0.8,1.7,46.7,0.2,0.6,27.3,0.4,0.6,63.6,0.6,1.1,57.9,1.267,0.52,F,False
Bronny James,32,1.0,7.0,2.1,0.1,0.3,0.5,1.2,0.3,0.1,0.4,0.5,2.7,0.8,2.0,39.7,0.4,0.9,41.4,0.1,0.2,80.0,0.4,1.1,38.2,1.048,0.49,G,False
Adou Thiero,19,0.0,5.5,1.5,0.4,0.7,1.1,0.3,0.3,0.1,0.3,0.8,1.2,0.5,1.1,47.6,0.0,0.1,0.0,0.4,0.5,80.0,0.5,1.1,50.0,1.333,0.48,F,False
Chris Manon,6,0.0,4.2,0.3,0.2,0.8,1.0,0.2,0.5,0.3,0.2,0.8,1.0,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3,100.0,0.0,0.0,0.0,1.0,0.0,G,False
Christian Koloko,2,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,True
Total,67,,,116.5,9.6,31.5,41.1,25.7,8.2,4.2,13.9,18.7,1.8,42.1,84.3,49.9,12.1,33.9,35.8,20.2,26.3,76.8,29.9,50.4,59.4,1.381,0.57,Total,False
