Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Victor Wembanyama,52,43.0,29.3,24.3,1.9,9.2,11.2,3.0,1.0,3.0,2.6,2.7,1.2,8.3,16.3,50.7,2.0,5.4,36.5,5.8,7.1,81.4,6.3,10.9,57.7,1.489,0.57,F,False
De'Aaron Fox,58,58.0,31.6,19.1,0.6,3.2,3.7,6.3,1.2,0.3,2.3,2.3,2.8,7.2,14.8,48.9,1.9,5.6,34.5,2.7,3.6,75.0,5.3,9.2,57.8,1.292,0.55,G,False
Stephon Castle,57,56.0,29.8,16.6,1.3,3.8,5.1,7.0,1.2,0.3,3.2,3.3,2.2,5.6,12.0,46.8,1.1,3.6,31.2,4.2,5.7,73.6,4.5,8.4,53.4,1.379,0.51,G,False
Devin Vassell,54,52.0,30.7,14.2,0.5,3.3,3.9,2.4,0.8,0.4,0.9,1.6,2.6,5.0,11.5,43.6,2.5,6.5,38.2,1.6,2.0,80.9,2.5,5.0,50.6,1.232,0.54,G,False
Keldon Johnson,67,0.0,23.3,12.8,1.6,3.9,5.5,1.3,0.6,0.1,0.9,2.1,1.5,4.9,9.2,53.1,1.2,3.1,37.9,1.8,2.3,78.9,3.7,6.1,60.9,1.385,0.6,F,False
Dylan Harper,55,0.0,22.2,11.2,0.7,2.6,3.3,3.8,0.8,0.3,1.4,1.9,2.7,4.5,9.3,48.7,0.7,2.5,29.2,1.4,1.9,73.3,3.8,6.8,55.9,1.204,0.53,G,False
Julian Champagnie,67,53.0,27.8,11.1,0.9,5.0,5.8,1.5,0.8,0.4,0.9,1.6,1.7,3.6,8.3,43.3,2.4,6.3,38.4,1.5,1.8,83.3,1.2,2.0,58.5,1.336,0.58,F,False
Harrison Barnes,62,49.0,26.8,10.2,0.9,2.0,2.9,2.0,0.7,0.2,0.9,1.1,2.3,3.5,7.8,44.2,1.8,4.9,37.5,1.5,1.7,84.9,1.6,3.0,55.2,1.304,0.56,F,False
Luke Kornet,57,23.0,21.2,6.7,2.8,3.4,6.2,1.8,0.4,1.1,0.4,1.8,4.2,2.7,4.1,65.2,0.0,0.0,0.0,1.4,1.7,82.3,2.7,4.1,65.2,1.644,0.65,C,False
Jeremy Sochan,28,0.0,12.8,4.1,0.9,1.7,2.6,1.0,0.4,0.2,0.6,1.8,1.6,1.7,3.5,47.5,0.3,1.3,25.7,0.4,0.6,68.8,1.4,2.3,59.4,1.152,0.52,F,True
Carter Bryant,56,0.0,10.2,3.8,0.5,1.8,2.3,0.4,0.2,0.3,0.4,1.1,1.2,1.4,3.6,38.3,0.7,2.1,33.6,0.3,0.5,66.7,0.7,1.5,45.1,1.055,0.48,F,False
Kelly Olynyk,36,0.0,8.9,3.3,0.6,1.2,1.8,1.1,0.4,0.1,0.6,1.1,1.9,1.2,2.4,49.4,0.3,1.2,26.2,0.6,0.8,66.7,0.9,1.3,71.1,1.345,0.56,F,False
Riley Minix,3,0.0,2.7,3.0,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,inf,1.3,2.0,66.7,0.3,1.0,33.3,0.0,0.0,0.0,1.0,1.0,100.0,1.5,0.75,F,True
David Jones Garcia,11,0.0,6.2,2.9,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,3.6,1.2,2.3,52.0,0.3,0.5,60.0,0.3,0.5,50.0,0.9,1.8,50.0,1.28,0.58,F,False
Lindy Waters III,34,0.0,6.5,2.1,0.1,0.6,0.6,0.4,0.1,0.0,0.1,0.5,2.8,0.7,1.9,37.9,0.6,1.7,34.5,0.0,0.0,100.0,0.1,0.2,62.5,1.076,0.53,F,False
Jordan McLaughlin,33,0.0,5.9,1.9,0.1,0.5,0.7,0.7,0.4,0.0,0.4,0.3,2.0,0.7,1.8,39.3,0.4,1.0,37.5,0.1,0.2,80.0,0.4,0.9,41.4,1.049,0.49,G,False
Harrison Ingram,5,0.0,3.4,1.8,0.6,0.0,0.6,0.2,0.0,0.0,0.0,0.4,inf,0.8,1.0,80.0,0.2,0.2,100.0,0.0,0.0,0.0,0.6,0.8,75.0,1.8,0.9,F,False
Stanley Umude,2,0.0,3.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,inf,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100.0,1.0,0.5,G,False
Bismack Biyombo,19,1.0,5.7,0.8,0.2,0.6,0.8,0.3,0.2,0.1,0.3,1.1,0.8,0.3,0.5,66.7,0.0,0.0,0.0,0.2,0.3,80.0,0.3,0.5,66.7,1.778,0.67,C,False
Mason Plumlee,2,0.0,4.0,0.0,0.5,1.0,1.5,0.5,1.0,0.0,0.0,0.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,True
Total,67,,,118.8,11.2,35.3,46.5,27.4,7.6,5.4,12.9,19.2,2.1,42.9,89.3,48.0,13.5,37.8,35.8,19.6,25.1,78.0,29.3,51.4,57.0,1.331,0.56,Total,False
