Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Aaron Gagnon,DAL,C,19,0,2,2,-3,0,483.7894,0,0,0,0,0,9,0.0,0,2,0.54545,2010-2011
Aaron Palushaj,MTL,R,3,0,0,0,1,2,511.0,0,0,0,0,0,3,0.0,0,0,0.0,2010-2011
Aaron Rome,VAN,D,70,2,4,6,4,90,992.0571,0,2,0,0,0,60,0.03333,2,4,nan,2010-2011
Aaron Volpatti,VAN,L,15,1,1,2,-1,16,409.8666,0,0,0,0,0,6,0.16666,1,2,nan,2010-2011
Aaron Voros,ANA,L,12,0,0,0,-4,43,332.75,0,0,0,0,0,8,0.0,0,0,0.66666,2010-2011
Adam Burish,DAL,R,63,8,6,14,2,91,860.9841,0,0,0,0,1,89,0.08988,8,14,0.53459,2010-2011
Adam Cracknell,STL,R,24,3,4,7,1,8,535.4166,0,0,0,0,0,26,0.11538,3,7,0.38983,2010-2011
Adam Foote,COL,D,47,0,8,8,-9,33,1075.5106,0,0,0,0,0,23,0.0,0,8,nan,2010-2011
Adam Hall,TBL,R,100,8,15,23,-14,40,880.59,0,0,0,0,1,184,0.04347,8,23,0.55405,2010-2011
Adam Henrique,NJD,C,1,0,0,0,1,0,801.0,0,0,0,0,0,3,0.0,0,0,0.0,2010-2011
Adam Mair,NJD,C,65,1,3,4,-16,45,545.6461,0,0,0,0,0,58,0.01724,1,4,0.50892,2010-2011
Adam McQuaid,BOS,D,90,3,16,19,38,110,863.7333,0,0,0,0,0,59,0.05084,3,19,nan,2010-2011
Adam Pardy,CGY,D,30,1,6,7,3,24,881.2333,0,1,0,0,0,36,0.02777,1,6,nan,2010-2011
Adrian Aucoin,PHX,D,79,3,19,22,14,54,1292.5063,0,2,0,0,0,102,0.02941,3,20,1.0,2010-2011
Alec Martinez,LAK,D,66,5,12,17,10,20,906.9848,1,5,0,0,0,79,0.06329,4,11,nan,2010-2011
Ales Hemsky,EDM,R,47,14,28,42,3,18,1096.9361,1,8,1,0,1,100,0.14,12,31,0.14285,2010-2011
Ales Kotalik,CGY,R,26,4,2,6,-7,8,742.3846,1,1,0,0,2,62,0.06451,3,4,0.54545,2010-2011
