Rank,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
1,Atlantic,1,Tampa Bay Lightning,82,54,23,5,113,,48,6,2,29-10-2,25-13-3,296,236,+60,5-4-1,L1
2,Atlantic,2,Boston Bruins,82,50,20,12,112,,47,3,3,28-8-5,22-12-7,270,214,+56,5-3-2,L1
3,Atlantic,3,Toronto Maple Leafs,82,49,26,7,105,,42,7,2,29-10-2,20-16-5,277,232,+45,6-4-0,W1
4,Atlantic,4,Florida Panthers,82,44,30,8,96,,41,3,3,27-11-3,17-19-5,248,246,+2,7-2-1,W5
5,Atlantic,5,Detroit Red Wings,82,30,39,13,73,,25,5,1,16-16-9,14-23-4,217,255,-38,4-4-2,L3
6,Atlantic,6,Montreal Canadiens,82,29,40,13,71,,27,2,6,18-14-9,11-26-4,209,264,-55,3-6-1,L1
7,Atlantic,7,Ottawa Senators,82,28,43,11,67,,26,2,7,16-19-6,12-24-5,221,291,-70,2-8-0,L2
8,Atlantic,8,Buffalo Sabres,82,25,45,12,62,,24,1,2,11-25-5,14-20-7,199,280,-81,2-8-0,L4
9,Metropolitan,1,Washington Capitals,82,49,26,7,105,,46,3,1,28-11-2,21-15-5,259,239,+20,8-2-0,W1
10,Metropolitan,2,Pittsburgh Penguins,82,47,29,6,100,,45,2,2,30-9-2,17-20-4,272,250,+22,6-3-1,W2
11,Metropolitan,3,Philadelphia Flyers,82,42,26,14,98,,40,2,7,22-13-6,20-13-8,251,243,+8,6-1-3,W2
12,Metropolitan,4,Columbus Blue Jackets,82,45,30,7,97,,39,6,4,26-12-3,19-18-4,242,230,+12,6-2-2,L2
13,Metropolitan,5,New Jersey Devils,82,44,29,9,97,,39,5,4,23-14-4,21-15-5,248,244,+4,7-2-1,L1
14,Metropolitan,6,Carolina Hurricanes,82,36,35,11,83,,33,3,3,19-16-6,17-19-5,228,256,-28,5-5-0,W1
15,Metropolitan,7,New York Islanders,82,35,37,10,80,,32,3,3,19-18-4,16-19-6,264,296,-32,5-5-0,W3
16,Metropolitan,8,New York Rangers,82,34,39,9,77,,31,3,5,21-16-4,13-23-5,231,268,-37,2-7-1,L3
17,Central,1,Nashville Predators,82,53,18,11,117,,47,6,7,28-9-4,25-9-7,267,211,+56,5-4-1,W2
18,Central,2,Winnipeg Jets,82,52,20,10,114,,48,4,2,32-7-2,20-13-8,277,218,+59,9-1-0,W5
19,Central,3,Minnesota Wild,82,45,26,11,101,,42,3,3,27-6-8,18-20-3,253,232,+21,4-2-4,W1
20,Central,4,Colorado Avalanche,82,43,30,9,95,,41,2,1,28-11-2,15-19-7,257,237,+20,4-5-1,W1
21,Central,5,St. Louis Blues,82,44,32,6,94,,41,3,0,24-17-0,20-15-6,226,222,+4,5-4-1,L1
22,Central,6,Dallas Stars,82,42,32,8,92,,38,4,3,26-12-3,16-20-5,235,225,+10,4-6-0,W1
23,Central,7,Chicago Blackhawks,82,33,39,10,76,,32,1,2,18-18-5,15-21-5,229,256,-27,3-5-2,L2
24,Pacific,1,Vegas Golden Knights,82,51,24,7,109,,47,4,3,29-10-2,22-14-5,272,228,+44,5-3-2,L2
25,Pacific,2,Anaheim Ducks,82,44,25,13,101,,40,4,7,26-10-5,18-15-8,235,216,+19,8-1-1,W5
26,Pacific,3,San Jose Sharks,82,45,27,10,100,,40,5,3,25-13-3,20-14-7,252,229,+23,5-4-1,L1
27,Pacific,4,Los Angeles Kings,82,45,29,8,98,,43,2,1,23-15-3,22-14-5,239,203,+36,6-2-2,L1
28,Pacific,5,Calgary Flames,82,37,35,10,84,,35,2,5,17-20-4,20-15-6,218,248,-30,2-8-0,W1
29,Pacific,6,Edmonton Oilers,82,36,40,6,78,,31,5,1,19-18-4,17-22-2,234,263,-29,5-4-1,W2
30,Pacific,7,Vancouver Canucks,82,31,40,11,73,,31,0,5,16-18-7,15-22-4,218,264,-46,6-2-2,L1
31,Pacific,8,Arizona Coyotes,82,29,41,12,70,,27,2,5,16-21-4,13-20-8,208,256,-48,5-4-1,L2
