Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20052006,2,31,2,1476,251,430,681,126,1421,87,9,40,3,2585,0.09709864603481624,91,82,43,27,12,2.6146779736245707,0.9109278350515464,2425,2209,216,3,2026-04-06T19:46:07Z
Atlanta Thrashers,ATL,20052006,2,31,5,1475,276,468,744,18,1314,100,13,36,5,2522,0.10943695479777954,93,82,41,33,8,3.1962226459638607,0.8934194590230117,2477,2213,264,5,2026-04-06T19:46:08Z
Boston Bruins,BOS,20052006,2,39,4,1476,228,381,609,-70,1152,62,9,27,4,2511,0.0908004778972521,89,82,29,37,16,3.043171983496025,0.9040730871716787,2627,2375,252,2,2026-04-06T19:46:08Z
Buffalo Sabres,BUF,20052006,2,27,3,1475,276,484,760,-8,1132,101,10,47,6,2510,0.1099601593625498,87,82,52,24,6,2.767622443121733,0.908289947937525,2497,2268,229,2,2026-04-06T19:46:08Z
Calgary Flames,CGY,20052006,2,31,3,1475,216,362,578,73,1433,87,8,44,2,2299,0.0939538929969552,85,82,46,25,11,2.2721702784818625,0.9166666666666666,2256,2068,188,10,2026-04-06T19:46:09Z
Carolina Hurricanes,CAR,20052006,2,30,2,1470,286,477,763,41,1103,95,17,44,4,2553,0.11202506854680767,88,82,52,22,8,3.0501016365663918,0.8984751203852327,2492,2239,253,3,2026-04-06T19:46:09Z
Chicago Blackhawks,CHI,20052006,2,38,5,1475,209,354,563,-160,1494,51,6,24,7,2480,0.0842741935483871,91,82,26,43,13,3.3056294587149484,0.8867689755288262,2411,2138,273,2,2026-04-06T19:46:09Z
Colorado Avalanche,COL,20052006,2,25,4,1476,280,489,769,32,1130,89,11,40,3,2464,0.11363636363636363,90,82,43,30,9,2.9598280172791416,0.8986710963455149,2408,2164,244,5,2026-04-06T19:46:10Z
Columbus Blue Jackets,CBJ,20052006,2,38,3,1475,215,357,572,-165,1392,64,10,27,6,2250,0.09555555555555556,91,82,35,43,4,3.2397582269979854,0.9026870007262164,2754,2486,268,1,2026-04-06T19:46:10Z
Dallas Stars,DAL,20052006,2,29,2,1475,253,451,704,134,1450,88,10,41,3,2333,0.10844406343763395,87,82,53,23,6,2.573644861061929,0.8979007633587787,2096,1882,214,3,2026-04-06T19:46:10Z
Detroit Red Wings,DET,20052006,2,28,3,1471,301,518,819,302,1095,102,7,54,3,2796,0.10765379113018599,87,82,58,16,8,2.435461613543805,0.9076286764705882,2176,1975,201,9,2026-04-06T19:46:11Z
Edmonton Oilers,EDM,20052006,2,34,4,1476,249,436,685,-43,1176,88,15,34,6,2442,0.10196560196560196,95,82,41,28,13,2.848491121000778,0.8866028708133972,2090,1853,237,2,2026-04-06T19:46:11Z
Florida Panthers,FLA,20052006,2,32,2,1476,236,401,637,52,1253,63,5,33,8,2724,0.08663729809104258,92,82,37,34,11,2.974340791485063,0.9132724719101124,2848,2601,247,4,2026-04-06T19:46:11Z
Los Angeles Kings,LAK,20052006,2,33,3,1473,243,427,670,-25,1432,77,15,36,4,2394,0.10150375939849623,93,82,42,35,5,3.164621158332488,0.8938775510204081,2450,2190,260,5,2026-04-06T19:46:12Z
Minnesota Wild,MIN,20052006,2,28,3,1476,226,383,609,-50,1177,77,11,33,1,2194,0.10300820419325434,85,82,38,36,8,2.4933849314285523,0.9160554197229014,2454,2248,206,3,2026-04-06T19:46:12Z
