Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Burt,HFD,D,42,2,7,9,-4,63,,1,3,0,0,1,43,0.04651,1,5,,1990-1991
Bobby Holik,HFD,C,84,21,22,43,-6,120,,8,3,0,0,3,188,0.1117,13,32,,1990-1991
Brad Shaw,HFD,D,78,5,30,35,-14,31,,2,22,0,0,1,134,0.03731,3,10,,1990-1991
Brian Chapman,HFD,D,3,0,0,0,0,29,,0,0,0,0,0,0,,0,0,,1990-1991
Carey Wilson,HFD,C,57,11,18,29,-13,18,,4,4,0,1,2,79,0.13924,7,21,,1990-1991
Chris Tancill,HFD,R,9,1,1,2,2,4,,0,0,1,0,0,6,0.16666,0,1,,1990-1991
Christopher Govedaris,HFD,L,14,1,3,4,-4,4,,0,0,0,0,1,10,0.1,1,4,,1990-1991
Dave Babych,HFD,D,8,0,6,6,-4,4,,0,6,0,0,0,15,0.0,0,0,,1990-1991
Dean Evason,HFD,C,81,6,27,33,-7,199,,1,1,0,0,0,91,0.06593,5,30,,1990-1991
Doug Crossman,HFD,D,74,8,29,37,-23,48,,4,21,0,0,0,108,0.07407,4,12,,1990-1991
Doug Houda,HFD,D,6,0,0,0,-4,8,,0,0,0,0,0,6,0.0,0,0,,1990-1991
Doug Houda,HFD,D,41,1,6,7,-5,84,,0,0,0,0,0,42,0.0238,1,7,,1990-1991
Ed Kastelic,HFD,R,45,2,2,4,-7,211,,0,0,0,0,0,15,0.13333,2,4,,1990-1991
Ed Kastelic,HFD,R,45,2,2,4,-7,211,,0,0,0,0,0,15,0.13333,2,4,,1990-1991
Grant Jennings,HFD,D,57,2,7,9,-11,108,,0,0,0,0,0,36,0.05555,2,9,,1990-1991
James Black,HFD,L,1,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1990-1991
Jeff Parker,HFD,R,4,0,0,0,-2,2,,0,0,0,0,0,4,0.0,0,0,,1990-1991
Jergus Baca,HFD,D,9,0,2,2,-3,14,,0,2,0,0,0,15,0.0,0,0,,1990-1991
Jim McKenzie,HFD,L,47,4,3,7,-9,116,,0,0,0,0,0,18,0.22222,4,7,,1990-1991
John Cullen,HFD,C,6,2,7,9,0,10,,0,5,0,0,0,10,0.2,2,4,,1990-1991
John Cullen,HFD,C,6,2,7,9,0,10,,0,5,0,0,0,10,0.2,2,4,,1990-1991
John Cullen,HFD,C,78,39,71,110,-6,101,,14,29,0,0,3,205,0.19024,25,67,,1990-1991
John Stevens,HFD,D,14,0,1,1,0,11,,0,0,0,0,0,7,0.0,0,1,,1990-1991
Kevin Dineen,HFD,R,67,18,30,48,-18,120,,4,13,0,0,2,172,0.10465,14,31,,1990-1991
Marc Bergevin,HFD,D,4,0,0,0,-3,4,,0,0,0,0,0,2,0.0,0,0,,1990-1991
Mark Greig,HFD,R,4,0,0,0,-1,0,,0,0,0,0,0,1,0.0,0,0,,1990-1991
Mark Hunter,HFD,R,6,5,1,6,3,17,,3,0,0,0,0,14,0.35714,2,3,,1990-1991
Mark Hunter,HFD,R,68,14,18,32,2,165,,7,4,0,0,0,110,0.12727,7,21,,1990-1991
Michel Picard,HFD,L,5,1,0,1,-2,2,,0,0,0,0,0,7,0.14285,1,1,,1990-1991
Mikael Andersson,HFD,R,41,4,7,11,0,8,,0,0,0,0,0,57,0.07017,4,11,,1990-1991
Mike Tomlak,HFD,C,67,8,8,16,-12,57,,0,0,1,0,0,69,0.11594,7,15,,1990-1991
Pat Verbeek,HFD,R,86,46,41,87,0,286,,17,23,0,0,5,262,0.17557,29,46,,1990-1991
Paul Cyr,HFD,L,76,13,13,26,-10,117,,0,1,1,0,2,142,0.09154,12,24,,1990-1991
Randy Cunneyworth,HFD,L,33,9,5,14,-6,49,,0,1,0,1,1,56,0.16071,9,13,,1990-1991
Randy Ladouceur,HFD,D,73,2,7,9,-6,124,,0,0,0,0,0,54,0.03703,2,8,,1990-1991
Ray Ferraro,HFD,C,76,21,21,42,-12,70,,6,5,0,0,1,109,0.19266,15,31,,1990-1991
Rob Brown,HFD,R,5,1,0,1,2,7,,1,0,0,0,1,10,0.1,0,0,,1990-1991
Rob Brown,HFD,R,69,24,34,58,-7,132,,12,10,0,0,2,126,0.19047,12,36,,1990-1991
Ron Francis,HFD,C,81,23,64,87,-2,72,,10,19,1,0,7,174,0.13218,12,57,,1990-1991
Scott Young,HFD,R,77,17,25,42,-6,41,,6,9,2,2,5,210,0.08095,9,24,,1990-1991
Sylvain Cote,HFD,D,79,7,14,21,-15,19,,1,6,0,0,0,164,0.04268,6,13,,1990-1991
Terry Yake,HFD,C,25,2,5,7,-3,26,,0,0,1,0,1,24,0.08333,1,6,,1990-1991
Todd Krygier,HFD,L,78,13,19,32,0,95,,3,2,0,0,2,121,0.10743,10,25,,1990-1991
Todd Richards,HFD,D,8,0,4,4,-5,4,,0,4,0,0,0,10,0.0,0,0,,1990-1991
Todd Richards,HFD,D,8,0,4,4,-5,4,,0,4,0,0,0,10,0.0,0,0,,1990-1991
Ulf Samuelsson,HFD,D,76,4,22,26,17,211,,0,0,0,0,0,125,0.032,4,24,,1990-1991
Yvon Corriveau,HFD,L,23,1,1,2,-8,18,,0,0,0,0,0,21,0.04761,1,2,,1990-1991
Zarley Zalapski,HFD,D,6,1,3,4,-3,8,,0,3,0,0,1,17,0.05882,1,1,,1990-1991
Zarley Zalapski,HFD,D,77,15,39,54,8,65,,8,16,1,0,1,156,0.09615,6,28,,1990-1991
