Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alexander Mogilny,BUF,R,69,39,47,86,6,73,,15,20,0,0,2,240,0.1625,24,51,,1991-1992
Benoit Hogue,BUF,L,75,30,46,76,30,67,,8,9,0,0,5,149,0.20134,22,57,,1991-1992
Bill Houlder,BUF,D,10,1,0,1,-2,8,,0,0,0,0,0,18,0.05555,1,1,,1991-1992
Bob Corkum,BUF,C,24,3,4,7,-10,21,,1,0,0,0,0,32,0.09375,2,6,,1991-1992
Brad May,BUF,L,76,12,10,22,-9,311,,1,0,0,0,4,100,0.12,11,21,,1991-1992
Brad Miller,BUF,D,42,1,4,5,-5,192,,0,0,0,0,0,30,0.03333,1,5,,1991-1992
Brian Curran,BUF,D,3,0,0,0,0,14,,0,0,0,0,0,1,0.0,0,0,,1991-1992
Christian Ruuttu,BUF,C,73,4,21,25,-8,82,,0,7,2,0,1,109,0.03669,2,16,,1991-1992
Colin Patterson,BUF,R,57,5,8,13,-6,30,,0,0,2,0,0,35,0.14285,3,11,,1991-1992
Dale Hawerchuk,BUF,C,84,25,80,105,-19,27,,13,46,0,0,4,266,0.09398,12,46,,1991-1992
Darcy Loewen,BUF,L,2,0,0,0,0,2,,0,0,0,0,0,1,0.0,0,0,,1991-1992
Darrin Shannon,BUF,L,69,13,27,40,6,41,,3,6,0,1,3,93,0.13978,10,30,,1991-1992
Dave Andreychuk,BUF,L,87,42,53,95,-9,83,,28,26,0,0,2,364,0.11538,14,41,,1991-1992
Dave Hannan,BUF,C,7,2,0,2,-4,2,,2,0,0,0,0,9,0.22222,0,0,,1991-1992
Dave Hannan,BUF,C,47,4,6,10,-9,64,,0,1,3,0,0,32,0.125,1,5,,1991-1992
Dave McLlwain,BUF,C,73,10,18,28,-9,36,,1,1,1,0,2,91,0.10989,8,22,,1991-1992
Dave Snuggerud,BUF,L,66,3,16,19,-15,40,,0,1,0,0,0,94,0.03191,3,15,,1991-1992
Donald Audette,BUF,R,63,31,17,48,-1,75,,5,3,0,2,6,153,0.20261,26,40,,1991-1992
Doug Bodger,BUF,D,80,13,36,49,2,110,,6,29,0,0,2,191,0.06806,7,14,,1991-1992
Gord Donnelly,BUF,D,71,2,3,5,-12,316,,0,0,0,0,1,30,0.06666,2,5,,1991-1992
Grant Ledyard,BUF,D,50,5,16,21,-4,45,,0,4,0,0,0,87,0.05747,5,17,,1991-1992
Jay Wells,BUF,D,52,2,9,11,-1,181,,0,1,0,0,0,30,0.06666,2,9,,1991-1992
Jody Gage,BUF,R,9,0,1,1,-1,2,,0,1,0,0,0,9,0.0,0,0,,1991-1992
Keith Carney,BUF,D,21,1,5,6,-3,18,,1,2,0,0,0,23,0.04347,0,3,,1991-1992
Ken Sutton,BUF,D,71,2,20,22,5,75,,0,4,0,0,0,86,0.02325,2,18,,1991-1992
Kevin Haller,BUF,D,66,8,17,25,-9,92,,3,7,0,0,1,85,0.09411,5,15,,1991-1992
Lou Franceschetti,BUF,L,1,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1991-1992
Mike Ramsey,BUF,D,73,3,16,19,9,75,,0,2,0,0,1,58,0.05172,3,17,,1991-1992
Pat LaFontaine,BUF,C,64,54,50,104,10,102,,28,26,1,0,6,230,0.23478,25,49,,1991-1992
Peter Ciavaglia,BUF,C,2,0,0,0,1,0,,0,0,0,0,0,1,0.0,0,0,,1991-1992
Petr Svoboda,BUF,D,7,1,4,5,0,6,,0,3,1,0,0,12,0.08333,0,1,,1991-1992
Petr Svoboda,BUF,D,71,6,22,28,1,146,,1,15,0,1,3,111,0.05405,5,12,,1991-1992
Pierre Turgeon,BUF,C,77,40,55,95,7,20,,13,20,0,0,6,207,0.19323,27,62,,1991-1992
Randy Hillier,BUF,D,36,0,1,1,-17,59,,0,0,0,0,0,23,0.0,0,1,,1991-1992
Randy Moller,BUF,D,7,0,0,0,0,8,,0,0,0,0,0,8,0.0,0,0,,1991-1992
Randy Moller,BUF,D,56,3,9,12,-14,137,,0,0,0,0,1,63,0.04761,3,11,,1991-1992
Randy Wood,BUF,R,7,2,1,3,2,6,,0,0,0,0,0,17,0.11764,2,3,,1991-1992
Randy Wood,BUF,R,78,22,18,40,-12,86,,7,4,1,0,3,215,0.10232,14,27,,1991-1992
Rick Vaive,BUF,R,20,1,3,4,-2,14,,0,2,0,0,0,25,0.04,1,2,,1991-1992
Rob Ray,BUF,R,70,5,3,8,-11,356,,0,0,0,0,0,29,0.17241,5,8,,1991-1992
Tony Tanti,BUF,R,77,15,19,34,-2,104,,6,7,1,0,0,141,0.10638,8,19,,1991-1992
Uwe Krupp,BUF,D,67,8,29,37,13,49,,2,11,0,0,0,128,0.0625,6,24,,1991-1992
Wayne Presley,BUF,R,7,3,3,6,2,14,,0,1,0,0,0,10,0.3,3,5,,1991-1992
Wayne Presley,BUF,R,59,10,16,26,-27,133,,3,7,0,0,1,135,0.07407,7,15,,1991-1992
