Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Foote,QUE,D,87,4,13,17,3,170,,0,0,1,0,0,60,0.06666,3,14,,1992-1993
Alexei Gusarov,QUE,D,84,8,23,31,15,57,,0,1,2,0,1,67,0.1194,6,25,,1992-1993
Alexei Gusarov,QUE,D,84,8,23,31,15,57,,0,1,2,0,1,67,0.1194,6,25,,1992-1993
Andrei Kovalenko,QUE,R,85,28,41,69,8,59,,8,6,1,1,4,161,0.17391,19,53,,1992-1993
Bill Lindsay,QUE,L,44,4,9,13,0,16,,0,0,0,0,0,58,0.06896,4,13,,1992-1993
Chris Simon,QUE,L,21,1,1,2,-4,93,,0,0,0,0,1,23,0.04347,1,2,,1992-1993
Claude Lapointe,QUE,C,80,12,30,42,9,106,,0,2,0,0,1,100,0.12,12,40,,1992-1993
Craig Wolanin,QUE,D,28,1,4,5,10,53,,0,0,0,0,0,19,0.05263,1,4,,1992-1993
Craig Wolanin,QUE,D,28,1,4,5,10,53,,0,0,0,0,0,19,0.05263,1,4,,1992-1993
Curtis Leschyshyn,QUE,D,88,10,24,34,28,67,,5,4,0,0,2,78,0.1282,5,25,,1992-1993
Dave Karpa,QUE,D,15,0,1,1,-6,13,,0,0,0,0,0,5,0.0,0,1,,1992-1993
Dave Karpa,QUE,D,15,0,1,1,-6,13,,0,0,0,0,0,5,0.0,0,1,,1992-1993
Gino Cavallini,QUE,L,71,9,15,24,9,34,,0,0,0,0,0,73,0.12328,9,24,,1992-1993
Joe Sakic,QUE,C,84,51,60,111,-6,42,,21,28,2,0,4,288,0.17708,28,59,,1992-1993
Kerry Huffman,QUE,D,55,4,18,22,-2,54,,3,8,0,0,0,90,0.04444,1,11,,1992-1993
Leonard Esau,QUE,D,4,0,1,1,1,2,,0,0,0,0,0,1,0.0,0,1,,1992-1993
Martin Rucinsky,QUE,L,83,19,31,50,13,55,,5,9,0,0,1,143,0.13286,14,36,,1992-1993
Martin Rucinsky,QUE,L,83,19,31,50,13,55,,5,9,0,0,1,143,0.13286,14,36,,1992-1993
Mats Sundin,QUE,C,86,50,68,118,17,102,,14,35,4,1,9,234,0.21367,32,60,,1992-1993
Mike Hough,QUE,L,83,8,23,31,-11,71,,2,2,1,0,2,116,0.06896,5,26,,1992-1993
Mike Ricci,QUE,C,83,27,57,84,13,131,,12,25,1,0,10,149,0.1812,14,43,,1992-1993
Mikhail Tatarinov,QUE,D,28,2,6,8,6,28,,1,3,0,0,0,46,0.04347,1,4,,1992-1993
Niklas Andersson,QUE,L,3,0,1,1,0,2,,0,0,0,0,0,4,0.0,0,1,,1992-1993
Owen Nolan,QUE,R,78,37,41,78,-3,187,,15,15,0,1,4,253,0.14624,22,48,,1992-1993
Scott Pearson,QUE,L,44,13,1,14,3,95,,0,0,0,0,1,46,0.2826,13,14,,1992-1993
Scott Young,QUE,R,88,34,31,65,10,20,,9,18,6,2,7,248,0.13709,19,32,,1992-1993
Steve Duchesne,QUE,D,88,20,67,87,15,63,,8,38,0,0,2,241,0.08298,12,41,,1992-1993
Steven Finn,QUE,D,86,5,10,15,-6,168,,0,0,0,0,0,71,0.07042,5,15,,1992-1993
Tim Hunter,QUE,R,74,5,7,12,-3,193,,0,0,0,0,0,40,0.125,5,12,,1992-1993
Tony Twist,QUE,L,34,0,2,2,0,64,,0,0,0,0,0,14,0.0,0,2,,1992-1993
Valeri Kamensky,QUE,L,38,15,23,38,12,20,,2,6,3,0,0,115,0.13043,10,25,,1992-1993
