Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexei Kasatonov,BOS,D,44,5,13,18,4.0,8,0:00,1,2,46,10.9,,,,,,0,0,0.0
Brent Hughes,BOS,LW,36,7,9,16,0.0,23,0:00,0,0,70,10.0,,,,,,0,0,0.0
Brett Harkins,BOS,C,11,1,2,3,0.0,0,0:00,1,2,10,10.0,,,,,,0,0,0.0
Bryan Smolinski,BOS,C,42,27,14,41,7.0,72,0:00,16,3,178,15.2,,,,,,0,0,0.0
Cam Neely,BOS,RW,46,12,31,43,3.0,20,0:00,9,20,210,5.7,,,,,,0,0,0.0
Cam Stewart,BOS,LW,1,0,0,0,1.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
Dan Lacroix C *,BOS,,6,0,1,1,1.0,4,0:00,0,0,4,0.0,,,,,,0,0,0.0
Dave Reid,BOS,RW,34,3,8,11,1.0,39,0:00,0,2,51,5.9,,,,,,0,0,0.0
David Shaw,BOS,D,18,2,6,8,-1.0,6,0:00,2,2,32,6.3,,,,,,0,0,0.0
Don Sweeney,BOS,D,47,12,14,26,4.0,31,0:00,1,7,126,9.5,,,,,,0,0,0.0
Fred Knipscheer,BOS,C,34,0,6,6,-3.0,103,0:00,0,0,30,0.0,,,,,,0,0,0.0
Glen Murray,BOS,RW,44,3,4,7,-9.0,36,0:00,1,1,58,5.2,,,,,,0,0,0.0
Grigori Panteleev,BOS,LW,23,1,0,1,-2.0,38,0:00,0,0,14,7.1,,,,,,0,0,0.0
Jamie Huscroft,BOS,D,38,0,6,6,3.0,22,0:00,0,0,30,0.0,,,,,,0,0,0.0
Jeff Serowik,BOS,D,1,0,0,0,0.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
John Gruden,BOS,D,35,5,2,7,-11.0,46,0:00,0,0,64,7.8,,,,,,0,0,0.0
Jon Rohloff,BOS,D,35,5,6,11,-3.0,68,0:00,1,2,82,6.1,,,,,,0,0,0.0
Jozef Stumpel,BOS,C,47,10,10,20,3.0,10,0:00,1,2,71,14.1,,,,,,0,0,0.0
Marc Potvin,BOS,RW,1,0,1,1,0.0,0,0:00,0,0,1,0.0,,,,,,0,0,0.0
Mariusz Czerkawski,BOS,RW,44,18,13,31,-3.0,31,0:00,6,3,121,14.9,,,,,,0,0,0.0
Mats Naslund,BOS,LW,47,3,19,22,6.0,24,0:00,1,6,102,2.9,,,,,,0,0,0.0
Mikko Makela,BOS,C,16,3,1,4,1.0,2,0:00,0,0,20,15.0,,,,,,0,0,0.0
Ray Bourque,BOS,D,48,12,41,53,-11.0,8,0:00,4,19,109,11.0,,,,,,0,0,0.0
Sandy Moger,BOS,RW,38,5,5,10,8.0,10,0:00,0,0,47,10.6,,,,,,0,0,0.0
Steve Heinze,BOS,RW,44,2,14,16,-2.0,33,0:00,0,7,50,4.0,,,,,,0,0,0.0
Steve Leach,BOS,RW,44,6,6,12,6.0,139,0:00,0,0,75,8.0,,,,,,0,0,0.0
Ted Donato,BOS,C,34,8,14,22,-4.0,4,0:00,2,9,48,16.7,,,,,,0,0,0.0
Total,BOS,,5,0,0,0,0.0,2,0:00,0,0,2,0.0,,,,,,0,0,0.0
