Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alan May RW *,CGY,,8,2,2,4,1.0,43,0:00,2,1,20,10.0,,,,,,0,0,0.0
Barry Nieckar,CGY,LW,6,0,1,1,-2.0,11,0:00,0,0,5,0.0,,,,,,0,0,0.0
Cory Stillman,CGY,LW,37,0,2,2,-4.0,108,0:00,0,0,20,0.0,,,,,,0,0,0.0
Dan Keczmer,CGY,D,35,0,5,5,6.0,61,0:00,0,0,18,0.0,,,,,,0,0,0.0
Ed Ward,CGY,RW,10,1,2,3,-1.0,6,0:00,1,1,6,16.7,,,,,,0,0,0.0
Frank Musil,CGY,D,37,5,3,8,1.0,101,0:00,0,1,29,17.2,,,,,,0,0,0.0
Gary Roberts,CGY,F,8,0,5,5,7.0,0,0:00,0,1,12,0.0,,,,,,0,0,0.0
German Titov,CGY,LW,45,2,23,25,10.0,39,0:00,1,11,110,1.8,,,,,,0,0,0.0
James Patrick,CGY,D,12,7,4,11,2.0,6,0:00,5,0,26,26.9,,,,,,0,0,0.0
Jamie Allison,CGY,D,3,0,0,0,0.0,12,0:00,0,0,0,0.0,,,,,,0,0,0.0
Jim Peplinski,CGY,RW,6,0,1,1,1.0,2,0:00,0,0,2,0.0,,,,,,0,0,0.0
Joe Nieuwendyk,CGY,C,47,29,29,58,6.0,112,0:00,9,11,173,16.8,,,,,,0,0,0.0
Joel Bouchard,CGY,D,4,0,0,0,0.0,0,0:00,0,0,1,0.0,,,,,,0,0,0.0
Joel Otto,CGY,C,40,12,12,24,6.0,16,0:00,3,2,88,13.6,,,,,,0,0,0.0
Kelly Kisio,CGY,RW,38,4,7,11,-2.0,14,0:00,0,0,31,12.9,,,,,,0,0,0.0
Kevin Dahl,CGY,D,39,9,4,13,4.0,163,0:00,1,0,69,13.0,,,,,,0,0,0.0
Leonard Esau D *,CGY,,3,0,0,0,0.0,0,0:00,0,0,2,0.0,,,,,,0,0,0.0
Mark Greig,CGY,RW,10,0,2,2,1.0,2,0:00,0,1,7,0.0,,,,,,0,0,0.0
Michael Nylander,CGY,C,2,0,1,1,1.0,2,0:00,0,0,3,0.0,,,,,,0,0,0.0
Mike Sullivan,CGY,LW,34,4,8,12,8.0,38,0:00,0,0,30,13.3,,,,,,0,0,0.0
Neil Eisenhut,CGY,C,1,0,0,0,0.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
Nikolai Borschevsky RW *,CGY,,28,2,3,5,7.0,10,0:00,0,1,33,6.1,,,,,,0,0,0.0
Paul Kruse,CGY,LW,39,6,12,18,7.0,11,0:00,4,1,73,8.2,,,,,,0,0,0.0
Phil Housley,CGY,D,46,21,29,50,11.0,33,0:00,3,12,122,17.2,,,,,,0,0,0.0
Robert Reichel,CGY,C,43,8,35,43,17.0,18,0:00,3,17,135,5.9,,,,,,0,0,0.0
Ron Stern,CGY,RW,30,7,8,15,5.0,45,0:00,1,0,44,15.9,,,,,,0,0,0.0
Sandy McCarthy,CGY,RW,43,0,10,10,-3.0,14,0:00,0,1,43,0.0,,,,,,0,0,0.0
Scott Morrow,CGY,LW,1,0,0,0,0.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
Sheldon Kennedy,CGY,LW,45,11,5,16,13.0,141,0:00,0,0,52,21.2,,,,,,0,0,0.0
Steve Chiasson,CGY,D,48,4,24,28,9.0,46,0:00,1,6,76,5.3,,,,,,0,0,0.0
Steve Konroyd,CGY,D,1,0,0,0,-2.0,0,0:00,0,0,4,0.0,,,,,,0,0,0.0
Todd Hlushko,CGY,LW,8,1,1,2,1.0,2,0:00,0,0,5,20.0,,,,,,0,0,0.0
Total,CGY,,2,0,0,0,0.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
Trent Yawney,CGY,D,2,1,1,2,-2.0,2,0:00,0,0,1,100.0,,,,,,0,0,0.0
Vesa Viitakoski,CGY,LW,7,1,2,3,2.0,13,0:00,0,0,5,20.0,,,,,,0,0,0.0
Wes Walz,CGY,C,47,8,13,21,8.0,130,0:00,0,0,46,17.4,,,,,,0,0,0.0
Zarley Zalapski,CGY,D,48,18,17,35,-2.0,28,0:00,5,8,160,11.3,,,,,,0,0,0.0
