Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Andrei Kovalenko RW *,MTL,,69,9,27,36,10.0,65,0:00,3,16,127,7.1,,,,,,0,0,0.0
Benoit Brunet,MTL,LW,68,2,14,16,-3.0,117,0:00,0,6,104,1.9,,,,,,0,0,0.0
Brian Savage,MTL,LW,51,17,17,34,8.0,33,0:00,3,5,85,20.0,,,,,,0,0,0.0
Chris Murray,MTL,D,18,0,7,7,-6.0,6,0:00,0,2,17,0.0,,,,,,0,0,0.0
Craig Conroy,MTL,C,2,0,1,1,2.0,2,0:00,0,0,1,0.0,,,,,,0,0,0.0
Craig Ferguson C *,MTL,,15,2,0,2,-1.0,4,0:00,0,0,9,22.2,,,,,,0,0,0.0
Craig Rivet,MTL,D,24,1,5,6,-10.0,10,0:00,1,2,39,2.6,,,,,,0,0,0.0
Darcy Tucker,MTL,RW,4,0,0,0,-1.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
David Wilkie,MTL,D,48,3,4,7,6.0,163,0:00,0,0,32,9.4,,,,,,0,0,0.0
Donald Brashear,MTL,LW,19,1,4,5,4.0,54,0:00,0,0,9,11.1,,,,,,0,0,0.0
Francois Groleau,MTL,D,7,0,1,1,0.0,6,0:00,0,0,3,0.0,,,,,,0,0,0.0
Jean-Jacques Daigneault D *,MTL,,10,1,0,1,-5.0,2,0:00,0,0,9,11.1,,,,,,0,0,0.0
Lyle Odelein,MTL,D,80,9,16,25,-2.0,167,0:00,0,2,101,8.9,,,,,,0,0,0.0
Marc Bureau,MTL,C,36,4,7,11,-9.0,23,0:00,0,1,44,9.1,,,,,,0,0,0.0
Mark Lamb,MTL,C,7,0,0,0,-4.0,2,0:00,0,0,1,0.0,,,,,,0,0,0.0
Mark Recchi,MTL,RW,80,38,56,94,5.0,158,0:00,11,24,254,15.0,,,,,,0,0,0.0
Marko Kiprusoff,MTL,D,67,0,4,4,-11.0,223,0:00,0,0,25,0.0,,,,,,0,0,0.0
Martin Rucinsky LW *,MTL,,82,28,50,78,20.0,69,0:00,11,19,191,14.7,,,,,,0,0,0.0
Mike Keane RW *,MTL,,65,3,7,10,-3.0,46,0:00,0,1,43,7.0,,,,,,0,0,0.0
Oleg Petrov,MTL,RW,76,2,12,14,21.0,69,0:00,0,2,59,3.4,,,,,,0,0,0.0
Patrice Brisebois,MTL,D,77,22,20,42,10.0,28,0:00,5,8,143,15.4,,,,,,0,0,0.0
Peter Popovic,MTL,D,26,7,8,15,-4.0,17,0:00,3,3,48,14.6,,,,,,0,0,0.0
Robert Dirk D *,MTL,,1,0,0,0,0.0,0,0:00,0,0,0,0.0,,,,,,0,0,0.0
Rory Fitzpatrick,MTL,D,25,0,3,3,-7.0,26,0:00,0,1,16,0.0,,,,,,0,0,0.0
Saku Koivu,MTL,C,56,25,35,60,8.0,54,0:00,9,12,142,17.6,,,,,,0,0,0.0
Scott Fraser,MTL,C,42,0,2,2,-7.0,18,0:00,0,1,31,0.0,,,,,,0,0,0.0
Sebastien Bordeleau,MTL,C,3,0,0,0,0.0,6,0:00,0,0,0,0.0,,,,,,0,0,0.0
Stephane Quintal,MTL,D,79,3,14,17,8.0,230,0:00,0,2,74,4.1,,,,,,0,0,0.0
Total,MTL,,14,0,0,0,-7.0,4,0:00,0,0,14,0.0,,,,,,0,0,0.0
Turner Stevenson,MTL,RW,61,5,23,28,7.0,79,0:00,2,12,122,4.1,,,,,,0,0,0.0
Valeri Bure,MTL,RW,82,20,25,45,-7.0,40,0:00,8,6,136,14.7,,,,,,0,0,0.0
Vincent Damphousse,MTL,LW,80,38,58,96,19.0,44,0:00,17,18,297,12.8,,,,,,0,0,0.0
Vladimir Malakhov,MTL,D,75,25,8,33,-8.0,28,0:00,4,3,150,16.7,,,,,,0,0,0.0
Yves Racine D *,MTL,,24,0,4,4,-3.0,8,0:00,0,1,36,0.0,,,,,,0,0,0.0
Yves Sarault LW *,MTL,,3,0,0,0,-1.0,0,0:00,0,0,1,0.0,,,,,,0,0,0.0
