Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Bill Guerin,NJD,R,80,23,30,53,7,116,,8,5,0,2,6,216,0.10648,15,40,,1995-1996
Bobby Carpenter,NJD,C,52,5,5,10,-10,14,,0,0,1,0,0,63,0.07936,4,9,,1995-1996
Bobby Holik,NJD,C,63,13,17,30,9,58,,1,3,0,0,1,157,0.0828,12,26,,1995-1996
Brian Rolston,NJD,R,58,13,11,24,9,8,,3,4,1,0,4,139,0.09352,9,16,,1995-1996
Cale Hulse,NJD,D,11,0,0,0,1,20,,0,0,0,0,0,9,0.0,0,0,,1995-1996
Dave Andreychuk,NJD,L,76,28,29,57,-9,64,,14,14,2,1,3,241,0.11618,12,26,,1995-1996
Denis Pederson,NJD,C,10,3,1,4,-1,0,,1,0,0,0,2,6,0.5,2,3,,1995-1996
Esa Tikkanen,NJD,L,58,14,30,44,1,36,,8,14,1,0,2,95,0.14736,5,21,,1995-1996
Jason Smith,NJD,D,64,2,1,3,5,86,,0,0,0,0,0,52,0.03846,2,3,,1995-1996
Jim Dowd,NJD,C,66,5,15,20,-9,23,,0,0,0,0,0,76,0.06578,5,18,,1995-1996
Jocelyn Lemieux,NJD,R,67,5,7,12,-19,45,,0,0,0,0,0,90,0.05555,5,12,,1995-1996
John MacLean,NJD,R,76,20,28,48,3,91,,3,12,3,0,3,237,0.08438,14,29,,1995-1996
Ken Daneyko,NJD,D,80,2,4,6,-10,115,,0,1,0,0,0,67,0.02985,2,5,,1995-1996
Kevin Dean,NJD,D,41,0,6,6,4,28,,0,2,0,0,0,29,0.0,0,4,,1995-1996
Mike Peluso,NJD,L,57,3,8,11,4,146,,0,0,0,0,0,41,0.07317,3,11,,1995-1996
Neal Broten,NJD,C,55,7,16,23,-3,14,,1,5,1,0,1,73,0.09589,5,14,,1995-1996
Patrik Elias,NJD,C,1,0,0,0,-1,0,,0,0,0,0,0,2,0.0,0,0,,1995-1996
Petr Sykora,NJD,R,63,18,24,42,7,32,,8,11,0,0,3,128,0.14062,10,23,,1995-1996
Phil Housley,NJD,D,81,17,51,68,-6,30,,6,29,0,0,1,205,0.08292,11,33,,1995-1996
Randy McKay,NJD,R,76,11,10,21,7,145,,3,0,0,1,3,97,0.1134,8,18,,1995-1996
Reid Simpson,NJD,L,23,1,5,6,2,79,,0,0,0,0,0,8,0.125,1,6,,1995-1996
Ricard Persson,NJD,D,12,2,1,3,5,8,,1,1,0,0,0,41,0.04878,1,1,,1995-1996
Scott Niedermayer,NJD,D,79,8,25,33,5,46,,6,10,0,0,0,179,0.04469,2,14,,1995-1996
Scott Pellerin,NJD,L,6,2,1,3,1,0,,0,0,0,0,0,9,0.22222,2,3,,1995-1996
Scott Stevens,NJD,D,82,5,23,28,7,100,,2,8,1,0,1,174,0.02873,2,17,,1995-1996
Sergei Brylin,NJD,L,50,4,5,9,-2,26,,0,0,0,0,1,51,0.07843,4,9,,1995-1996
Shawn Chambers,NJD,D,64,2,21,23,1,18,,2,13,0,0,1,112,0.01785,0,8,,1995-1996
Stephane Richer,NJD,R,73,20,12,32,-8,30,,3,1,4,1,3,192,0.10416,13,23,,1995-1996
Steve Sullivan,NJD,L,16,5,4,9,3,8,,2,2,0,0,1,23,0.21739,3,5,,1995-1996
Steve Thomas,NJD,R,81,26,35,61,-2,98,,6,11,0,3,6,192,0.13541,20,44,,1995-1996
Tommy Albelin,NJD,D,73,1,13,14,1,18,,0,6,0,0,0,121,0.00826,1,8,,1995-1996
Valeri Zelepukin,NJD,L,61,6,9,15,-10,107,,3,2,0,0,1,86,0.06976,3,10,,1995-1996
