Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Alek Stojanov,VAN,R,68,1,1,2,-13,130,,0,0,0,0,0,20,0.05,1,2,,1995-1996
Alexander Mogilny,VAN,R,85,56,60,116,13,24,,10,25,5,0,6,310,0.18064,41,74,,1995-1996
Bret Hedican,VAN,D,83,6,24,30,6,93,,1,7,0,0,0,115,0.05217,5,18,,1995-1996
Brian Loney,VAN,R,12,2,3,5,2,6,,0,0,0,0,0,19,0.10526,2,5,,1995-1996
Cliff Ronning,VAN,C,85,22,47,69,16,48,,5,11,0,0,1,199,0.11055,17,53,,1995-1996
Dana Murzyn,VAN,D,75,2,10,12,9,155,,0,0,0,0,0,70,0.02857,2,10,,1995-1996
Dave Babych,VAN,D,53,3,21,24,-5,38,,3,6,0,0,0,69,0.04347,0,14,,1995-1996
Dean Malkoc,VAN,D,41,0,2,2,-10,136,,0,0,0,0,0,8,0.0,0,2,,1995-1996
Esa Tikkanen,VAN,L,6,3,2,5,-3,2,,2,2,0,0,0,13,0.23076,1,1,,1995-1996
Esa Tikkanen,VAN,L,58,14,30,44,1,36,,8,14,1,0,2,95,0.14736,5,21,,1995-1996
Frantisek Kucera,VAN,D,6,0,1,1,-3,0,,0,0,0,0,0,6,0.0,0,1,,1995-1996
Frantisek Kucera,VAN,D,54,3,6,9,2,20,,0,2,0,0,1,77,0.03896,3,6,,1995-1996
Gino Odjick,VAN,L,61,6,5,11,-14,187,,0,0,0,0,2,65,0.0923,6,11,,1995-1996
Jassen Cullimore,VAN,D,27,1,1,2,4,21,,0,0,0,0,1,12,0.08333,1,2,,1995-1996
Jeff Brown,VAN,D,76,8,47,55,8,56,,5,26,0,0,0,177,0.04519,3,24,,1995-1996
Jesse Belanger,VAN,C,3,0,2,2,0,2,,0,0,0,0,0,3,0.0,0,2,,1995-1996
Jesse Belanger,VAN,C,72,20,21,41,-5,14,,8,13,0,0,2,151,0.13245,12,20,,1995-1996
Jevgeni Namestnikov,VAN,D,1,0,0,0,0,0,,0,0,0,0,0,1,0.0,0,0,,1995-1996
Jim Dowd,VAN,C,1,0,0,0,-1,0,,0,0,0,0,0,0,,0,0,,1995-1996
Jim Dowd,VAN,C,66,5,15,20,-9,23,,0,0,0,0,0,76,0.06578,5,18,,1995-1996
Jim Sandlak,VAN,R,38,4,2,6,-1,8,,0,0,1,0,1,49,0.08163,3,5,,1995-1996
Joey Kocur,VAN,R,1,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1995-1996
Joey Kocur,VAN,R,45,1,3,4,-7,68,,0,0,0,0,0,20,0.05,1,4,,1995-1996
Josef Beranek,VAN,L,64,8,15,23,-11,60,,0,1,0,0,1,138,0.05797,8,22,,1995-1996
Jyrki Lumme,VAN,D,86,18,40,58,-10,52,,9,18,0,0,2,205,0.0878,9,29,,1995-1996
Larry Courville,VAN,L,3,1,0,1,1,0,,0,0,0,0,1,2,0.5,1,1,,1995-1996
Leif Rohlin,VAN,D,61,6,16,22,-1,32,,1,7,0,0,0,79,0.07594,5,14,,1995-1996
Lonny Bohonos,VAN,R,3,0,1,1,1,0,,0,0,0,0,0,3,0.0,0,1,,1995-1996
Markus Naslund,VAN,L,6,1,2,3,-2,8,,1,0,0,0,0,16,0.0625,0,2,,1995-1996
Markus Naslund,VAN,L,76,22,33,55,20,42,,4,4,0,0,5,144,0.15277,18,47,,1995-1996
Martin Gelinas,VAN,L,87,31,27,58,7,71,,4,4,4,0,5,189,0.16402,23,45,,1995-1996
Mike Ridley,VAN,C,42,6,15,21,-6,31,,2,3,0,0,1,35,0.17142,4,16,,1995-1996
Mike Sillinger,VAN,C,6,0,0,0,-5,2,,0,0,0,0,0,5,0.0,0,0,,1995-1996
Mike Sillinger,VAN,C,74,14,24,38,-18,38,,7,9,1,0,2,159,0.08805,6,21,,1995-1996
Pavel Bure,VAN,R,15,6,7,13,-2,8,,1,4,1,0,0,78,0.07692,4,7,,1995-1996
Roman Oksiuta,VAN,R,70,23,28,51,4,60,,11,6,0,0,1,119,0.19327,12,34,,1995-1996
Russ Courtnall,VAN,R,87,27,42,69,21,42,,6,5,4,1,4,213,0.12676,17,49,,1995-1996
Scott Walker,VAN,R,63,4,8,12,-7,137,,0,0,1,0,1,45,0.08888,3,10,,1995-1996
Tim Hunter,VAN,R,60,2,0,2,-8,122,,0,0,0,0,1,26,0.07692,2,2,,1995-1996
Trevor Linden,VAN,C,88,37,51,88,5,48,,14,21,1,0,2,216,0.17129,22,49,,1995-1996
