Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexandre Daigle,OTT,RW,76,24,47,71,5.0,30,0:00,11,20,247,9.7,,,,,,0,0,0.0
Andreas Dackell,OTT,RW,65,11,20,31,-5.0,18,0:00,0,3,150,7.3,,,,,,0,0,0.0
Bruce Gardiner,OTT,RW,80,11,14,25,-8.0,35,0:00,1,1,123,8.9,,,,,,0,0,0.0
Christer Olsson D *,OTT,,22,1,4,5,3.0,19,0:00,0,0,12,8.3,,,,,,0,0,0.0
Daniel Alfredsson,OTT,RW,82,35,40,75,-7.0,44,0:00,10,17,291,12.0,,,,,,0,0,0.0
Dave Hannan,OTT,C,25,2,3,5,-5.0,10,0:00,1,2,24,8.3,,,,,,0,0,0.0
Denis Chasse,OTT,RW,57,0,5,5,6.0,58,0:00,0,0,24,0.0,,,,,,0,0,0.0
Dennis Vial,OTT,D,21,0,1,1,-4.0,8,0:00,0,0,27,0.0,,,,,,0,0,0.0
Denny Lambert,OTT,LW,75,4,17,21,-8.0,67,0:00,1,6,121,3.3,,,,,,0,0,0.0
Frank Musil,OTT,D,22,3,3,6,5.0,9,0:00,0,0,20,15.0,,,,,,0,0,0.0
Janne Laukkanen,OTT,D,67,11,10,21,4.0,49,0:00,0,1,94,11.7,,,,,,0,0,0.0
Jason York,OTT,D,76,3,18,21,-14.0,76,0:00,2,7,109,2.8,,,,,,0,0,0.0
Jason Zent,OTT,LW,66,5,5,10,2.0,91,0:00,0,0,54,9.3,,,,,,0,0,0.0
Lance Pitlick,OTT,D,53,5,13,18,-4.0,14,0:00,0,1,82,6.1,,,,,,0,0,0.0
Phil Crowe,OTT,RW,11,0,1,1,0.0,25,0:00,0,0,4,0.0,,,,,,0,0,0.0
Philip Von Stefenelli,OTT,D,34,2,2,4,-1.0,8,0:00,0,0,16,12.5,,,,,,0,0,0.0
Radek Bonk,OTT,C,80,4,16,20,-4.0,217,0:00,0,0,58,6.9,,,,,,0,0,0.0
Radim Bicanek,OTT,D,6,0,1,1,-3.0,7,0:00,0,1,2,0.0,,,,,,0,0,0.0
Randy Cunneyworth,OTT,LW,78,19,28,47,-9.0,38,0:00,10,10,208,9.1,,,,,,0,0,0.0
Sean Hill,OTT,D,5,0,0,0,2.0,2,0:00,0,0,3,0.0,,,,,,0,0,0.0
Sergei Zholtok,OTT,C,82,6,24,30,1.0,41,0:00,2,8,102,5.9,,,,,,0,0,0.0
Shaun Van Allen,OTT,C,68,18,8,26,-1.0,16,0:00,1,1,116,15.5,,,,,,0,0,0.0
Shawn McEachern,OTT,LW,76,12,24,36,-7.0,99,0:00,6,4,115,10.4,,,,,,0,0,0.0
Stan Neckar,OTT,D,26,0,1,1,0.0,30,0:00,0,0,8,0.0,,,,,,0,0,0.0
Steve Duchesne,OTT,D,82,26,25,51,-33.0,33,0:00,4,14,203,12.8,,,,,,0,0,0.0
Tom Chorske,OTT,RW,57,12,16,28,2.0,19,0:00,5,4,96,12.5,,,,,,0,0,0.0
Total,OTT,,5,0,0,0,1.0,4,0:00,0,0,9,0.0,,,,,,0,0,0.0
Wade Redden,OTT,D,79,12,19,31,-6.0,8,0:00,2,1,79,15.2,,,,,,0,0,0.0
