Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Brandon Convery C *,LA,,6,0,0,0,-3.0,5,0:00,0,0,7,0.0,,,,,,0,0,0.0
Craig Johnson,LA,LW,66,9,12,21,-10.0,44,0:00,3,3,87,10.3,,,,,,0,0,0.0
Dan Bylsma,LA,RW,3,0,0,0,-1.0,4,0:00,0,0,2,0.0,,,,,,0,0,0.0
Dave Babych D *,LA,,49,2,1,3,-5.0,131,0:00,0,0,14,14.3,,,,,,0,0,0.0
Donald Audette,LA,RW,82,39,35,74,-1.0,54,0:00,11,10,292,13.4,,,,,,0,0,0.0
Doug Bodger,LA,D,29,4,12,16,0.0,6,0:00,0,3,61,6.6,,,,,,0,0,0.0
Eric Lacroix LW *,LA,,6,1,0,1,-1.0,4,0:00,0,0,8,12.5,,,,,,0,0,0.0
Garry Galley,LA,D,57,6,13,19,-9.0,19,0:00,0,0,77,7.8,,,,,,0,0,0.0
Glen Murray,LA,RW,64,13,21,34,-18.0,10,0:00,1,5,131,9.9,,,,,,0,0,0.0
Ian Laperriere,LA,RW,80,1,13,14,1.0,186,0:00,0,4,64,1.6,,,,,,0,0,0.0
Jan Nemecek,LA,D,1,1,0,1,1.0,0,0:00,0,0,5,20.0,,,,,,0,0,0.0
Jaroslav Modry,LA,D,13,0,1,1,2.0,4,0:00,0,0,8,0.0,,,,,,0,0,0.0
Jason Blake,LA,LW,8,0,2,2,-2.0,2,0:00,0,0,5,0.0,,,,,,0,0,0.0
Jason Podollan RW *,LA,,3,0,0,0,0.0,6,0:00,0,0,2,0.0,,,,,,0,0,0.0
Josh Green,LA,C,33,2,2,4,0.0,35,0:00,0,1,42,4.8,,,,,,0,0,0.0
Jozef Stumpel,LA,C,62,12,23,35,-7.0,128,0:00,5,6,216,5.6,,,,,,0,0,0.0
Mark Visheau,LA,D,42,3,2,5,-9.0,26,0:00,0,1,28,10.7,,,,,,0,0,0.0
Matt Johnson,LA,LW,27,1,3,4,-5.0,8,0:00,1,0,35,2.9,,,,,,0,0,0.0
Mattias Norstrom,LA,D,45,2,6,8,-12.0,32,0:00,1,3,87,2.3,,,,,,0,0,0.0
Nathan Lafayette,LA,C,28,1,3,4,-7.0,107,0:00,0,0,10,10.0,,,,,,0,0,0.0
Olli Jokinen,LA,C,60,4,19,23,-6.0,22,0:00,1,12,99,4.0,,,,,,0,0,0.0
Pavel Rosa,LA,RW,60,4,12,16,-9.0,30,0:00,3,4,77,5.2,,,,,,0,0,0.0
Philippe Boucher,LA,D,72,3,10,13,-5.0,138,0:00,0,1,62,4.8,,,,,,0,0,0.0
Ray Ferraro,LA,C,61,16,15,31,-14.0,36,0:00,3,3,173,9.2,,,,,,0,0,0.0
Rob Blake,LA,D,49,18,18,36,7.0,51,0:00,6,9,152,11.8,,,,,,0,0,0.0
Roman Vopat LW *,LA,,5,0,1,1,1.0,0,0:00,0,1,11,0.0,,,,,,0,0,0.0
Russ Courtnall,LA,RW,69,7,12,19,-12.0,32,0:00,2,0,94,7.4,,,,,,0,0,0.0
Sandy Moger,LA,RW,78,2,5,7,-10.0,36,0:00,0,0,61,3.3,,,,,,0,0,0.0
Sean O'Donnell,LA,D,65,3,11,14,1.0,34,0:00,0,5,67,4.5,,,,,,0,0,0.0
Sean Pronger C *,LA,,20,1,0,1,-3.0,36,0:00,0,0,12,8.3,,,,,,0,0,0.0
Steve Duchesne D *,LA,,69,11,12,23,-7.0,32,0:00,0,2,111,9.9,,,,,,0,0,0.0
Steve McKenna,LA,LW,27,0,1,1,-5.0,12,0:00,0,0,17,0.0,,,,,,0,0,0.0
Total,LA,,8,0,0,0,-1.0,2,0:00,0,0,3,0.0,,,,,,0,0,0.0
Vladimir Tsyplakov,LA,F,64,10,17,27,-3.0,30,0:00,2,4,113,8.9,,,,,,0,0,0.0
Yanic Perreault C *,LA,,65,13,18,31,0.0,59,0:00,4,2,84,15.5,,,,,,0,0,0.0
