Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Barry Richter,NYI,D,75,8,17,25,-2.0,12,0:00,0,1,75,10.7,,,,,,0,0,0.0
Bryan Berard D *,NYI,,67,8,8,16,-17.0,22,0:00,1,0,61,13.1,,,,,,0,0,0.0
Bryan Smolinski,NYI,C,82,18,29,47,-14.0,32,0:00,8,12,167,10.8,,,,,,0,0,0.0
Claude Lapointe,NYI,C,78,21,17,38,-10.0,14,0:00,4,5,205,10.2,,,,,,0,0,0.0
Craig Janney C *,NYI,,33,1,5,6,-5.0,13,0:00,0,0,37,2.7,,,,,,0,0,0.0
David Harlock,NYI,D,59,1,8,9,-19.0,30,0:00,1,1,37,2.7,,,,,,0,0,0.0
Dean Malkoc,NYI,D,12,1,0,1,2.0,6,0:00,0,0,5,20.0,,,,,,0,0,0.0
Dmitri Nabokov,NYI,LW,9,0,3,3,1.0,23,0:00,0,0,2,0.0,,,,,,0,0,0.0
Eric Brewer,NYI,D,31,4,11,15,-6.0,26,0:00,2,5,72,5.6,,,,,,0,0,0.0
Eric Cairns,NYI,D,73,3,0,3,-24.0,45,0:00,0,0,84,3.6,,,,,,0,0,0.0
Gino Odjick,NYI,RW,12,5,3,8,2.0,2,0:00,3,1,30,16.7,,,,,,0,0,0.0
Jason Dawe RW *,NYI,,18,1,4,5,-2.0,4,0:00,0,2,9,11.1,,,,,,0,0,0.0
Joe Sacco,NYI,LW,52,0,4,4,-8.0,88,0:00,0,0,27,0.0,,,,,,0,0,0.0
Ken Belanger LW *,NYI,,4,0,2,2,4.0,2,0:00,0,0,4,0.0,,,,,,0,0,0.0
Kenny Jonsson,NYI,D,60,14,16,30,-8.0,38,0:00,4,5,88,15.9,,,,,,0,0,0.0
Kevin Miller,NYI,C,23,4,3,7,-2.0,133,0:00,1,1,28,14.3,,,,,,0,0,0.0
Mariusz Czerkawski,NYI,RW,82,16,24,40,-7.0,49,0:00,7,8,223,7.2,,,,,,0,0,0.0
Mark Lawrence,NYI,RW,82,14,23,37,-19.0,62,0:00,2,2,134,10.4,,,,,,0,0,0.0
Mats Lindgren C *,NYI,,59,2,6,8,-8.0,83,0:00,0,0,56,3.6,,,,,,0,0,0.0
Mike Hough,NYI,LW,1,0,0,0,0.0,2,0:00,0,0,0,0.0,,,,,,0,0,0.0
Mike Kennedy,NYI,C,2,0,1,1,1.0,2,0:00,0,0,9,0.0,,,,,,0,0,0.0
Mike Watt,NYI,LW,63,8,18,26,-18.0,34,0:00,6,11,91,8.8,,,,,,0,0,0.0
Ray Schultz,NYI,D,8,0,0,0,6.0,12,0:00,0,0,4,0.0,,,,,,0,0,0.0
Rich Pilon,NYI,D,22,2,3,5,0.0,8,0:00,0,1,29,6.9,,,,,,0,0,0.0
Scott Lachance D *,NYI,,63,5,6,11,-14.0,32,0:00,2,3,63,7.9,,,,,,0,0,0.0
Sergei Nemchinov C *,NYI,,55,7,11,18,-10.0,27,0:00,2,3,68,10.3,,,,,,0,0,0.0
Steve Webb,NYI,RW,11,0,0,0,-2.0,2,0:00,0,0,4,0.0,,,,,,0,0,0.0
Ted Crowley D *,NYI,,9,1,1,2,1.0,30,0:00,0,0,3,33.3,,,,,,0,0,0.0
Ted Donato C *,NYI,,72,6,18,24,-4.0,34,0:00,0,8,111,5.4,,,,,,0,0,0.0
Tom Chorske RW *,NYI,,2,0,1,1,3.0,7,0:00,0,0,1,0.0,,,,,,0,0,0.0
Total,NYI,,11,0,0,0,-4.0,8,0:00,0,0,11,0.0,,,,,,0,0,0.0
Trevor Linden,NYI,C,50,22,28,50,-6.0,34,0:00,5,10,168,13.1,,,,,,0,0,0.0
Vladimir Chebaturkin,NYI,D,45,0,0,0,-10.0,32,0:00,0,0,18,0.0,,,,,,0,0,0.0
Vladimir Orszagh,NYI,RW,6,1,1,2,0.0,0,0:00,1,1,10,10.0,,,,,,0,0,0.0
Warren Luhning,NYI,RW,4,0,0,0,-2.0,7,0:00,0,0,2,0.0,,,,,,0,0,0.0
Zdeno Chara,NYI,D,70,2,6,8,-16.0,68,0:00,0,0,35,5.7,,,,,,0,0,0.0
Zigmund Palffy,NYI,RW,70,19,37,56,-15.0,50,0:00,5,22,186,10.2,,,,,,0,0,0.0
