Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexei Zhamnov,CHI,C,73,22,42,64,20.0,52,18:04,2,13,169,13.0,,,,,,0,0,0.0
Anders Eriksson,CHI,D,76,14,18,32,11.0,72,16:25,1,1,118,11.9,,,,,,0,0,0.0
Blair Atcheynum,CHI,RW,69,4,11,15,10.0,114,10:28,0,0,38,10.5,,,,,,0,0,0.0
Bob Probert,CHI,LW,47,10,8,18,-6.0,18,12:53,0,0,86,11.6,,,,,,0,0,0.0
Boris Mironov,CHI,D,66,23,28,51,9.0,26,16:38,4,7,112,20.5,,,,,,0,0,0.0
Brad Brown,CHI,D,43,2,7,9,6.0,60,15:15,0,2,24,8.3,,,,,,0,0,0.0
Bryan McCabe,CHI,D,73,3,25,28,4.0,20,21:03,0,10,86,3.5,,,,,,0,0,0.0
Bryan Muir D *,CHI,,14,2,4,6,-1.0,12,13:05,1,0,18,11.1,,,,,,0,0,0.0
Chris Herperger,CHI,C,52,0,1,1,-3.0,143,5:37,0,1,19,0.0,,,,,,0,0,0.0
Dave Manson D *,CHI,,54,3,5,8,-10.0,43,10:43,0,0,36,8.3,,,,,,0,0,0.0
Dean McAmmond,CHI,LW,59,23,13,36,-16.0,28,16:15,6,5,143,16.1,,,,,,0,0,0.0
Derek Plante C *,CHI,,5,1,1,2,0.0,4,15:09,1,1,4,25.0,,,,,,0,0,0.0
Doug Gilmour C *,CHI,,71,23,37,60,7.0,61,22:08,5,9,175,13.1,,,,,,0,0,0.0
Doug Zmolek,CHI,D,27,2,8,10,9.0,12,18:36,0,1,32,6.3,,,,,,0,0,0.0
Ed Olczyk,CHI,RW,59,1,3,4,-5.0,102,14:14,0,0,24,4.2,,,,,,0,0,0.0
Eric Daze,CHI,RW,58,9,28,37,-3.0,72,24:52,4,11,144,6.3,,,,,,0,0,0.0
J.P. Dumont,CHI,RW,81,10,12,22,-10.0,18,13:20,2,1,91,11.0,,,,,,0,0,0.0
Jamie Allison,CHI,D,11,2,3,5,-1.0,13,17:54,0,2,19,10.5,,,,,,0,0,0.0
Jean-Yves Leroux,CHI,LW,57,0,9,9,-1.0,134,14:11,0,0,15,0.0,,,,,,0,0,0.0
Josef Marha,CHI,C,45,6,18,24,-4.0,14,23:21,5,7,78,7.7,,,,,,0,0,0.0
Kevin Dean D *,CHI,,47,5,7,12,-8.0,6,12:15,0,0,48,10.4,,,,,,0,0,0.0
Kyle Calder,CHI,LW,17,1,1,2,-1.0,2,7:48,0,0,14,7.1,,,,,,0,0,0.0
Mark Janssens,CHI,C,37,0,7,7,2.0,40,17:29,0,2,45,0.0,,,,,,0,0,0.0
Michael Nylander C *,CHI,,63,22,34,56,-12.0,51,19:59,8,12,100,22.0,,,,,,0,0,0.0
Michal Grosek RW *,CHI,,36,0,6,6,-2.0,73,7:12,0,0,14,0.0,,,,,,0,0,0.0
Radim Bicanek,CHI,D,33,2,2,4,-8.0,12,9:18,0,0,33,6.1,,,,,,0,0,0.0
Ryan Vandenbussche,CHI,RW,8,1,1,2,-3.0,2,9:58,0,0,5,20.0,,,,,,0,0,0.0
Steve McCarthy,CHI,D,13,2,0,2,-2.0,13,12:37,0,0,27,7.4,,,,,,0,0,0.0
Steve Sullivan LW *,CHI,,82,43,41,84,10.0,48,21:53,11,8,260,16.5,,,,,,0,0,0.0
Sylvain Cote D *,CHI,,79,6,19,25,-8.0,139,23:23,2,6,119,5.0,,,,,,0,0,0.0
Todd White C *,CHI,,9,0,0,0,-2.0,5,7:39,0,0,2,0.0,,,,,,0,0,0.0
Total,CHI,,1,0,0,0,0.0,0,13:02,0,0,0,0.0,,,,,,0,0,0.0
Wendel Clark LW *,CHI,,11,0,3,3,7.0,4,18:26,0,0,8,0.0,,,,,,0,0,0.0
