Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alex Hicks,FLA,LW,14,2,1,3,-3.0,8,11:24,2,0,8,25.0,,,,,,0,0,0.0
Brad Ference,FLA,D,9,0,2,2,2.0,2,9:13,0,0,6,0.0,,,,,,0,0,0.0
Bret Hedican,FLA,D,78,5,20,25,3.0,34,11:31,2,2,110,4.5,,,,,,0,0,0.0
Cam Stewart,FLA,LW,35,7,10,17,5.0,6,15:25,0,1,67,10.4,,,,,,0,0,0.0
Chris Wells,FLA,C,4,0,0,0,-1.0,2,8:34,0,0,5,0.0,,,,,,0,0,0.0
Craig Ferguson,FLA,C,2,0,0,0,0.0,0,1:34,0,0,1,0.0,,,,,,0,0,0.0
Dan Boyle,FLA,D,13,1,5,6,-3.0,2,13:51,1,3,16,6.3,,,,,,0,0,0.0
Dave Duerden,FLA,LW,13,0,0,0,-5.0,14,8:23,0,0,5,0.0,,,,,,0,0,0.0
Dwayne Hay RW *,FLA,,3,0,0,0,-2.0,0,5:34,0,0,2,0.0,,,,,,0,0,0.0
Eric Boguniecki,FLA,C,13,0,2,2,2.0,46,13:39,0,0,10,0.0,,,,,,0,0,0.0
Filip Kuba,FLA,D,82,1,6,7,5.0,202,16:45,0,0,50,2.0,,,,,,0,0,0.0
Ivan Novoseltsev,FLA,LW,13,0,3,3,-2.0,4,16:56,0,1,9,0.0,,,,,,0,0,0.0
Jaroslav Spacek,FLA,D,81,26,18,44,1.0,39,14:10,6,3,152,17.1,,,,,,0,0,0.0
John Jakopin,FLA,D,6,0,0,0,-2.0,2,6:36,0,0,3,0.0,,,,,,0,0,0.0
Lance Pitlick,FLA,D,48,3,6,9,-7.0,169,8:30,2,2,45,6.7,,,,,,0,0,0.0
Len Barrie C *,FLA,,77,3,8,11,-1.0,172,7:46,0,1,44,6.8,,,,,,0,0,0.0
Marcus Nilson,FLA,RW,8,1,2,3,3.0,4,8:38,0,0,6,16.7,,,,,,0,0,0.0
Mark Parrish,FLA,RW,77,18,28,46,14.0,126,15:01,6,4,134,13.4,,,,,,0,0,0.0
Mike Sillinger C *,FLA,,62,3,5,8,7.0,44,16:55,0,0,26,11.5,,,,,,0,0,0.0
Mike Wilson,FLA,D,47,10,10,20,-4.0,4,13:21,5,2,74,13.5,,,,,,0,0,0.0
Oleg Kvasha,FLA,LW,81,10,23,33,-5.0,46,19:18,1,8,135,7.4,,,,,,0,0,0.0
Paul Laus,FLA,D,66,4,12,16,1.0,14,12:01,0,1,44,9.1,,,,,,0,0,0.0
Peter Worrell,FLA,LW,14,4,6,10,4.0,6,13:57,0,1,15,26.7,,,,,,0,0,0.0
Radek Dvorak RW *,FLA,,60,4,16,20,10.0,35,18:20,0,6,65,6.2,,,,,,0,0,0.0
Ray Sheppard,FLA,RW,76,6,19,25,4.0,68,19:54,2,2,58,10.3,,,,,,0,0,0.0
Ray Whitney,FLA,LW,74,58,36,94,25.0,16,24:45,11,9,360,16.1,,,,,,0,0,0.0
Rob Niedermayer,FLA,C,82,10,26,36,7.0,53,22:55,4,12,111,9.0,,,,,,0,0,0.0
Robert Svehla,FLA,D,80,17,53,70,24.0,16,19:40,6,15,223,7.6,,,,,,0,0,0.0
Ryan Johnson C *,FLA,,65,9,7,16,-2.0,30,9:16,0,1,52,17.3,,,,,,0,0,0.0
Scott Mellanby,FLA,RW,82,9,40,49,23.0,64,24:46,3,18,143,6.3,,,,,,0,0,0.0
Todd Simpson,FLA,D,13,4,4,8,-1.0,16,19:33,2,1,20,20.0,,,,,,0,0,0.0
Total,FLA,,17,0,0,0,-2.0,26,11:58,0,0,1,0.0,,,,,,0,0,0.0
Viktor Kozlov,FLA,RW,81,29,42,71,16.0,35,18:54,5,17,198,14.6,,,,,,0,0,0.0
