Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexandre Boikov,NSH,D,5,0,0,0,1.0,4,11:44,0,0,2,0.0,,,,,,0,0,0.0
Bill Houlder,NSH,D,75,2,14,16,-8.0,48,10:43,0,0,92,2.2,,,,,,0,0,0.0
Brantt Myhres LW *,NSH,,2,0,0,0,-2.0,2,9:47,0,0,0,0.0,,,,,,0,0,0.0
Bubba Berenzweig,NSH,D,8,1,0,1,-1.0,39,6:24,0,0,6,16.7,,,,,,0,0,0.0
Cale Hulse,NSH,D,50,3,5,8,2.0,22,13:01,1,0,81,3.7,,,,,,0,0,0.0
Craig Millar D *,NSH,,6,0,0,0,1.0,12,3:34,0,0,1,0.0,,,,,,0,0,0.0
David Legwand,NSH,C,81,14,31,45,-2.0,12,17:15,5,11,139,10.1,,,,,,0,0,0.0
Denis Arkhipov,NSH,C,60,8,6,14,-2.0,26,13:35,1,0,62,12.9,,,,,,0,0,0.0
Drake Berehowsky D *,NSH,,82,12,13,25,-6.0,50,22:38,6,8,151,7.9,,,,,,0,0,0.0
Greg Classen,NSH,C,82,1,7,8,-5.0,128,19:32,0,0,93,1.1,,,,,,0,0,0.0
Greg Johnson,NSH,C,78,15,19,34,-5.0,10,17:23,4,6,123,12.2,,,,,,0,0,0.0
Jeremy Stevenson,NSH,LW,3,0,1,1,1.0,0,8:35,0,0,2,0.0,,,,,,0,0,0.0
Karlis Skrastins,NSH,D,40,6,7,13,0.0,4,9:55,0,1,42,14.3,,,,,,0,0,0.0
Kimmo Timonen,NSH,D,62,9,17,26,-11.0,12,13:39,5,6,121,7.4,,,,,,0,0,0.0
Marc Moro,NSH,D,20,0,0,0,-5.0,28,3:47,0,0,1,0.0,,,,,,0,0,0.0
Marian Cisar,NSH,RW,82,15,17,32,-6.0,46,17:27,1,0,97,15.5,,,,,,0,0,0.0
Mark Eaton,NSH,D,82,1,11,12,-12.0,30,18:42,0,1,66,1.5,,,,,,0,0,0.0
Mike Watt,NSH,LW,23,3,1,4,-7.0,2,10:48,0,0,38,7.9,,,,,,0,0,0.0
Patric Kjellberg,NSH,LW,74,25,29,54,-2.0,66,18:45,9,14,159,15.7,,,,,,0,0,0.0
Pavel Skrbek,NSH,D,5,0,0,0,0.0,0,11:57,0,0,0,0.0,,,,,,0,0,0.0
Randy Robitaille,NSH,C,60,12,15,27,-7.0,45,13:09,5,3,97,12.4,,,,,,0,0,0.0
Richard Lintner,NSH,D,34,3,8,11,7.0,14,17:13,1,3,32,9.4,,,,,,0,0,0.0
Rob Valicevic,NSH,C,81,4,12,16,-7.0,40,21:03,0,1,78,5.1,,,,,,0,0,0.0
Rory Fitzpatrick,NSH,D,8,0,0,0,-1.0,13,6:18,0,0,3,0.0,,,,,,0,0,0.0
Scott Hartnell,NSH,LW,82,9,9,18,-5.0,71,14:30,0,0,135,6.7,,,,,,0,0,0.0
Scott Walker,NSH,RW,80,19,43,62,4.0,28,16:56,6,25,237,8.0,,,,,,0,0,0.0
Sean Haggerty,NSH,LW,18,1,1,2,-2.0,8,11:01,0,0,18,5.6,,,,,,0,0,0.0
Sebastien Bordeleau,NSH,C,27,2,4,6,-4.0,14,9:32,1,1,18,11.1,,,,,,0,0,0.0
Tom Fitzgerald,NSH,RW,66,6,18,24,-9.0,100,20:55,3,12,94,6.4,,,,,,0,0,0.0
Total,NSH,,5,0,0,0,1.0,6,6:26,0,0,2,0.0,,,,,,0,0,0.0
Ville Peltonen,NSH,LW,14,2,3,5,-4.0,14,12:39,0,0,20,10.0,,,,,,0,0,0.0
Vitali Yachmenev,NSH,LW,81,13,28,41,1.0,38,14:45,3,6,172,7.6,,,,,,0,0,0.0
