Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexander Korolyuk,SJ,RW,80,13,19,32,5.0,32,10:54,1,1,81,16.0,,,,,,0,0,0.0
Bill Lindsay LW *,SJ,,28,1,6,7,-1.0,19,9:06,1,3,17,5.9,,,,,,0,0,0.0
Bobby Dollas D *,SJ,,21,1,1,2,0.0,19,6:57,0,0,16,6.3,,,,,,0,0,0.0
Brad Stuart,SJ,D,70,12,13,25,2.0,41,11:45,3,2,140,8.6,,,,,,0,0,0.0
Bryan Marchment,SJ,D,69,10,11,21,6.0,72,10:55,1,1,66,15.2,,,,,,0,0,0.0
Gary Suter,SJ,D,73,19,17,36,4.0,114,13:42,4,5,159,12.0,,,,,,0,0,0.0
Jeff Friesen LW *,SJ,,81,22,22,44,3.0,60,17:46,9,9,141,15.6,,,,,,0,0,0.0
Jeff Norton D *,SJ,,16,1,1,2,4.0,14,11:14,0,0,5,20.0,,,,,,0,0,0.0
Jim Montgomery,SJ,C,38,3,4,7,2.0,57,10:14,2,3,45,6.7,,,,,,0,0,0.0
Marco Sturm,SJ,LW,68,10,24,34,8.0,84,21:27,4,16,157,6.4,,,,,,0,0,0.0
Marcus Ragnarsson,SJ,D,75,3,14,17,10.0,51,18:46,0,2,96,3.1,,,,,,0,0,0.0
Mark Smith,SJ,C,16,0,4,4,2.0,29,8:41,0,0,14,0.0,,,,,,0,0,0.0
Matt Bradley,SJ,RW,42,2,2,4,2.0,51,8:35,0,0,39,5.1,,,,,,0,0,0.0
Mikael Samuelsson,SJ,RW,1,0,0,0,0.0,5,3:32,0,0,0,0.0,,,,,,0,0,0.0
Mike Rathje,SJ,D,12,7,6,13,1.0,0,16:42,2,2,31,22.6,,,,,,0,0,0.0
Mike Ricci,SJ,C,45,9,37,46,17.0,62,20:48,4,13,101,8.9,,,,,,0,0,0.0
Niklas Sundstrom,SJ,RW,57,24,25,49,0.0,75,21:26,10,11,190,12.6,,,,,,0,0,0.0
Owen Nolan,SJ,RW,81,25,27,52,7.0,22,16:05,5,7,146,17.1,,,,,,0,0,0.0
Paul Kruse,SJ,LW,10,0,1,1,4.0,8,17:22,0,0,5,0.0,,,,,,0,0,0.0
Scott Hannan,SJ,D,75,7,11,18,15.0,204,17:57,0,0,73,9.6,,,,,,0,0,0.0
Scott Thornton,SJ,LW,64,12,24,36,7.0,56,18:50,2,8,120,10.0,,,,,,0,0,0.0
Shawn Heins,SJ,D,60,4,5,9,-1.0,65,8:25,1,1,85,4.7,,,,,,0,0,0.0
Stephane Matteau,SJ,RW,81,14,18,32,9.0,28,15:53,2,2,153,9.2,,,,,,0,0,0.0
Teemu Selanne RW *,SJ,,68,3,12,15,2.0,44,23:15,1,4,74,4.1,,,,,,0,0,0.0
Todd Harvey,SJ,LW,77,5,18,23,10.0,56,19:49,1,6,119,4.2,,,,,,0,0,0.0
Tony Granato,SJ,LW,81,0,11,11,7.0,48,22:03,0,3,89,0.0,,,,,,0,0,0.0
Total,SJ,,4,0,0,0,0.0,0,4:41,0,0,3,0.0,,,,,,0,0,0.0
Vincent Damphousse,SJ,LW,82,10,39,49,10.0,28,16:31,4,9,100,10.0,,,,,,0,0,0.0
