Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Adam Foote,COL,D,76,6,28,34,5,83,1588.7236,1,13,1,0,0,111,0.05405,4,18,,2001-2002
Alex Tanguay,COL,L,89,18,43,61,0,36,1088.6404,10,13,0,0,2,110,0.16363,8,38,0.4054,2001-2002
Brad Larsen,COL,L,71,3,8,11,0,60,469.2957,1,0,0,0,0,46,0.06521,2,9,0.47872,2001-2002
Brian Willsie,COL,R,60,7,8,15,4,16,685.85,2,1,0,0,1,70,0.1,5,12,0.125,2001-2002
Bryan Muir,COL,D,43,1,1,2,-2,11,482.8837,0,1,0,0,0,34,0.02941,1,1,,2001-2002
Chris Drury,COL,C,103,26,32,58,5,48,1065.3592,6,14,0,2,9,292,0.08904,20,37,0.53751,2001-2002
Dan Hinote,COL,R,77,7,8,15,5,48,721.6753,0,0,1,0,3,91,0.07692,6,14,0.49295,2001-2002
Darius Kasparaitis,COL,D,21,0,3,3,10,18,1245.6666,0,0,0,0,0,18,0.0,0,3,0.0,2001-2002
Darius Kasparaitis,COL,D,80,2,12,14,0,142,1225.35,0,0,0,0,0,81,0.02469,2,13,0.0,2001-2002
Eric Messier,COL,L,95,6,12,18,-9,26,932.2105,0,0,0,0,3,102,0.05882,6,18,0.23076,2001-2002
Greg De Vries,COL,D,103,12,21,33,19,59,1396.7766,1,1,1,0,4,189,0.06349,10,29,0.0,2001-2002
Jaroslav Obsut,COL,D,3,0,0,0,0,0,587.0,0,0,0,0,0,3,0.0,0,0,,2001-2002
Jeff Daw,COL,C,1,0,1,1,0,0,754.0,0,0,0,0,0,2,0.0,0,1,,2001-2002
Joe Sakic,COL,C,103,35,63,98,10,22,1329.4077,13,18,1,1,5,336,0.10416,21,66,0.51741,2001-2002
Jordan Krestanovich,COL,L,8,0,2,2,1,0,514.0,0,1,0,0,0,6,0.0,0,1,,2001-2002
Kelly Fairchild,COL,C,10,2,0,2,1,2,395.4,0,0,0,0,0,6,0.33333,2,2,0.4375,2001-2002
Martin Skoula,COL,D,103,10,27,37,-8,44,1243.9514,5,13,0,0,1,113,0.08849,5,18,,2001-2002
Mike Keane,COL,R,18,1,4,5,0,8,978.1666,0,0,0,0,0,24,0.04166,1,5,0.45454,2001-2002
Mike Keane,COL,R,78,6,11,17,-4,38,889.1282,1,1,0,0,0,73,0.08219,5,14,0.31111,2001-2002
Milan Hejduk,COL,R,78,24,26,50,-4,28,1189.3717,8,11,1,0,5,184,0.13043,15,30,0.42857,2001-2002
Pascal Trepanier,COL,D,76,4,9,13,3,59,863.1315,2,3,0,0,0,87,0.04597,2,8,,2001-2002
Peter Forsberg,COL,C,20,9,18,27,8,20,1089.7,0,7,0,2,4,35,0.25714,9,20,0.5625,2001-2002
Radim Vrbata,COL,R,61,18,12,30,2,14,859.3114,6,5,0,0,3,131,0.1374,12,19,0.375,2001-2002
Rick Berry,COL,D,70,0,2,2,-3,81,682.6428,0,0,0,0,0,49,0.0,0,2,,2001-2002
Riku Hahl,COL,C,43,3,5,8,-2,14,509.9767,0,0,0,0,1,34,0.08823,3,8,0.33802,2001-2002
Rob Blake,COL,D,95,22,46,68,15,74,1632.5578,11,18,0,1,2,296,0.07432,11,38,,2001-2002
Scott Parker,COL,R,63,1,4,5,0,154,349.9523,0,0,0,0,0,32,0.03125,1,5,,2001-2002
Shjon Podein,COL,L,64,8,10,18,2,41,826.3125,0,0,1,0,2,67,0.1194,7,16,0.17241,2001-2002
Stephane Yelle,COL,C,93,5,14,19,-2,62,833.9462,0,0,1,0,1,92,0.05434,4,18,0.50346,2001-2002
Steve Moore,COL,C,8,0,0,0,-4,4,424.875,0,0,0,0,0,5,0.0,0,0,0.51515,2001-2002
Steve Reinprecht,COL,C,88,26,32,58,21,26,989.5113,4,10,0,0,5,140,0.18571,22,41,0.52214,2001-2002
Todd Gill,COL,D,36,0,4,4,3,25,763.9166,0,0,0,0,0,26,0.0,0,4,,2001-2002
Vaclav Nedorost,COL,C,25,2,2,4,-4,2,614.52,1,0,0,0,0,22,0.0909,1,3,0.45161,2001-2002
Ville Nieminen,COL,L,66,11,16,27,-1,38,802.106,1,5,0,1,5,83,0.13253,10,21,0.625,2001-2002
