Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Aaron Gavey,MIN,C,58,10,11,21,-3.0,8,15:50,1,0,98,10.2,,,,,,0,0,0.0
Andy Sutton D *,MIN,,74,1,7,8,-12.0,28,19:09,0,1,44,2.3,,,,,,0,0,0.0
Antti Laaksonen,MIN,LW,73,19,20,39,-10.0,28,16:04,10,8,146,13.0,,,,,,0,0,0.0
Brad Bombardir,MIN,D,51,0,4,4,-11.0,123,15:54,0,0,23,0.0,,,,,,0,0,0.0
Brad Brown,MIN,D,60,4,0,4,-13.0,183,7:22,0,0,23,17.4,,,,,,0,0,0.0
Darby Hendrickson,MIN,C,62,5,19,24,-6.0,32,25:30,3,6,101,5.0,,,,,,0,0,0.0
David Cullen D *,MIN,,43,0,2,2,-11.0,130,9:51,0,0,28,0.0,,,,,,0,0,0.0
Filip Kuba,MIN,D,69,4,20,24,-7.0,38,22:37,4,9,82,4.9,,,,,,0,0,0.0
Hnat Domenichelli RW *,MIN,,19,2,4,6,-4.0,35,10:56,1,1,21,9.5,,,,,,0,0,0.0
Jason Marshall,MIN,D,68,3,10,13,-16.0,68,21:25,0,2,67,4.5,,,,,,0,0,0.0
Jim Dowd,MIN,C,78,30,37,67,0.0,34,16:46,10,16,221,13.6,,,,,,0,0,0.0
Ladislav Benysek,MIN,D,52,4,6,10,0.0,14,16:08,1,3,47,8.5,,,,,,0,0,0.0
Lubomir Sekeras,MIN,D,63,10,15,25,-1.0,10,16:27,2,3,115,8.7,,,,,,0,0,0.0
Marian Gaborik,MIN,RW,81,21,48,69,-4.0,18,16:01,10,22,106,19.8,,,,,,0,0,0.0
Matt Johnson,MIN,LW,14,1,4,5,-1.0,8,13:34,0,2,25,4.0,,,,,,0,0,0.0
Mike Matteucci,MIN,D,3,0,0,0,-3.0,0,14:02,0,0,0,0.0,,,,,,0,0,0.0
Nick Schultz,MIN,D,80,5,6,11,-8.0,148,16:18,1,1,73,6.8,,,,,,0,0,0.0
Pascal Dupuis,MIN,RW,64,10,20,30,0.0,43,16:42,0,1,97,10.3,,,,,,0,0,0.0
Richard Park,MIN,RW,76,15,12,27,-10.0,16,15:08,3,2,154,9.7,,,,,,0,0,0.0
Roman Simicek,MIN,LW,28,1,2,3,-6.0,14,20:32,1,1,24,4.2,,,,,,0,0,0.0
Sebastien Bordeleau C *,MIN,,8,2,3,5,0.0,0,13:22,0,1,15,13.3,,,,,,0,0,0.0
Sergei Krivokrasov RW *,MIN,,6,2,0,2,1.0,8,13:15,0,0,4,50.0,,,,,,0,0,0.0
Sergei Zholtok,MIN,C,82,13,30,43,-14.0,54,15:33,5,17,111,11.7,,,,,,0,0,0.0
Stacy Roest,MIN,RW,68,9,15,24,-22.0,50,16:43,2,6,79,11.4,,,,,,0,0,0.0
Sylvain Blouin,MIN,LW,9,1,1,2,-1.0,17,12:13,0,1,13,7.7,,,,,,0,0,0.0
Tony Virta,MIN,RW,27,1,5,6,-5.0,10,12:39,0,1,57,1.8,,,,,,0,0,0.0
Total,MIN,,4,0,0,0,-1.0,2,12:30,0,0,1,0.0,,,,,,0,0,0.0
Travis Roche,MIN,D,3,0,0,0,1.0,2,10:06,0,0,0,0.0,,,,,,0,0,0.0
Wes Walz,MIN,C,82,16,17,33,-5.0,22,16:20,0,0,104,15.4,,,,,,0,0,0.0
Willie Mitchell,MIN,D,71,6,11,17,-21.0,38,11:55,1,1,75,8.0,,,,,,0,0,0.0
